0,2000-01-01
1,2000-01-01
2,2000-01-01
3,2000-01-01
4,2000-01-01
5,2000-01-01
6,2000-01-01
7,2000-01-01
8,2000-01-01
9,2000-01-01
10,2000-01-01
11,2000-01-01
12,2000-01-01
13,2000-01-01
14,2000-01-01
15,2000-01-01
16,2000-01-01
17,2000-01-01
18,2000-01-01
19,2000-01-01
20,2000-01-01
21,2000-01-01
22,2000-01-01
23,2000-01-01
24,2000-01-01
25,2000-01-01
26,2000-01-01
27,2000-01-01
28,2000-01-01
29,2000-01-01
30,2000-01-01
31,2000-01-01
32,2000-01-01
33,2000-01-01
34,2000-01-01
35,2000-01-01
36,2000-01-01
37,2000-01-01
38,2000-01-01
39,2000-01-01
40,2000-01-01
41,2000-01-01
42,2000-01-01
43,2000-01-01
44,2000-01-01
45,2000-01-01
46,2000-01-01
47,2000-01-01
48,2000-01-01
49,2000-01-01
50,2000-01-01
51,2000-01-01
52,2000-01-01
53,2000-01-01
54,2000-01-01
55,2000-01-01
56,2000-01-01
57,2000-01-01
58,2000-01-01
59,2000-01-01
60,2000-01-01
61,2000-01-05
62,2000-01-05
63,2000-01-05
64,2000-01-26
65,2000-01-26
66,2000-01-26
67,2000-01-26
68,2000-02-15
69,2000-02-15
70,2000-02-15
71,2000-02-15
72,2000-02-15
73,2000-02-24
74,2000-02-24
75,2000-02-24
76,2000-02-24
77,2000-03-04
78,2000-03-16
79,2000-03-17
