 
 THIS IS FOR STATION NUMBER  241 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.25   0.40  60(68) 18(20)  6( 6)  3( 3)  0( 0)    7       87
  2 3/8-->3/14       2.52   0.50  65(70) 12(13) 10(10)  3( 3)  2( 2)    7       92
  3 3/15-->3/21      1.26   0.38  56(69) 13(16) 11(13)  1( 1)  0( 0)    7       81
  4 3/22-->3/28      1.60   0.48  49(59) 17(20) 13(15)  3( 3)  0( 0)    7       82
  5 3/29-->4/4       1.34   0.52  67(65) 22(21) 12(11)  2( 1)  0( 0)   11      103
  6 4/5-->4/11       1.31   0.43  55(69)  8(10) 12(15)  4( 5)  0( 0)   14       79
  7 4/12-->4/18      1.80   0.67  65(61) 20(18) 13(12)  8( 7)  0( 0)   14      106
  8 4/19-->4/25      1.72   0.75  69(58) 26(22) 12(10) 10( 8)  0( 0)   14      117
  9 4/26-->5/2       4.50   1.05  65(56) 18(15) 19(16)  9( 7)  4( 3)   14      115
 10 5/3-->5/9        1.58   0.91  58(51) 26(23) 15(13) 14(12)  0( 0)   14      113
 11 5/10-->5/16      2.65   0.83  52(52) 18(18) 17(17) 10(10)  2( 2)   18       99
 12 5/17-->5/23      2.41   0.90  55(50) 25(22) 20(18)  8( 7)  2( 1)   14      110
 13 5/24-->5/30      2.40   1.09  55(45) 32(26) 20(16) 11( 9)  3( 2)   14      121
 14 5/31-->6/6       2.00   0.74  61(58) 19(18) 14(13) 10( 9)  1( 0)    8      105
 15 6/7-->6/13       3.01   1.24  61(47) 26(20) 23(17) 15(11)  3( 2)    7      128
 16 6/14-->6/20      5.25   1.41  51(42) 23(19) 30(25)  9( 7)  7( 5)    8      120
 17 6/21-->6/27      2.65   0.97  61(57) 15(14) 16(14) 10( 9)  5( 4)    7      107
 18 6/28-->7/4       3.90   1.17  45(47) 12(12) 17(18) 14(14)  6( 6)    7       94
 19 7/5-->7/11       3.70   1.06  39(43) 17(18) 17(18) 12(13)  5( 5)    7       90
 20 7/12-->7/18      3.64   0.98  50(47) 28(26) 17(16)  8( 7)  3( 2)    7      106
 21 7/19-->7/25      2.95   0.82  43(50) 18(20) 13(15)  9(10)  3( 3)    7       86
 22 7/26-->8/1       2.18   0.79  47(52) 15(16) 15(16) 11(12)  1( 1)    7       89
 23 8/2-->8/8        3.59   0.98  41(45) 22(24) 13(14) 12(13)  3( 3)    7       91
 24 8/9-->8/15       3.02   0.70  51(57) 17(19) 12(13)  7( 7)  2( 2)    7       89
 25 8/16-->8/22      2.80   0.82  40(44) 20(22) 21(23)  6( 6)  2( 2)    7       89
 26 8/23-->8/29      4.59   1.08  49(49) 12(12) 19(19) 16(16)  3( 3)    7       99
 27 8/30-->9/5       1.95   0.78  49(52) 19(20) 14(14) 12(12)  0( 0)    4       94
 28 9/6-->9/12       3.69   0.64  40(49) 23(28) 11(13)  6( 7)  1( 1)    0       81
 29 9/13-->9/19      1.86   0.69  55(54) 26(25) 11(10)  9( 8)  0( 0)    0      101
 30 9/20-->9/26      2.10   0.72  49(53) 20(21) 16(17)  6( 6)  1( 1)    0       92
 31 9/27-->10/3      2.29   0.60  46(58) 13(16) 11(14)  7( 8)  1( 1)    0       78
 32 10/4-->10/10     2.05   0.62  48(57) 10(12) 18(21)  6( 7)  1( 1)    0       83
 33 10/11-->10/17    1.99   0.46  48(64) 14(18)  7( 9)  6( 8)  0( 0)    0       75
 34 10/18-->10/24    2.41   0.60  47(55) 15(17) 15(17)  6( 7)  1( 1)    0       84
 35 10/25-->10/31    2.55   0.48  46(60) 14(18) 14(18)  1( 1)  1( 1)    0       76
 36 11/1-->11/7      2.01   0.54  45(58) 15(19) 11(14)  5( 6)  1( 1)    0       77
 37 11/8-->11/14     1.64   0.36  36(59) 15(24)  8(13)  2( 3)  0( 0)    0       61
 38 11/15-->11/21    1.75   0.46  45(60) 16(21)  9(12)  4( 5)  0( 0)    0       74
 39 11/22-->11/28    0.93   0.26  47(72) 11(16)  7(10)  0( 0)  0( 0)    1       65
 40 11/29-->12/5     1.19   0.22  44(77)  7(12)  5( 8)  1( 1)  0( 0)    9       57
 41 12/6-->12/12     1.00   0.20  49(77)  8(12)  5( 7)  1( 1)  0( 0)    3       63
 42 12/13-->12/19    1.13   0.23  52(77) 12(17)  2( 2)  1( 1)  0( 0)    0       67
 43 12/20-->12/26    0.84   0.20  53(82)  8(12)  3( 4)  0( 0)  0( 0)    3       64
 44 12/27-->1/2      1.06   0.23  42(73)  8(14)  6(10)  1( 1)  0( 0)    5       57
 45 1/3-->1/9        0.60   0.12  40(88)  3( 6)  2( 4)  0( 0)  0( 0)   14       45
 46 1/10-->1/16      1.23   0.17  44(81)  7(12)  1( 1)  2( 3)  0( 0)   18       54
 47 1/17-->1/23      0.86   0.17  51(85)  8(13)  1( 1)  0( 0)  0( 0)   18       60
 48 1/24-->1/30      1.12   0.15  65(92)  2( 2)  2( 2)  1( 1)  0( 0)   17       70
 49 1/31-->2/6       1.10   0.19  56(88)  3( 4)  3( 4)  1( 1)  0( 0)   11       63
 50 2/7-->2/13       0.45   0.15  49(81) 11(18)  0( 0)  0( 0)  0( 0)    8       60
 51 2/14-->2/20      0.96   0.28  53(76)  7(10)  9(13)  0( 0)  0( 0)    7       69
 52 2/21-->2/27      1.59   0.25  53(79) 10(14)  2( 2)  2( 2)  0( 0)    7       67
 53 2/28-->2/29      0.73   0.03   7(70)  2(20)  1(10)  0( 0)  0( 0)    1       10
 ANNUAL TOTALS       5.25   2669(60)806(18)601(13)305( 6) 64( 1)  374     4445
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER  241
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.69 0.89 2.03 2.97 4.05 4.89 4.05 3.94 3.05 2.30 1.68 0.93 31.46  <-- PRECIP
  
   19.1 25.1 36.1 50.5 62.3 71.8 76.0 73.7 65.0 53.5 37.9 25.0  54.1  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   6     20  1954     5.25
   8     28  1977     4.59
   6     17  1990     4.63
   4     30  1986     4.50
   6     28  1983     3.90
   9     12  1961     3.69
   7      9  1993     3.70
   8      5  1963     3.59
   7     14  1984     3.64
   6     20  1952     3.02
   4     28  1963     3.02
   6     12  1966     2.98
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER   241
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     51     18     13      8    257    142    120    101
 1952     89     45     38     32    396    252    222    195
 1953    153     74     58     44    248    130    107     87
 1954     75     21     15     10    478    309    273    238
 1955    141     78     65     53    458    289    254    222
 1956    117     55     46     37    314    198    175    153
 1957    120     52     42     33    363    217    188    165
 1958     67     21     14     10    341    192    164    138
 1959    104     46     35     28    308    175    152    131
 1960     19      6      4      2    380    235    208    183
 1961     87     31     22     15    216    115     96     80
 1962     69     32     26     22    362    225    196    170
 1963    210    130    116    102    459    292    255    220
 1964    129     70     58     46    402    243    210    181
 1965     10      2      1      0    336    197    170    143
 1966    238    134    112     92    311    178    151    128
 1967    256    166    146    126    437    267    232    200
 1968    253    161    142    125    380    223    195    171
 1969     42     20     15     11    356    206    176    148
 1970     52     14      8      5    387    251    221    193
 1971     76     31     23     18    413    271    241    212
 1972    132     66     55     44    312    176    150    127
 1973    179     70     53     39    308    178    152    128
 1974    153     72     57     47    394    241    208    177
 1975     48     15      9      6    259    141    120    102
 1976    168     91     76     64    438    267    231    198
 1977    237    125    104     86    521    347    310    275
 1978     95     49     41     34    306    172    148    124
 1979     78     35     26     20    226    117     95     74
 1980    108     47     36     25    391    244    219    195
 1981    242    130    107     87    555    363    322    285
 1982    119     49     37     28    310    189    165    142
 1983    138     71     61     52    225    122    106     92
 1984     42      6      3      1    290    150    124    100
 1985    203    101     82     68    519    346    312    280
 1986    263    162    142    124    457    287    254    221
 1987    222    121    105     90    484    321    290    259
 1988    225    129    108     89    386    241    211    183
 1989    168    100     85     71    426    273    239    208
 1990    178     93     79     65    348    212    183    155
 1991    190    106     90     75    381    226    196    169
 1992    182     93     76     62    254    132    112     95
 1993     64     23     17     12    242    125    104     88
 1994    167     91     78     66    371    245    219    194
 1995    184    107     90     75    248    143    121    100
 1996    115     52     42     33    295    179    156    134
 1997    172     83     67     54    271    163    141    119
 1998    115     66     58     51    319    185    157    130
     ****************************  *************************** 
 MEAN  136.6   70.2   58.2   47.9  357.3  216.8  188.8  163.0
 STDV   68.7   44.6   39.5   34.5   84.9   64.9   59.9   55.0
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    702    480    427    377    791    556    499    443
 1952    636    421    375    332   1003    763    704    645
 1953    617    410    367    327    945    707    648    589
 1954    517    340    302    266    938    701    644    590
 1955    710    476    428    386    796    563    510    459
 1956    677    469    425    383    989    752    695    638
 1957    591    369    324    280    860    621    562    504
 1958    684    476    430    385    767    529    471    416
 1959    673    447    396    346    921    681    621    563
 1960    644    425    371    321    831    593    534    477
 1961    557    360    318    278    851    612    556    503
 1962    858    617    560    506    895    656    597    540
 1963    683    459    407    356   1001    761    702    644
 1964    846    602    546    493    903    666    607    550
 1965    833    610    556    503    897    657    598    540
 1966    596    403    363    329    896    659    601    544
 1967    574    383    343    306    884    645    586    531
 1968    526    332    292    256    918    679    620    566
 1969    630    422    375    329    738    509    456    407
 1970    746    531    482    435    902    662    603    545
 1971    550    351    309    270   1041    801    742    683
 1972    673    450    400    355    851    614    559    505
 1973    580    367    321    279    941    701    641    581
 1974    564    360    317    277    802    564    506    451
 1975    720    494    445    400    868    632    574    516
 1976    583    375    330    292    895    655    596    538
 1977    871    632    573    515    949    710    651    592
 1978    672    458    408    364    932    694    636    579
 1979    640    428    381    339    902    664    606    549
 1980    725    503    451    405    892    652    593    537
 1981    638    421    376    334    951    711    651    591
 1982    729    496    441    388    778    546    494    445
 1983    546    343    301    262    925    689    631    575
 1984    576    372    331    291    953    713    653    593
 1985    777    539    487    439    841    604    549    497
 1986    696    458    405    355    972    732    673    614
 1987    823    584    530    481    988    748    689    630
 1988    820    581    527    476   1007    767    707    649
 1989    668    456    408    363    863    625    568    512
 1990    522    322    279    238    899    662    603    546
 1991    750    528    477    427    968    728    668    608
 1992    637    435    392    351    834    597    541    487
 1993    608    380    333    290    814    579    522    468
 1994    628    436    395    355    902    665    607    549
 1995    505    309    271    236    863    625    567    512
 1996    511    305    265    228    858    621    563    505
 1997    453    285    251    219    906    667    608    552
 1998    759    524    471    421    788    561    508    457
     ****************************  *************************** 
 MEAN  657.1  442.5  395.3  351.1  894.2  656.5  598.6  542.2
 STDV  102.6   88.5   83.5   78.5   69.6   67.7   66.4   64.5
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1012    764    702    640    972    724    662    601
 1952   1057    809    747    686    933    685    624    566
 1953   1035    787    725    664    972    724    662    601
 1954   1072    824    762    700    959    711    649    587
 1955   1142    894    832    770   1073    825    763    702
