 
 THIS IS FOR STATION NUMBER 1541 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.43   0.39  43(57) 17(22) 14(18)  1( 1)  0( 0)    7       75
  2 3/8-->3/14       1.90   0.45  55(68) 11(13)  9(11)  5( 6)  0( 0)    7       80
  3 3/15-->3/21      1.29   0.42  60(68) 14(16) 10(11)  3( 3)  0( 0)    7       87
  4 3/22-->3/28      2.60   0.51  51(61) 18(21)  9(10)  4( 4)  1( 1)    7       83
  5 3/29-->4/4       1.75   0.57  64(64) 18(18) 12(12)  5( 5)  0( 0)    7       99
  6 4/5-->4/11       1.77   0.42  52(60) 26(30)  7( 8)  1( 1)  0( 0)    7       86
  7 4/12-->4/18      2.68   0.69  64(58) 23(20) 17(15)  5( 4)  1( 0)    7      110
  8 4/19-->4/25      2.25   0.77  53(50) 25(23) 22(20)  5( 4)  1( 0)    7      106
  9 4/26-->5/2       3.48   0.92  59(54) 23(21) 16(14)  8( 7)  3( 2)    7      109
 10 5/3-->5/9        2.00   0.73  54(51) 27(25) 18(17)  4( 3)  1( 0)    7      104
 11 5/10-->5/16      2.34   0.88  64(52) 33(27) 15(12)  6( 4)  3( 2)    7      121
 12 5/17-->5/23      2.34   0.84  63(55) 23(20) 19(16)  6( 5)  2( 1)    7      113
 13 5/24-->5/30      2.00   1.15  72(51) 31(22) 22(15) 14(10)  1( 0)    7      140
 14 5/31-->6/6       2.92   0.78  56(54) 23(22) 13(12)  9( 8)  1( 0)    7      102
 15 6/7-->6/13       4.22   1.13  53(48) 18(16) 22(20) 15(13)  2( 1)    7      110
 16 6/14-->6/20      2.49   1.14  61(51) 19(15) 20(16) 17(14)  2( 1)    7      119
 17 6/21-->6/27      5.15   1.34  41(39) 30(28) 15(14) 13(12)  6( 5)    7      105
 18 6/28-->7/4       2.75   0.98  54(54) 16(16) 15(15)  9( 9)  6( 6)    7      100
 19 7/5-->7/11       5.16   1.15  49(46) 19(18) 21(20) 11(10)  5( 4)    5      105
 20 7/12-->7/18      5.28   1.23  52(48) 13(12) 26(24) 11(10)  5( 4)    0      107
 21 7/19-->7/25      2.38   0.75  61(60) 15(14) 15(14)  8( 7)  2( 1)    0      101
 22 7/26-->8/1       4.75   0.81  38(45) 17(20) 22(26)  6( 7)  1( 1)    0       84
 23 8/2-->8/8        2.23   0.86  53(51) 20(19) 16(15) 12(11)  1( 0)    0      102
 24 8/9-->8/15       2.77   0.74  52(57) 18(19)  9( 9) 10(10)  2( 2)    0       91
 25 8/16-->8/22      2.62   0.84  48(48) 15(15) 27(27)  5( 5)  3( 3)    0       98
 26 8/23-->8/29      3.24   1.13  53(48) 24(21) 16(14) 11(10)  6( 5)    0      110
 27 8/30-->9/5       3.25   0.82  43(51) 17(20) 10(11) 12(14)  2( 2)    0       84
 28 9/6-->9/12       1.97   0.65  50(55) 16(17) 18(20)  6( 6)  0( 0)    0       90
 29 9/13-->9/19      2.25   0.71  51(54) 17(18) 17(18)  8( 8)  1( 1)    0       94
 30 9/20-->9/26      5.74   0.87  55(52) 24(22) 16(15)  9( 8)  1( 0)    1      105
 31 9/27-->10/3      1.59   0.62  45(54) 16(19) 12(14)  9(10)  0( 0)    0       82
 32 10/4-->10/10     1.85   0.56  49(57) 15(17) 17(20)  4( 4)  0( 0)    0       85
 33 10/11-->10/17    2.54   0.60  37(52) 14(20) 10(14)  7(10)  2( 2)    0       70
 34 10/18-->10/24    2.10   0.51  47(63) 13(17)  6( 8)  7( 9)  1( 1)    0       74
 35 10/25-->10/31    1.39   0.39  46(63) 16(22)  6( 8)  4( 5)  0( 0)    0       72
 36 11/1-->11/7      2.35   0.44  51(67) 11(14)  9(11)  3( 3)  2( 2)    0       76
 37 11/8-->11/14     2.75   0.35  45(67) 12(17)  7(10)  2( 2)  1( 1)    0       67
 38 11/15-->11/21    1.79   0.50  33(49) 16(23) 15(22)  3( 4)  0( 0)    0       67
 39 11/22-->11/28    0.98   0.25  55(77) 14(19)  2( 2)  0( 0)  0( 0)    0       71
 40 11/29-->12/5     0.90   0.26  49(73) 13(19)  5( 7)  0( 0)  0( 0)    0       67
 41 12/6-->12/12     1.10   0.24  45(76)  6(10)  7(11)  1( 1)  0( 0)    0       59
 42 12/13-->12/19    0.68   0.19  38(74) 10(19)  3( 5)  0( 0)  0( 0)    0       51
 43 12/20-->12/26    0.82   0.24  46(70) 15(23)  4( 6)  0( 0)  0( 0)    0       65
 44 12/27-->1/2      0.86   0.19  47(79)  5( 8)  7(11)  0( 0)  0( 0)    6       59
 45 1/3-->1/9        0.90   0.15  42(79)  8(15)  3( 5)  0( 0)  0( 0)   21       53
 46 1/10-->1/16      0.44   0.15  44(80) 11(20)  0( 0)  0( 0)  0( 0)   22       55
 47 1/17-->1/23      0.70   0.17  48(84)  5( 8)  4( 7)  0( 0)  0( 0)   21       57
 48 1/24-->1/30      1.45   0.20  59(88)  6( 8)  1( 1)  1( 1)  0( 0)   21       67
 49 1/31-->2/6       0.82   0.16  39(75) 10(19)  3( 5)  0( 0)  0( 0)   15       52
 50 2/7-->2/13       0.89   0.14  40(83)  5(10)  3( 6)  0( 0)  0( 0)   14       48
 51 2/14-->2/20      1.35   0.26  40(71)  8(14)  7(12)  1( 1)  0( 0)   14       56
 52 2/21-->2/27      1.32   0.22  48(78)  9(14)  3( 4)  1( 1)  0( 0)   16       61
 53 2/28-->2/29      0.60   0.02   4(80)  0( 0)  1(20)  0( 0)  0( 0)    2        5
 ANNUAL TOTALS       5.74   2621(59)848(19)623(14)282( 6) 65( 1)  284     4439
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 1541
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.70 0.79 1.99 2.95 3.90 4.94 4.19 3.98 3.16 2.24 1.62 1.01 31.49  <-- PRECIP
  
   14.9 21.1 32.5 47.8 60.7 70.5 74.1 71.6 63.0 51.2 34.8 21.0  51.6  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     20  1983     5.74
   7     17  1968     5.28
   6     26  1951     5.15
   7     10  1982     5.16
   7     31  1964     4.75
   6      9  1967     4.22
   6     21  1954     3.98
   6     24  1981     3.79
   6     23  1994     3.70
   4     29  1963     3.48
   4     27  1991     3.41
   7      9  1993     3.40
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  1541
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      8      0      0      0    184     95     80     66
 1952     42     20     17     14    355    230    205    183
 1953    126     52     38     28    176     82     65     50
 1954     38      7      3      1    404    251    220    192
 1955     93     45     34     25    460    292    260    229
 1956     55     17     11      7    257    155    132    111
 1957     81     30     22     15    353    217    193    172
 1958     40      8      5      3    331    194    163    136
 1959     61     21     16     11    333    202    176    150
 1960     10      0      0      0    364    221    195    171
 1961     57     21     15     10    207    105     84     65
 1962     22     13     11      9    297    178    157    139
 1963    160    107     95     83    391    241    210    180
 1964     71     27     19     13    327    187    164    142
 1965      4      0      0      0    234    127    106     87
 1966    191    100     81     66    203    106     85     65
 1967    193    124    110     97    353    218    186    155
 1968    273    178    159    140    396    248    217    187
 1969     15      1      0      0    329    186    156    129
 1970     20      2      1      0    355    225    199    174
 1971     51     22     19     16    378    249    219    191
 1972     80     35     25     19    264    144    119     96
 1973    154     64     48     35    281    160    136    114
 1974     75     27     20     15    329    193    165    140
 1975     26      5      3      2    166     74     60     47
 1976    113     59     49     42    396    244    212    180
 1977    183     90     74     61    471    318    284    253
 1978     83     42     33     26    251    134    109     88
 1979     34      9      6      3    205    103     84     67
 1980     47     15     12      9    314    195    171    150
 1981    185     93     76     61    381    228    197    169
 1982     52     15     10      6    250    146    125    106
 1983     81     41     32     25    153     83     70     58
 1984     19      2      0      0    226    106     82     62
 1985    132     55     41     30    422    276    246    219
 1986    141     83     74     66    351    208    178    149
 1987    155     86     74     62    410    277    251    227
 1988    142     69     55     43    284    173    148    124
 1989     89     47     39     32    319    193    168    144
 1990    154     78     62     47    332    203    177    152
 1991    108     48     39     30    339    201    173    147
 1992    120     56     42     32    215    119    103     88
 1993     18      3      2      1    206    104     87     72
 1994    113     53     44     35    318    207    181    156
 1995    116     53     43     35    197    103     85     69
 1996     79     28     22     17    239    142    123    107
 1997     97     43     34     26    256    153    131    109
 1998     91     46     40     35    303    177    150    125
     ****************************  *************************** 
 MEAN   89.8   42.8   34.8   28.0  303.7  181.0  156.2  133.4
 STDV   60.2   37.8   33.2   28.9   80.5   60.8   56.3   51.9
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    678    462    412    365    702    475    421    369
 1952    546    346    303    265    941    704    646    589
 1953    579    374    332    295    915    679    620    563
 1954    476    308    269    234    906    672    617    562
 1955    691    467    420    378    766    538    486    437
 1956    624    425    382    342    949    713    655    599
 1957    554    347    302    263    824    586    528    471
 1958    683    490    443    400    730    500    450    404
 1959    685    472    424    376    900    663    606    550
 1960    619    411    363    318    795    563    511    461
 1961    553    369    331    293    848    615    564    514
 1962    761    535    484    434    835    597    540    485
 1963    617    404    360    318    960    721    662    605
 1964    759    532    482    434    861    626    571    517
 1965    749    529    475    423    872    633    575    518
 1966    545    374    337    303    866    631    574    521
 1967    509    342    305    271    837    599    543    490
 1968    514    340    305    272    890    655    600    548
 1969    655    448    401    357    711    492    444    396
 1970    702    496    448    403    888    653    597    542
 1971    552    374    336    301    993    753    693    634
 1972    657    449    401    356    834    609    557    506
 1973    573    368    325    288    911    671    611    552
 1974    499    312    271    236    768    537    483    433
 1975    695    476    425    382    852    615    558    502
 1976    545    355    314    276    864    629    572    517
 1977    837    597    540    490    865    627    569    513
 1978    627    419    374    329    834    603    551    499
 1979    536    349    309    274    826    591    536    481
 1980    644    437    393    352    851    612    556    503
 1981    529    338    297    259    863    623    564    507
 1982    662    430    375    324    690    466    416    368
 1983    459    277    242    209    848    616    562    508
 1984    497    304    264    228    892    653    594    536
 1985    728    496    445    398    754    527    475    427
 1986    591    381    336    292    880    641    583    525
 1987    774    554    505    458    943    707    648    593
 1988    765    546    499    456    941    707    651    596
 1989    599    406    364    324    811    580    526    475
 1990    500    309    267    230    875    641    584    530
 1991    718    505    456    410    974    734    674    614
 1992    620    427    388    351    828    591    535    481
 1993    529    332    292    255    767    540    486    434
 1994    645    443    398    357    902    663    605    547
 1995    482    293    257    222    868    632    577    523
 1996    474    280    239    203    847    611    554    500
 1997    419    258    225    193    911    671    612    554
 1998    775    535    481    431    777    549    496    444
     ****************************  *************************** 
 MEAN  613.4  411.1  366.8  325.8  853.8  619.3  563.5  509.4
 STDV  101.0   85.2   80.4   75.8   70.6   66.9   64.6   62.0
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    942    694    632    571    875    628    568    510
 1952   1000    754    693    632    891    648    591    535
 1953    990    742    683    624    949    701    640    580
 1954   1055    807    745    683    910    662    602    543
 1955   1117    869    807    745   1036    789    728    668
