 
 THIS IS FOR STATION NUMBER 5198 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.84   0.53  50(61) 13(16) 14(17)  4( 4)  0( 0)    0       81
  2 3/8-->3/14       2.31   0.58  52(63) 11(13) 11(13)  6( 7)  2( 2)    0       82
  3 3/15-->3/21      1.26   0.46  43(57) 17(22) 12(16)  3( 4)  0( 0)    0       75
  4 3/22-->3/28      1.50   0.57  48(54) 20(22) 16(18)  4( 4)  0( 0)    0       88
  5 3/29-->4/4       2.13   0.71  58(54) 24(22) 20(18)  4( 3)  1( 0)    0      107
  6 4/5-->4/11       1.32   0.48  47(56) 22(26) 10(12)  4( 4)  0( 0)    0       83
  7 4/12-->4/18      2.60   0.87  62(55) 23(20) 16(14)  7( 6)  3( 2)    0      111
  8 4/19-->4/25      1.50   0.80  66(55) 24(20) 22(18)  6( 5)  0( 0)    0      118
  9 4/26-->5/2       2.09   0.95  56(50) 19(17) 24(21) 10( 9)  1( 0)    0      110
 10 5/3-->5/9        3.76   0.93  52(46) 27(24) 25(22)  6( 5)  1( 0)    0      111
 11 5/10-->5/16      2.63   1.07  61(53) 23(20) 13(11) 14(12)  4( 3)    0      115
 12 5/17-->5/23      2.93   0.95  53(45) 35(29) 21(17)  7( 5)  1( 0)    0      117
 13 5/24-->5/30      3.06   1.16  70(52) 22(16) 28(21) 10( 7)  3( 2)    0      133
 14 5/31-->6/6       2.10   0.71  55(56) 22(22) 13(13)  7( 7)  1( 1)    1       98
 15 6/7-->6/13       3.82   1.47  67(50) 23(17) 19(14) 13( 9) 10( 7)    0      132
 16 6/14-->6/20      4.20   1.41  46(41) 22(20) 19(17) 17(15)  6( 5)    0      110
 17 6/21-->6/27      3.50   0.99  48(50) 20(21)  9( 9) 13(13)  5( 5)    0       95
 18 6/28-->7/4       2.60   1.03  41(44) 14(15) 19(20) 16(17)  2( 2)    0       92
 19 7/5-->7/11       4.43   1.03  45(45) 21(21) 18(18) 11(11)  3( 3)    0       98
 20 7/12-->7/18      6.58   1.27  45(45) 14(14) 16(16) 17(17)  6( 6)    0       98
 21 7/19-->7/25      4.40   0.89  43(45) 20(21) 23(24)  5( 5)  3( 3)    0       94
 22 7/26-->8/1       2.85   0.78  48(55) 14(16) 11(12) 12(13)  1( 1)    0       86
 23 8/2-->8/8        3.62   0.95  46(49) 23(24) 11(11)  9( 9)  4( 4)    0       93
 24 8/9-->8/15       2.80   0.90  43(49) 14(16) 14(16) 13(14)  3( 3)    0       87
 25 8/16-->8/22      5.54   1.05  44(48) 16(17) 20(21)  7( 7)  4( 4)    0       91
 26 8/23-->8/29      3.82   1.19  45(45) 15(15) 18(18) 14(14)  6( 6)    0       98
 27 8/30-->9/5       2.20   0.69  46(53) 14(16) 18(20)  7( 8)  1( 1)    5       86
 28 9/6-->9/12       2.04   0.81  38(45) 16(19) 14(16) 14(16)  1( 1)    7       83
 29 9/13-->9/19      2.24   0.74  58(58) 16(16) 17(17)  7( 7)  1( 1)    7       99
 30 9/20-->9/26      2.59   0.93  42(43) 24(25) 16(16) 12(12)  2( 2)    7       96
 31 9/27-->10/3      1.76   0.61  37(52) 12(17) 12(17)  9(12)  0( 0)    4       70
 32 10/4-->10/10     3.75   0.65  45(55) 15(18) 12(14)  8( 9)  1( 1)    0       81
 33 10/11-->10/17    2.47   0.59  36(52) 15(21)  9(13)  8(11)  1( 1)    0       69
 34 10/18-->10/24    2.32   0.57  35(50) 17(24) 10(14)  7(10)  1( 1)    0       70
 35 10/25-->10/31    2.18   0.47  53(67) 10(12) 13(16)  1( 1)  1( 1)    0       78
 36 11/1-->11/7      2.21   0.48  47(59) 21(26)  6( 7)  4( 5)  1( 1)    0       79
 37 11/8-->11/14     1.89   0.40  38(60) 14(22)  5( 7)  6( 9)  0( 0)    0       63
 38 11/15-->11/21    2.28   0.51  36(54) 15(22)  9(13)  5( 7)  1( 1)    0       66
 39 11/22-->11/28    1.22   0.31  38(61) 16(25)  6( 9)  2( 3)  0( 0)    0       62
 40 11/29-->12/5     1.16   0.32  38(65) 10(17)  7(12)  3( 5)  0( 0)    0       58
 41 12/6-->12/12     0.87   0.26  36(65)  9(16) 10(18)  0( 0)  0( 0)    1       55
 42 12/13-->12/19    1.00   0.21  41(75) 11(20)  1( 1)  1( 1)  0( 0)    0       54
 43 12/20-->12/26    0.80   0.25  48(75) 10(15)  6( 9)  0( 0)  0( 0)    0       64
 44 12/27-->1/2      1.58   0.26  34(66)  7(13)  9(17)  1( 1)  0( 0)    1       51
 45 1/3-->1/9        1.43   0.21  35(71) 10(20)  3( 6)  1( 2)  0( 0)    0       49
 46 1/10-->1/16      1.14   0.25  38(67) 13(23)  2( 3)  3( 5)  0( 0)    0       56
 47 1/17-->1/23      0.54   0.22  49(76) 12(18)  3( 4)  0( 0)  0( 0)    0       64
 48 1/24-->1/30      0.78   0.20  49(79) 10(16)  3( 4)  0( 0)  0( 0)    0       62
 49 1/31-->2/6       0.85   0.19  37(74) 10(20)  3( 6)  0( 0)  0( 0)    0       50
 50 2/7-->2/13       0.72   0.19  48(81)  7(11)  4( 6)  0( 0)  0( 0)    0       59
 51 2/14-->2/20      1.70   0.32  44(69) 10(15)  7(11)  2( 3)  0( 0)    0       63
 52 2/21-->2/27      1.07   0.35  43(63) 14(20) 10(14)  1( 1)  0( 0)    0       68
 53 2/28-->2/29      0.65   0.02   5(83)  0( 0)  1(16)  0( 0)  0( 0)    0        6
 ANNUAL TOTALS       6.58   2428(55)856(19)658(15)341( 7) 81( 1)   33     4364
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 5198
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.93 1.07 2.49 3.29 4.34 4.97 4.39 4.47 3.38 2.45 1.81 1.15 34.75  <-- PRECIP
  
   17.8 23.8 35.3 49.7 61.6 71.3 75.2 72.7 63.9 52.4 37.0 24.0  53.1  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     14  1962     6.58
   8     16  1977     5.54
   7     22  1957     4.40
   7      9  1993     4.43
   6     14  1980     4.20
   6     15  1982     4.07
   6      9  1974     3.82
   8     26  1987     3.82
   5      6  1960     3.76
  10      9  1970     3.75
   8      5  1970     3.60
   8      8  1987     3.62
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  5198
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     24      4      2      1    246    135    113     93
 1952     76     37     31     26    381    245    217    192
 1953    144     73     56     42    215     96     78     61
 1954     70     18     13      9    464    295    261    229
 1955    132     71     59     48    501    325    288    253
 1956    111     51     40     31    315    196    171    148
 1957    122     53     41     31    356    218    193    169
 1958     74     26     16     10    336    196    165    137
 1959     96     42     35     30    332    192    164    141
 1960     21      3      1      0    396    249    220    191
 1961     81     32     25     19    221    115     95     77
 1962     60     28     24     21    320    189    164    143
 1963    177    110     99     88    387    236    201    169
 1964     78     35     27     20    353    218    190    165
 1965     10      0      0      0    280    158    133    112
 1966    208    115     94     76    263    144    122    101
 1967    208    129    113    100    376    229    196    166
 1968    290    183    162    143    410    254    220    190
 1969     39     15     11      7    378    224    191    160
 1970     48      9      6      4    390    252    223    195
 1971     77     39     33     28    382    243    213    186
 1972    114     56     47     40    306    171    145    121
 1973    186     75     57     45    294    166    141    119
 1974    122     49     39     30    395    245    212    182
 1975     38      8      4      2    228    119    101     86
 1976    146     77     65     56    417    255    221    190
 1977    220    113     94     77    499    334    299    266
 1978     80     39     32     25    293    167    142    119
 1979     67     27     21     16    252    140    118     98
 1980     81     30     23     17    350    214    190    168
 1981    191     96     78     62    424    269    237    205
 1982     71     23     16     12    269    157    134    113
 1983    126     66     56     48    184    101     87     75
 1984     29      2      0      0    273    146    120     96
 1985    175     85     68     52    457    303    271    241
 1986    169    101     88     78    405    254    223    193
 1987    187    100     84     69    419    278    251    227
 1988    174     94     78     63    330    206    177    151
 1989    153     83     70     59    392    253    223    195
 1990    193     99     81     65    348    212    182    154
 1991    172     93     79     65    381    220    191    163
 1992    166     80     64     50    281    159    137    117
 1993     53     18     13      9    247    127    105     85
 1994    153     78     65     54    351    225    200    175
 1995    174     91     75     61    241    128    106     85
 1996    109     48     37     29    310    189    163    141
 1997    167     82     66     52    288    170    147    125
 1998    122     67     58     51    332    189    160    134
     ****************************  *************************** 
 MEAN  120.8   59.7   49.1   40.2  339.1  204.5  177.3  152.4
 STDV   62.8   39.7   34.7   30.2   75.1   58.2   53.8   49.5
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    726    499    446    397    776    540    483    428
 1952    602    390    344    301   1002    763    704    646
 1953    620    411    366    324    948    709    650    593
 1954    522    342    302    263    969    732    674    619
 1955    709    486    438    394    810    577    523    473
 1956    685    470    425    383    977    741    684    628
 1957    589    379    337    297    867    629    571    514
 1958    681    474    428    384    770    532    477    423
 1959    707    485    433    384    930    690    631    575
 1960    637    425    374    326    814    577    520    465
 1961    565    371    329    292    866    631    578    527
 1962    798    564    510    458    853    618    562    508
 1963    609    399    353    310    953    713    655    598
 1964    792    555    502    451    877    642    584    529
 1965    751    531    479    430    842    603    546    491
 1966    533    354    319    287    872    635    578    522
 1967    517    334    294    259    877    637    577    519
 1968    507    310    272    236    906    668    612    559
 1969    688    467    418    372    761    533    478    427
 1970    780    553    501    452    919    681    622    565
 1971    549    357    316    280   1029    789    729    669
 1972    684    463    413    365    843    609    554    502
 1973    563    350    305    262    926    686    626    568
 1974    538    343    301    261    821    582    525    470
 1975    712    499    452    408    872    634    576    522
 1976    566    366    322    281    882    642    585    530
 1977    838    601    546    492    896    659    602    545
 1978    623    417    371    328    885    650    596    544
 1979    589    398    355    315    846    611    555    502
 1980    645    448    405    365    875    638    580    526
 1981    558    372    332    295    891    651    591    533
 1982    706    476    422    370    711    476    427    380
 1983    477    284    248    215    878    646    593    540
 1984    536    340    301    265    919    679    620    561
 1985    691    477    432    388    757    533    484    437
 1986    630    415    367    325    899    660    602    544
 1987    771    553    505    460    940    705    648    592
 1988    775    548    501    456    933    697    641    588
 1989    611    416    373    333    825    592    536    485
 1990    522    324    279    239    913    677    619    563
 1991    768    541    489    438   1014    774    714    654
 1992    630    430    387    345    831    597    542    489
 1993    625    398    348    303    825    591    535    480
 1994    654    448    403    360    911    673    616    561
 1995    538    327    285    246    883    643    584    528
 1996    534    326    281    240    877    638    580    523
 1997    498    312    276    241    925    686    629    572
 1998    775    533    479    427    803    577    525    473
     ****************************  *************************** 
 MEAN  638.3  428.6  382.7  339.8  879.4  642.9  586.2  531.2
 STDV   95.6   82.4   78.0   73.7   67.7   65.6   64.0   62.0
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    979    731    669    607    943    695    633    573
 1952   1058    810    749    689    928    681    622    566
 1953   1047    799    738    678    981    734    675    619
 1954   1103    855    793    731    969    721    659    597
 1955   1147    899    837    775   1042    794    732    673
