 
 THIS IS FOR STATION NUMBER 3584 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.27   0.37  55(68) 14(17)  9(11)  2( 2)  0( 0)   10       80
  2 3/8-->3/14       1.60   0.54  56(65) 11(12) 14(16)  5( 5)  0( 0)    9       86
  3 3/15-->3/21      1.42   0.44  61(69) 13(14) 11(12)  3( 3)  0( 0)    7       88
  4 3/22-->3/28      1.54   0.51  44(57) 15(19) 11(14)  6( 7)  0( 0)    9       76
  5 3/29-->4/4       1.52   0.58  63(61) 24(23) 10( 9)  6( 5)  0( 0)   13      103
  6 4/5-->4/11       1.00   0.46  52(60) 23(26) 10(11)  1( 1)  0( 0)   15       86
  7 4/12-->4/18      1.48   0.71  58(56) 19(18) 16(15) 10( 9)  0( 0)   15      103
  8 4/19-->4/25      2.70   0.81  62(56) 22(20) 17(15)  7( 6)  2( 1)   14      110
  9 4/26-->5/2       2.43   0.92  60(53) 22(19) 20(17)  9( 7)  2( 1)   12      113
 10 5/3-->5/9        2.21   0.74  47(47) 28(28) 17(17)  6( 6)  1( 1)    7       99
 11 5/10-->5/16      1.83   0.92  60(50) 29(24) 19(16) 10( 8)  0( 0)    7      118
 12 5/17-->5/23      2.88   0.96  63(52) 31(25) 16(13)  6( 5)  4( 3)    7      120
 13 5/24-->5/30      2.21   1.06  70(50) 33(23) 25(18)  9( 6)  1( 0)    7      138
 14 5/31-->6/6       4.78   0.90  54(51) 22(21) 13(12) 14(13)  1( 0)    7      104
 15 6/7-->6/13       4.64   1.15  52(47) 24(21) 19(17)  9( 8)  6( 5)    7      110
 16 6/14-->6/20      2.65   1.09  54(46) 26(22) 20(17) 11( 9)  4( 3)    7      115
 17 6/21-->6/27      5.14   1.45  36(37) 21(21) 16(16) 15(15)  8( 8)    7       96
 18 6/28-->7/4       3.30   1.00  52(50) 16(15) 18(17) 14(13)  2( 1)    7      102
 19 7/5-->7/11       4.58   1.31  43(43) 21(21) 14(14) 17(17)  5( 5)    7      100
 20 7/12-->7/18      6.47   1.27  55(50) 19(17) 17(15) 14(12)  5( 4)    7      110
 21 7/19-->7/25      2.73   0.85  41(48) 18(21) 14(16)  9(10)  3( 3)    7       85
 22 7/26-->8/1       4.52   0.98  41(43) 20(21) 23(24)  7( 7)  3( 3)    8       94
 23 8/2-->8/8        2.00   0.80  54(55) 15(15) 20(20)  8( 8)  1( 1)   14       98
 24 8/9-->8/15       3.07   0.78  43(52) 15(18) 13(15)  9(10)  2( 2)   14       82
 25 8/16-->8/22      2.45   0.91  34(40) 17(20) 20(23) 10(11)  3( 3)   14       84
 26 8/23-->8/29      3.59   1.16  35(38) 15(16) 19(20) 21(22)  2( 2)   14       92
 27 8/30-->9/5       2.97   0.84  47(54) 14(16) 11(12) 12(13)  2( 2)    9       86
 28 9/6-->9/12       2.90   0.69  44(54) 17(20) 13(16)  4( 4)  3( 3)    7       81
 29 9/13-->9/19      4.25   0.78  48(53) 17(18) 16(17)  7( 7)  2( 2)    7       90
 30 9/20-->9/26      3.08   0.86  57(52) 25(23) 17(15)  7( 6)  2( 1)    7      108
 31 9/27-->10/3      1.62   0.57  35(44) 25(32) 13(16)  5( 6)  0( 0)    7       78
 32 10/4-->10/10     2.21   0.66  45(54) 15(18) 14(17)  7( 8)  1( 1)    7       82
 33 10/11-->10/17    2.15   0.53  37(51) 16(22) 14(19)  3( 4)  2( 2)    7       72
 34 10/18-->10/24    2.76   0.52  40(54) 19(25) 11(14)  3( 4)  1( 1)    7       74
 35 10/25-->10/31    2.15   0.47  44(57) 19(25) 10(13)  2( 2)  1( 1)    7       76
 36 11/1-->11/7      2.12   0.45  46(65) 11(15)  7(10)  4( 5)  2( 2)    7       70
 37 11/8-->11/14     1.27   0.32  35(59) 14(23)  8(13)  2( 3)  0( 0)    7       59
 38 11/15-->11/21    1.41   0.51  32(48) 13(19) 17(25)  4( 6)  0( 0)    8       66
 39 11/22-->11/28    1.09   0.25  51(75) 14(20)  2( 2)  1( 1)  0( 0)    8       68
 40 11/29-->12/5     1.45   0.28  52(73) 12(16)  6( 8)  1( 1)  0( 0)    7       71
 41 12/6-->12/12     0.98   0.25  44(73)  8(13)  8(13)  0( 0)  0( 0)    7       60
 42 12/13-->12/19    1.20   0.21  41(78)  5( 9)  5( 9)  1( 1)  0( 0)    8       52
 43 12/20-->12/26    1.10   0.22  53(80)  7(10)  5( 7)  1( 1)  0( 0)    7       66
 44 12/27-->1/2      1.14   0.24  39(69) 10(17)  6(10)  1( 1)  0( 0)    9       56
 45 1/3-->1/9        1.40   0.21  39(76)  8(15)  2( 3)  2( 3)  0( 0)    7       51
 46 1/10-->1/16      0.90   0.20  47(81)  7(12)  4( 6)  0( 0)  0( 0)    9       58
 47 1/17-->1/23      1.29   0.18  54(85)  7(11)  1( 1)  1( 1)  0( 0)    7       63
 48 1/24-->1/30      0.92   0.19  69(90)  3( 3)  4( 5)  0( 0)  0( 0)    7       76
 49 1/31-->2/6       1.10   0.20  43(78)  8(14)  3( 5)  1( 1)  0( 0)    9       55
 50 2/7-->2/13       0.88   0.16  41(82)  6(12)  3( 6)  0( 0)  0( 0)    7       50
 51 2/14-->2/20      1.32   0.27  35(66) 10(18)  6(11)  2( 3)  0( 0)    9       53
 52 2/21-->2/27      0.83   0.23  50(76)  9(13)  6( 9)  0( 0)  0( 0)    8       65
 53 2/28-->2/29      0.53   0.03   4(66)  1(16)  1(16)  0( 0)  0( 0)    2        6
 ANNUAL TOTALS       6.47   2517(57)853(19)634(14)309( 7) 71( 1)  450     4384
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 3584
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.82 0.88 2.09 2.99 4.14 4.91 4.76 4.07 3.27 2.35 1.61 1.06 32.95  <-- PRECIP
  
   15.4 21.6 32.7 47.9 60.7 70.4 74.0 71.8 63.2 51.7 35.3 21.6  51.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     17  1968     6.47
   6     26  1951     5.14
   6      4  1974     4.78
   7     11  1964     4.58
   6      9  1967     4.64
   7     27  1990     4.52
   9     13  1978     4.25
   6     25  1969     3.66
   8     29  1985     3.59
   7     10  1988     3.58
   6     25  1968     3.38
   7      2  1962     3.30
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  3584
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      7      0      0      0    192     99     82     68
 1952     43     23     20     17    344    225    202    181
 1953    119     46     34     24    174     76     60     47
 1954     48     12      8      5    406    249    217    188
 1955     95     42     32     24    463    290    256    225
 1956     53     17     12      8    268    160    135    113
 1957     83     31     21     14    356    222    198    177
 1958     56     14      9      6    303    168    139    117
 1959     56     20     14     11    323    188    163    141
 1960     11      0      0      0    347    210    186    164
 1961     53     19     13      9    175     85     67     52
 1962     19      8      6      5    287    172    152    133
 1963    160    101     88     76    372    221    188    159
 1964     57     24     18     13    310    175    150    128
 1965      2      0      0      0    215    116     96     80
 1966    177     89     72     56    176     81     62     45
 1967    152     91     78     67    331    187    154    125
 1968    250    154    135    118    384    230    196    165
 1969     12      0      0      0    327    188    160    133
 1970     21      2      1      0    352    223    196    170
 1971     45     21     18     15    346    213    187    162
 1972     82     31     23     18    235    117     95     75
 1973    147     57     42     29    268    145    123    102
 1974     91     33     24     18    353    211    183    156
 1975     18      3      1      0    182     90     75     61
 1976    133     71     61     52    416    264    229    194
 1977    205    104     86     70    512    354    318    286
 1978    103     51     42     34    261    142    116     93
 1979     34      6      3      1    213    108     89     73
 1980     63     23     17     11    354    220    195    171
 1981    194     96     77     61    427    257    223    192
 1982     64     24     17     11    261    152    128    107
 1983     89     41     34     28    191    103     89     77
 1984     15      0      0      0    258    134    107     85
 1985    135     57     42     31    412    270    242    214
 1986    137     76     66     58    363    216    187    159
 1987    144     76     64     52    410    277    249    224
 1988    140     67     54     41    280    166    141    117
 1989     91     50     42     36    300    174    149    128
 1990    161     79     62     47    320    196    170    146
 1991    117     53     42     32    330    198    171    146
 1992    105     44     32     21    202    107     92     77
 1993     24      5      4      3    206     99     82     68
 1994    120     57     47     38    315    205    180    155
 1995    124     56     43     35    197    104     86     69
 1996     70     23     18     13    240    142    124    108
 1997     95     39     29     23    246    149    128    107
 1998     96     53     44     36    300    167    141    117
     ****************************  *************************** 
 MEAN   90.2   41.6   33.4   26.6  302.4  178.3  153.6  131.0
 STDV   58.2   34.4   29.4   25.1   82.6   62.7   57.9   53.2
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    680    457    406    358    706    480    425    372
 1952    533    334    291    252    934    697    638    582
 1953    600    390    349    313    905    669    612    556
 1954    483    315    276    240    928    695    639    584
 1955    699    487    440    397    784    554    503    454
 1956    642    439    394    351    946    711    654    598
 1957    550    347    305    266    813    577    519    463
 1958    646    446    400    358    722    490    437    388
 1959    676    458    408    361    882    644    587    534
 1960    598    386    338    295    781    548    496    447
 1961    531    347    308    270    837    608    557    508
 1962    746    511    458    408    795    561    507    455
 1963    592    385    341    301    922    687    630    575
 1964    751    523    474    427    864    630    574    519
 1965    721    504    454    406    824    588    532    478
 1966    513    344    309    278    858    624    568    513
 1967    501    320    282    248    845    609    551    496
 1968    491    311    272    236    892    657    601    548
 1969    615    413    368    326    693    473    422    373
 1970    675    468    423    379    874    639    582    529
 1971    531    343    308    273   1014    774    715    656
 1972    622    422    376    331    815    590    537    485
 1973    509    312    272    234    917    677    617    558
 1974    508    320    279    243    799    564    508    457
 1975    729    502    450    403    877    638    580    523
 1976    578    376    333    293    900    663    606    550
 1977    879    638    579    522    924    686    627    569
 1978    644    432    386    341    894    657    599    542
 1979    611    408    366    329    854    615    557    502
 1980    681    469    419    374    878    638    580    524
 1981    567    367    325    285    894    654    594    534
 1982    695    465    409    356    721    486    435    387
 1983    490    294    257    223    879    640    582    527
 1984    533    333    294    259    884    645    586    528
 1985    719    489    438    395    754    521    467    417
 1986    612    395    349    305    897    659    601    543
 1987    755    536    488    442    946    708    649    591
 1988    753    528    481    438    956    719    661    603
 1989    589    391    350    314    809    577    524    475
 1990    485    292    254    220    875    642    585    530
 1991    713    494    444    399    958    718    658    599
 1992    603    407    369    333    788    559    504    455
 1993    544    334    292    252    772    541    486    432
 1994    609    413    372    335    890    652    594    537
 1995    497    295    258    224    868    632    576    522
 1996    460    269    229    192    816    579    522    468
 1997    408    244    213    184    881    642    586    532
 1998    729    496    444    399    761    532    479    428
     ****************************  *************************** 
 MEAN  610.6  405.4  361.3  320.5  855.0  620.0  563.8  509.6
 STDV   99.7   84.7   79.6   74.7   72.2   69.1   67.2   64.7
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    943    695    633    572    865    618    560    502
 1952    998    752    692    633    873    636    582    531
 1953    974    727    667    608    912    669    613    559
 1954   1045    797    735    673    938    691    631    572
 1955   1108    860    798    736   1033    786    727    670
