 
 THIS IS FOR STATION NUMBER 1402 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.01   0.39  59(68) 15(17) 11(12)  1( 1)  0( 0)    0       86
  2 3/8-->3/14       1.50   0.52  76(72) 14(13)  9( 8)  6( 5)  0( 0)    0      105
  3 3/15-->3/21      1.25   0.45  76(72) 19(18)  7( 6)  3( 2)  0( 0)    0      105
  4 3/22-->3/28      1.75   0.53  69(66) 18(17) 15(14)  2( 1)  0( 0)    0      104
  5 3/29-->4/4       2.39   0.63  83(67) 21(17) 15(12)  3( 2)  1( 0)    0      123
  6 4/5-->4/11       1.09   0.58  56(56) 24(24) 18(18)  2( 2)  0( 0)    0      100
  7 4/12-->4/18      3.06   0.82  73(60) 25(20) 14(11)  6( 5)  2( 1)    0      120
  8 4/19-->4/25      2.21   0.84  66(55) 25(20) 22(18)  6( 5)  1( 0)    0      120
  9 4/26-->5/2       2.46   0.98  76(57) 25(18) 21(15)  9( 6)  1( 0)    0      132
 10 5/3-->5/9        1.95   0.70  69(62) 16(14) 17(15)  8( 7)  0( 0)    0      110
 11 5/10-->5/16      3.55   1.00  62(50) 32(26) 17(13)  9( 7)  2( 1)    0      122
 12 5/17-->5/23      2.56   0.81  65(57) 21(18) 20(17)  6( 5)  2( 1)    0      114
 13 5/24-->5/30      2.17   1.18  76(52) 30(20) 25(17) 13( 8)  2( 1)    0      146
 14 5/31-->6/6       1.18   0.62  64(58) 24(22) 18(16)  3( 2)  0( 0)    0      109
 15 6/7-->6/13       3.42   1.11  77(55) 22(15) 29(20) 11( 7)  1( 0)    0      140
 16 6/14-->6/20      3.56   1.14  80(58) 18(13) 22(16) 11( 8)  5( 3)    0      136
 17 6/21-->6/27      3.57   1.46  50(42) 18(15) 29(24) 14(11)  8( 6)    0      119
 18 6/28-->7/4       3.32   0.99  76(61) 16(12) 19(15)  9( 7)  4( 3)    0      124
 19 7/5-->7/11       2.30   0.95  55(52) 16(15) 18(17) 13(12)  3( 2)    0      105
 20 7/12-->7/18      3.25   1.09  45(41) 27(24) 22(20) 11(10)  4( 3)    0      109
 21 7/19-->7/25      3.67   0.93  70(61) 13(11) 19(16)  7( 6)  4( 3)    0      113
 22 7/26-->8/1       3.84   0.88  52(50) 25(24) 16(15)  5( 4)  4( 3)    0      102
 23 8/2-->8/8        2.11   0.89  55(50) 24(22) 20(18)  8( 7)  2( 1)    0      109
 24 8/9-->8/15       6.30   0.66  55(61) 22(24)  7( 7)  5( 5)  1( 1)    0       90
 25 8/16-->8/22      3.35   1.15  48(45) 18(17) 23(21) 10( 9)  6( 5)    0      105
 26 8/23-->8/29      2.59   1.05  57(49) 24(20) 20(17) 12(10)  3( 2)    0      116
 27 8/30-->9/5       3.76   0.91  56(56) 15(15) 14(14) 10(10)  4( 4)    0       99
 28 9/6-->9/12       4.04   0.67  59(67)  7( 7) 11(12) 10(11)  1( 1)    0       88
 29 9/13-->9/19      2.40   0.80  50(48) 25(24) 21(20)  6( 5)  2( 1)    0      104
 30 9/20-->9/26      5.18   1.01  70(56) 21(16) 24(19)  6( 4)  3( 2)    0      124
 31 9/27-->10/3      2.35   0.61  57(58) 24(24) 11(11)  5( 5)  1( 1)    0       98
 32 10/4-->10/10     3.22   0.60  55(61) 14(15) 15(16)  5( 5)  1( 1)    0       90
 33 10/11-->10/17    2.45   0.59  47(60) 12(15) 13(16)  4( 5)  2( 2)    0       78
 34 10/18-->10/24    1.85   0.54  48(61) 14(17) 10(12)  6( 7)  0( 0)    0       78
 35 10/25-->10/31    1.20   0.46  53(63) 16(19) 12(14)  3( 3)  0( 0)    0       84
 36 11/1-->11/7      2.78   0.45  62(72) 10(11)  8( 9)  3( 3)  2( 2)    0       85
 37 11/8-->11/14     1.70   0.34  56(72) 13(16)  4( 5)  4( 5)  0( 0)    0       77
 38 11/15-->11/21    1.57   0.52  45(55) 17(20) 13(16)  6( 7)  0( 0)    0       81
 39 11/22-->11/28    1.02   0.35  60(70) 17(20)  7( 8)  1( 1)  0( 0)    0       85
 40 11/29-->12/5     0.98   0.29  68(80)  9(10)  8( 9)  0( 0)  0( 0)    0       85
 41 12/6-->12/12     1.12   0.26  62(80)  6( 7)  8(10)  1( 1)  0( 0)    0       77
 42 12/13-->12/19    0.93   0.23  61(81) 10(13)  4( 5)  0( 0)  0( 0)    0       75
 43 12/20-->12/26    0.59   0.19  76(89)  6( 7)  3( 3)  0( 0)  0( 0)    0       85
 44 12/27-->1/2      1.16   0.22  59(80)  9(12)  4( 5)  1( 1)  0( 0)    0       73
 45 1/3-->1/9        1.40   0.20  50(78) 12(18)  1( 1)  1( 1)  0( 0)    0       64
 46 1/10-->1/16      1.02   0.18  61(87)  7(10)  1( 1)  1( 1)  0( 0)    0       70
 47 1/17-->1/23      0.76   0.21  69(86)  8(10)  3( 3)  0( 0)  0( 0)    0       80
 48 1/24-->1/30      0.76   0.22  82(87)  8( 8)  4( 4)  0( 0)  0( 0)    0       94
 49 1/31-->2/6       0.68   0.18  64(85)  8(10)  3( 4)  0( 0)  0( 0)    0       75
 50 2/7-->2/13       1.04   0.15  51(87)  3( 5)  3( 5)  1( 1)  0( 0)    0       58
 51 2/14-->2/20      1.09   0.25  57(76) 11(14)  6( 8)  1( 1)  0( 0)    0       75
 52 2/21-->2/27      1.14   0.27  61(78) 10(12)  6( 7)  1( 1)  0( 0)    0       78
 53 2/28-->2/29      0.76   0.03  10(90)  0( 0)  1( 9)  0( 0)  0( 0)    0       11
 ANNUAL TOTALS       6.30   3239(63)864(16)691(13)269( 5) 72( 1)    0     5135
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 1402
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.85 0.88 2.11 3.38 4.04 4.79 4.18 4.20 3.47 2.36 1.75 1.06 33.07  <-- PRECIP
  
   15.8 21.9 33.4 48.7 61.1 70.6 74.2 72.3 63.6 52.1 35.5 21.9  52.2  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     10  1980     6.30
   9     25  1972     5.18
   9      8  1964     4.04
   7     27  1990     3.84
   8     31  1962     3.76
   7     19  1963     3.67
   5     10  1963     3.55
   6     15  1978     3.56
   6     27  1985     3.57
   6      9  1974     3.42
   8     22  1959     3.35
   6     28  1998     3.32
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  1402
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      8      0      0      0    179     92     76     65
 1952     39     17     14     11    352    223    197    175
 1953    113     46     34     24    161     66     52     40
 1954     63     16     10      6    422    262    230    201
 1955     99     41     31     22    476    305    267    234
 1956     45      9      4      1    280    168    143    120
 1957     84     27     19     14    366    224    197    173
 1958     58     14      9      5    338    196    166    139
 1959     39      7      3      1    333    193    167    143
 1960     18      2      1      0    366    223    197    174
 1961     51     16     11      8    196     94     74     57
 1962     25     11      9      7    289    171    150    131
 1963    152     99     88     78    375    227    193    163
 1964     66     22     15      9    322    190    164    142
 1965      3      0      0      0    227    121    103     86
 1966    167     76     60     45    203     98     79     61
 1967    149     88     75     63    323    182    152    124
 1968    247    150    129    109    382    235    203    175
 1969     33      8      4      2    336    189    160    133
 1970     21      0      0      0    356    228    201    174
 1971     40     17     14     11    358    226    198    171
 1972     62     18     14     11    240    126    105     86
 1973    160     65     49     35    270    154    131    108
 1974     72     27     20     15    363    215    184    154
 1975     13      0      0      0    183     90     74     58
 1976    126     66     57     48    402    248    213    178
 1977    189     93     74     58    504    344    308    275
 1978    100     50     41     33    283    156    128    101
 1979     30      3      0      0    204    104     86     71
 1980     63     16     10      5    347    214    188    165
 1981    175     79     63     50    412    245    211    181
 1982     52     16     12      8    256    147    125    103
 1983     92     43     34     27    197    107     93     82
 1984     27      1      0      0    271    140    112     87
 1985    140     59     45     34    476    319    287    258
 1986    167    100     88     78    404    251    217    185
 1987    150     75     63     53    459    314    284    255
 1988    123     49     35     24    311    191    163    137
 1989    104     58     50     42    314    188    163    139
 1990    175     83     64     47    362    224    193    165
 1991    134     61     50     41    368    220    188    158
 1992    137     55     40     28    255    141    121    101
 1993     26      5      3      1    232    115     95     78
 1994    140     66     54     45    364    239    211    183
 1995    152     72     57     45    243    130    107     85
 1996     89     31     23     18    291    177    153    130
 1997    101     46     36     29    275    169    147    125
 1998    119     70     62     55    355    211    180    154
     ****************************  *************************** 
 MEAN   92.7   41.3   33.0   26.2  318.6  189.7  163.5  139.5
 STDV   58.3   34.7   29.8   25.5   83.8   64.6   59.3   54.6
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    682    462    410    361    716    484    428    374
 1952    545    337    292    252    926    688    629    570
 1953    594    374    329    291    906    666    607    549
 1954    507    334    295    258    938    705    649    593
 1955    720    501    455    410    788    555    503    454
 1956    665    456    409    366    962    727    669    614
 1957    588    379    335    295    848    611    554    497
 1958    677    474    427    383    734    502    450    400
 1959    709    491    439    391    901    661    602    547
 1960    613    405    356    310    816    582    528    477
 1961    559    366    327    290    868    636    584    534
 1962    764    539    486    435    824    586    529    474
 1963    594    386    344    305    937    699    640    583
 1964    752    522    474    426    852    623    569    516
 1965    715    495    446    399    838    600    544    490
 1966    496    328    293    260    854    619    563    509
 1967    502    322    283    246    861    624    567    512
 1968    497    313    276    242    869    631    576    522
 1969    635    429    385    341    691    468    417    370
 1970    682    470    422    375    880    644    587    532
 1971    522    344    306    270    987    747    687    628
 1972    682    465    419    373    825    601    550    499
 1973    525    328    286    248    917    677    617    558
 1974    528    330    286    247    792    555    501    450
 1975    702    481    432    387    874    638    582    528
 1976    566    363    320    281    889    650    594    539
 1977    861    623    566    512    899    661    602    544
 1978    651    439    394    351    878    643    587    536
 1979    578    382    342    303    842    605    547    494
 1980    667    459    412    370    871    633    578    523
 1981    563    364    322    282    873    633    573    513
 1982    701    471    417    363    725    493    443    396
 1983    481    286    247    214    858    625    570    516
 1984    546    349    309    271    895    656    597    538
 1985    744    515    465    419    769    538    485    435
 1986    656    436    386    340    902    663    605    549
 1987    768    553    504    457    943    706    649    592
 1988    754    540    495    452    932    699    642    587
 1989    599    407    367    329    810    586    535    486
 1990    519    327    287    251    860    628    572    517
 1991    734    516    465    416    980    740    680    620
 1992    655    456    412    371    812    582    526    473
 1993    576    372    327    285    778    550    494    439
 1994    649    452    409    368    887    651    594    539
 1995    534    337    298    262    880    643    587    532
 1996    491    297    259    221    845    608    550    496
 1997    471    302    266    234    886    647    589    535
 1998    788    547    492    443    799    570    517    464
     ****************************  *************************** 
 MEAN  625.3  419.5  374.7  332.7  859.0  623.9  568.0  513.7
 STDV   97.1   82.9   78.4   73.8   66.5   63.8   61.9   59.6
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    944    696    635    575    857    609    548    488
 1952   1005    757    695    633    895    647    586    526
 1953    998    750    689    630    964    717    657    599
 1954   1047    799    737    675    941    694    633    574
 1955   1119    871    809    747   1044    796    735    675
 1956    922    674    612    550    961    718    660    603
