 
 THIS IS FOR STATION NUMBER 2110 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.28   0.38  39(60) 15(23)  8(12)  3( 4)  0( 0)    0       65
  2 3/8-->3/14       1.68   0.43  61(70) 15(17)  8( 9)  3( 3)  0( 0)    0       87
  3 3/15-->3/21      1.16   0.38  48(64) 13(17) 12(16)  1( 1)  0( 0)    0       74
  4 3/22-->3/28      1.97   0.51  49(59) 18(21) 13(15)  3( 3)  0( 0)    0       83
  5 3/29-->4/4       1.95   0.59  52(57) 21(23) 15(16)  3( 3)  0( 0)    1       91
  6 4/5-->4/11       1.99   0.59  49(55) 21(23) 13(14)  5( 5)  0( 0)    0       88
  7 4/12-->4/18      3.03   0.85  64(55) 22(18) 24(20)  4( 3)  2( 1)    0      116
  8 4/19-->4/25      3.74   0.95  50(45) 26(23) 26(23)  7( 6)  1( 0)    0      110
  9 4/26-->5/2       2.34   0.98  66(51) 29(22) 23(17)  9( 7)  1( 0)    0      128
 10 5/3-->5/9        1.88   0.72  61(57) 17(16) 23(21)  5( 4)  0( 0)    0      106
 11 5/10-->5/16      2.97   0.89  63(53) 27(22) 19(16)  8( 6)  1( 0)    0      118
 12 5/17-->5/23      1.87   0.72  66(60) 26(23) 10( 9)  7( 6)  0( 0)    0      109
 13 5/24-->5/30      2.65   1.12  74(53) 28(20) 22(15) 13( 9)  1( 0)    0      138
 14 5/31-->6/6       1.41   0.69  61(60) 14(13) 20(19)  6( 5)  0( 0)    0      101
 15 6/7-->6/13       2.37   1.05  63(50) 26(20) 25(20)  8( 6)  3( 2)    0      125
 16 6/14-->6/20      2.32   1.06  54(46) 26(22) 22(18) 13(11)  2( 1)    2      117
 17 6/21-->6/27      4.99   1.26  68(55) 16(13) 21(17) 13(10)  4( 3)    0      122
 18 6/28-->7/4       3.27   1.16  53(47) 16(14) 29(25) 10( 8)  4( 3)    0      112
 19 7/5-->7/11       2.43   0.78  50(53) 24(25)  7( 7) 12(12)  1( 1)    0       94
 20 7/12-->7/18      3.06   1.17  59(50) 23(19) 17(14) 12(10)  5( 4)    0      116
 21 7/19-->7/25      2.17   1.01  48(47) 23(22) 15(14) 14(13)  2( 1)    0      102
 22 7/26-->8/1       6.08   0.92  58(61) 14(14) 12(12)  6( 6)  5( 5)    0       95
 23 8/2-->8/8        3.64   1.07  68(58) 15(12) 19(16)  9( 7)  5( 4)    0      116
 24 8/9-->8/15       3.43   0.81  45(50) 14(15) 17(19) 11(12)  2( 2)    0       89
 25 8/16-->8/22      2.21   0.76  60(57) 17(16) 19(18)  7( 6)  1( 0)    0      104
 26 8/23-->8/29      3.34   1.01  59(56) 13(12) 19(18)  9( 8)  5( 4)    0      105
 27 8/30-->9/5       3.62   0.84  55(58) 15(15) 15(15)  6( 6)  3( 3)    5       94
 28 9/6-->9/12       2.81   0.75  49(55) 14(15) 15(17)  8( 9)  2( 2)    7       88
 29 9/13-->9/19      2.15   0.82  60(55) 25(22) 14(12)  9( 8)  1( 0)    7      109
 30 9/20-->9/26      4.79   1.07  75(60) 22(17) 15(12)  8( 6)  4( 3)    7      124
 31 9/27-->10/3      1.45   0.58  53(57) 20(21) 14(15)  5( 5)  0( 0)    4       92
 32 10/4-->10/10     1.75   0.58  59(66) 10(11) 15(16)  5( 5)  0( 0)    0       89
 33 10/11-->10/17    1.66   0.51  44(56) 18(23) 11(14)  5( 6)  0( 0)    0       78
 34 10/18-->10/24    1.57   0.53  49(57) 19(22) 11(12)  6( 7)  0( 0)    0       85
 35 10/25-->10/31    1.28   0.42  48(62) 17(22)  8(10)  4( 5)  0( 0)    0       77
 36 11/1-->11/7      1.74   0.43  56(73)  6( 7)  9(11)  5( 6)  0( 0)    0       76
 37 11/8-->11/14     2.62   0.38  44(69)  9(14)  5( 7)  4( 6)  1( 1)    2       63
 38 11/15-->11/21    2.39   0.59  51(61) 11(13) 16(19)  4( 4)  1( 1)    3       83
 39 11/22-->11/28    0.82   0.34  48(64) 16(21) 11(14)  0( 0)  0( 0)    0       75
 40 11/29-->12/5     1.36   0.30  47(72) 10(15)  7(10)  1( 1)  0( 0)    0       65
 41 12/6-->12/12     0.86   0.27  58(80)  6( 8)  8(11)  0( 0)  0( 0)    0       72
 42 12/13-->12/19    1.34   0.21  46(79)  9(15)  2( 3)  1( 1)  0( 0)    0       58
 43 12/20-->12/26    0.75   0.20  51(80)  8(12)  4( 6)  0( 0)  0( 0)    0       63
 44 12/27-->1/2      0.82   0.20  44(78)  5( 8)  7(12)  0( 0)  0( 0)    1       56
 45 1/3-->1/9        1.15   0.17  44(84)  6(11)  1( 1)  1( 1)  0( 0)    1       52
 46 1/10-->1/16      0.64   0.17  43(79)  8(14)  3( 5)  0( 0)  0( 0)    0       54
 47 1/17-->1/23      0.52   0.20  64(86)  8(10)  2( 2)  0( 0)  0( 0)    0       74
 48 1/24-->1/30      1.25   0.22  70(85)  8( 9)  3( 3)  1( 1)  0( 0)    0       82
 49 1/31-->2/6       0.75   0.17  45(83)  5( 9)  4( 7)  0( 0)  0( 0)    1       54
 50 2/7-->2/13       0.87   0.15  49(87)  4( 7)  3( 5)  0( 0)  0( 0)    0       56
 51 2/14-->2/20      1.17   0.19  39(76)  9(17)  2( 3)  1( 1)  0( 0)    0       51
 52 2/21-->2/27      5.00   0.41  41(65) 12(19)  7(11)  2( 3)  1( 1)    1       63
 53 2/28-->2/29      0.15   0.01  10(**)  0( 0)  0( 0)  0( 0)  0( 0)    0       10
 ANNUAL TOTALS       6.08   2830(60)819(17)670(14)277( 5) 58( 1)   42     4654
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 2110
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.81 0.93 1.93 3.46 3.84 4.54 4.31 4.15 3.47 2.25 1.84 1.03 32.56  <-- PRECIP
  
   15.5 21.4 32.9 48.1 60.3 69.6 73.7 71.8 62.9 51.5 35.4 21.9  51.2  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     29  1970     6.08
   6     23  1964     4.99
   2     24  1997     5.00
   9     21  1986     4.79
   6     26  1951     4.72
   9     25  1972     4.56
   4     23  1968     3.74
   8      6  1951     3.64
   8     31  1962     3.62
   7     27  1953     3.46
   8     15  1993     3.43
   8     25  1983     3.34
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  2110
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     21      1      0      0    198     89     73     60
 1952     34     15     12      9    341    228    204    183
 1953    114     46     35     26    184     80     60     45
 1954     65     20     14      9    401    241    210    181
 1955     90     38     28     21    456    294    258    224
 1956     38      6      3      1    256    145    121     98
 1957     87     27     17     12    360    221    192    171
 1958     71     22     13      8    325    193    162    135
 1959     41      5      3      1    315    173    147    124
 1960     27      8      5      3    352    217    190    168
 1961     61     20     14     10    193     92     72     54
 1962     35     13     11      9    296    179    153    128
 1963    149     94     83     73    373    228    195    164
 1964     73     26     18     11    341    203    176    150
 1965      4      0      0      0    233    126    106     88
 1966    173     78     58     41    214    102     81     63
 1967    131     69     57     47    335    186    153    123
 1968    254    150    129    110    395    242    209    179
 1969     44     16     10      6    355    203    174    145
 1970     32      0      0      0    357    226    196    168
 1971     43     17     13     11    362    231    203    176
 1972     40     13      9      5    206    109     89     72
 1973    147     61     47     36    231    119     97     76
 1974     50     21     15     11    339    197    167    139
 1975     17      0      0      0    157     72     58     45
 1976    106     53     45     37    353    207    174    142
 1977    159     72     56     42    479    318    284    251
 1978     76     37     31     26    254    133    108     86
 1979     30      6      3      1    192     98     83     69
 1980     45      9      5      2    332    207    183    160
 1981    138     67     53     43    365    197    165    137
 1982     42     13     10      7    232    130    107     86
 1983     93     40     31     24    192    101     86     72
 1984     36      8      3      1    267    137    111     88
 1985    117     42     31     22    440    288    257    229
 1986    160     93     82     72    415    255    222    192
 1987    170     80     65     53    459    316    287    260
 1988    127     48     33     21    338    205    177    150
 1989    119     68     58     49    330    188    159    133
 1990    188     92     72     55    388    245    215    187
 1991    142     65     53     42    389    241    210    180
 1992    127     49     36     24    251    139    117     97
 1993     40     11      8      6    243    125    101     83
 1994    123     57     48     39    356    231    202    175
 1995    185     98     78     62    239    127    104     81
 1996     88     28     21     16    294    176    152    129
 1997    106     48     39     32    289    178    153    128
 1998    134     78     69     60    373    224    193    164
     ****************************  *************************** 
 MEAN   91.8   40.4   32.0   25.1  313.7  184.9  158.5  134.4
 STDV   56.6   33.6   28.8   24.5   81.5   63.1   58.5   53.9
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    685    473    424    378    710    485    433    385
 1952    555    356    315    276    899    663    605    550
 1953    591    385    345    308    895    657    600    544
 1954    456    297    261    229    920    690    636    582
 1955    684    481    435    392    757    530    481    433
 1956    621    423    379    338    924    695    640    585
 1957    549    348    305    266    826    594    538    483
 1958    633    442    398    357    708    489    438    391
 1959    710    496    445    397    860    627    570    514
 1960    589    388    344    302    763    540    490    440
 1961    536    357    317    279    830    611    563    515
 1962    745    520    467    416    801    566    511    458
 1963    570    375    334    297    901    669    615    564
 1964    765    541    492    446    866    638    583    531
 1965    726    511    461    414    814    581    529    478
 1966    498    334    298    266    851    621    568    517
 1967    510    331    291    253    868    635    580    527
 1968    513    324    286    252    848    609    556    504
 1969    634    428    383    342    654    440    392    348
 1970    678    467    418    372    864    631    577    525
 1971    508    341    303    269    968    728    669    611
 1972    670    455    407    360    780    560    509    458
 1973    475    278    236    197    873    633    573    513
 1974    490    295    255    218    733    498    446    398
 1975    668    446    398    352    826    589    533    478
 1976    529    335    294    254    859    620    562    506
 1977    823    588    532    479    833    596    538    483
 1978    620    411    364    319    835    600    545    493
 1979    542    355    314    276    804    567    508    452
 1980    652    443    394    351    834    597    543    490
 1981    547    355    313    274    840    600    540    482
 1982    671    441    387    337    688    462    414    367
 1983    464    266    226    189    835    601    547    494
 1984    527    334    295    258    897    657    598    540
 1985    734    500    449    401    754    523    470    421
 1986    657    442    391    344    878    641    584    528
 1987    745    533    484    437    933    697    640    584
 1988    732    528    482    440    909    683    629    580
 1989    589    406    366    327    799    578    527    478
 1990    532    342    304    266    866    635    580    527
 1991    725    509    461    413    963    723    664    607
 1992    631    450    408    368    752    527    477    429
 1993    579    377    331    289    753    526    472    419
 1994    610    429    388    348    887    659    604    550
 1995    533    347    307    271    889    653    597    541
 1996    491    305    268    231    831    595    538    482
 1997    480    306    268    231    864    631    577    524
 1998    760    531    480    433    789    563    510    458
     ****************************  *************************** 
 MEAN  609.3  409.1  364.9  323.5  834.3  602.6  548.1  495.4
 STDV   95.5   81.3   77.1   72.8   70.3   66.7   64.6   62.3
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    936    689    629    571    851    603    545    490
 1952   1024    776    716    658    888    644    590    537
 1953    972    727    668    610    917    674    615    560
 1954   1016    768    706    644    899    655    596    539
 1955   1102    854    792    730   1005    759    702    645
 1956    886    638    578    520    929    692    635    578
