 
 THIS IS FOR STATION NUMBER 2724 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.51   0.35  41(66) 10(16)  8(12)  3( 4)  0( 0)   27       62
  2 3/8-->3/14       1.50   0.35  33(57) 12(21)  9(15)  3( 5)  0( 0)   24       57
  3 3/15-->3/21      1.50   0.34  43(65) 14(21)  8(12)  1( 1)  0( 0)   26       66
  4 3/22-->3/28      1.42   0.46  40(58) 12(17) 10(14)  6( 8)  0( 0)   21       68
  5 3/29-->4/4       1.90   0.53  38(48) 24(30) 11(14)  5( 6)  0( 0)   13       78
  6 4/5-->4/11       1.42   0.41  61(72) 12(14)  7( 8)  4( 4)  0( 0)    4       84
  7 4/12-->4/18      1.96   0.66  49(54) 20(22) 12(13)  9(10)  0( 0)    0       90
  8 4/19-->4/25      2.10   0.75  56(57) 21(21)  7( 7) 12(12)  1( 1)    1       97
  9 4/26-->5/2       3.50   0.87  58(52) 30(27) 14(12)  6( 5)  3( 2)    1      111
 10 5/3-->5/9        3.25   0.76  56(54) 18(17) 21(20)  6( 5)  1( 0)    0      102
 11 5/10-->5/16      3.00   0.80  50(46) 31(28) 22(20)  3( 2)  1( 0)    0      107
 12 5/17-->5/23      3.00   0.76  51(49) 31(29) 14(13)  7( 6)  1( 0)    0      104
 13 5/24-->5/30      2.26   0.92  66(56) 18(15) 21(17) 10( 8)  2( 1)    1      117
 14 5/31-->6/6       3.89   0.77  39(46) 21(25) 10(12) 11(13)  2( 2)    0       83
 15 6/7-->6/13       3.50   1.06  60(52) 25(21) 17(14)  9( 7)  4( 3)    0      115
 16 6/14-->6/20      3.50   1.23  64(49) 29(22) 19(14) 13(10)  4( 3)    0      129
 17 6/21-->6/27      2.43   1.15  46(45) 19(18) 19(18) 13(12)  5( 4)    1      102
 18 6/28-->7/4       3.26   1.01  37(40) 23(25) 17(18) 11(12)  3( 3)    0       91
 19 7/5-->7/11       2.38   0.98  53(51) 19(18) 17(16) 10( 9)  4( 3)    0      103
 20 7/12-->7/18      2.00   0.71  53(54) 18(18) 21(21)  5( 5)  1( 1)    0       98
 21 7/19-->7/25      2.37   0.72  48(52) 25(27)  9( 9)  8( 8)  2( 2)    0       92
 22 7/26-->8/1       2.13   0.64  45(54) 19(22) 10(12)  8( 9)  1( 1)    1       83
 23 8/2-->8/8        2.20   0.83  43(47) 18(19) 17(18) 12(13)  1( 1)    7       91
 24 8/9-->8/15       1.86   0.76  37(46) 17(21) 12(15) 14(17)  0( 0)    7       80
 25 8/16-->8/22      2.50   0.82  49(50) 24(24) 11(11) 13(13)  1( 1)    7       98
 26 8/23-->8/29      2.75   0.94  45(48) 16(17) 20(21)  9( 9)  3( 3)    7       93
 27 8/30-->9/5       5.80   0.75  43(51) 23(27) 11(13)  5( 5)  2( 2)    2       84
 28 9/6-->9/12       4.75   0.67  50(60) 13(15) 11(13)  6( 7)  2( 2)    0       82
 29 9/13-->9/19      3.70   0.81  47(52) 15(16) 16(17)  8( 8)  3( 3)    0       89
 30 9/20-->9/26      2.50   0.82  50(51) 20(20) 17(17) 10(10)  1( 1)    0       98
 31 9/27-->10/3      2.58   0.56  39(54) 12(16) 16(22)  4( 5)  1( 1)    3       72
 32 10/4-->10/10     2.01   0.57  46(57) 16(20) 12(15)  5( 6)  1( 1)    7       80
 33 10/11-->10/17    1.95   0.41  27(48) 17(30)  8(14)  4( 7)  0( 0)    7       56
 34 10/18-->10/24    1.25   0.35  32(56) 13(22) 10(17)  2( 3)  0( 0)    8       57
 35 10/25-->10/31    2.01   0.33  35(64)  9(16)  6(11)  3( 5)  1( 1)    7       54
 36 11/1-->11/7      1.65   0.26  43(72)  8(13)  6(10)  2( 3)  0( 0)    7       59
 37 11/8-->11/14     1.95   0.37  30(58)  8(15)  8(15)  5( 9)  0( 0)   11       51
 38 11/15-->11/21    2.40   0.43  37(58) 11(17) 10(15)  4( 6)  1( 1)    9       63
 39 11/22-->11/28    0.95   0.16  35(81)  6(13)  2( 4)  0( 0)  0( 0)   16       43
 40 11/29-->12/5     2.30   0.22  32(69)  7(15)  6(13)  0( 0)  1( 2)   16       46
 41 12/6-->12/12     0.50   0.11  36(85)  5(11)  1( 2)  0( 0)  0( 0)   11       42
 42 12/13-->12/19    1.11   0.20  31(70)  7(15)  5(11)  1( 2)  0( 0)   13       44
 43 12/20-->12/26    0.75   0.13  31(73) 10(23)  1( 2)  0( 0)  0( 0)   12       42
 44 12/27-->1/2      0.92   0.19  37(72)  9(17)  5( 9)  0( 0)  0( 0)   19       51
 45 1/3-->1/9        1.41   0.18  26(70)  8(21)  2( 5)  1( 2)  0( 0)   30       37
 46 1/10-->1/16      1.37   0.15  31(77)  5(12)  3( 7)  1( 2)  0( 0)   31       40
 47 1/17-->1/23      1.22   0.12  29(78)  6(16)  1( 2)  1( 2)  0( 0)   38       37
 48 1/24-->1/30      1.12   0.14  31(79)  5(12)  2( 5)  1( 2)  0( 0)   42       39
 49 1/31-->2/6       0.50   0.12  26(76)  7(20)  1( 2)  0( 0)  0( 0)   15       34
 50 2/7-->2/13       1.00   0.15  33(84)  2( 5)  2( 5)  2( 5)  0( 0)    9       39
 51 2/14-->2/20      1.68   0.24  35(74)  5(10)  3( 6)  4( 8)  0( 0)   11       47
 52 2/21-->2/27      0.85   0.20  33(68) 10(20)  5(10)  0( 0)  0( 0)   10       48
 53 2/28-->2/29      0.65   0.04   8(72)  2(18)  1( 9)  0( 0)  0( 0)    2       11
 ANNUAL TOTALS       5.80   2194(57)785(20)534(13)280( 7) 53( 1)  484     3846
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 2724
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.64 0.74 1.60 2.83 3.62 4.65 3.50 3.71 3.06 1.86 1.31 0.70 28.22  <-- PRECIP
  
   13.8 19.9 30.8 46.5 59.8 69.7 73.5 71.1 62.0 50.2 33.7 19.8  50.2  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     30  1962     5.80
   9      9  1964     4.75
   6      4  1991     3.89
   9     15  1987     3.70
   5      1  1951     3.50
   6      8  1953     3.50
   6     18  1954     3.50
   6     13  1994     3.37
   5      8  1965     3.25
   6     29  1969     3.26
   6     30  1993     3.19
   5     16  1960     3.00
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  2724
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      8      0      0      0    195    102     86     72
 1952     26     11      9      7    367    246    219    193
 1953    108     41     31     23    165     80     66     53
 1954     27      4      2      0    358    228    201    175
 1955     93     42     31     21    484    321    290    260
 1956     43     11      8      5    248    145    124    103
 1957     76     23     15      9    345    232    209    186
 1958     59     18     11      7    298    175    146    120
 1959     74     27     19     14    337    210    185    161
 1960     15      1      0      0    320    188    166    147
 1961     62     22     15      9    188     94     73     57
 1962      9      0      0      0    259    163    144    127
 1963    154    101     90     79    368    216    183    153
 1964     58     21     14      9    292    162    138    117
 1965      2      0      0      0    223    116     95     80
 1966    176     91     74     57    172     82     67     54
 1967    141     87     77     67    277    154    130    108
 1968    227    144    128    112    321    190    165    141
 1969     10      2      1      0    274    152    129    108
 1970     11      0      0      0    287    180    159    138
 1971     33     10      6      5    335    214    188    163
 1972     64     22     15     11    191     98     80     67
 1973     95     34     24     16    266    150    125    106
 1974     82     32     24     19    296    170    144    122
 1975     20      6      4      2    145     53     38     24
 1976    102     54     43     34    398    255    224    194
 1977    134     61     47     35    435    286    255    227
 1978     86     45     38     31    230    121     99     79
 1979      7      0      0      0    173     86     71     58
 1980     31     10      7      4    282    171    151    131
 1981    182     92     75     60    356    220    192    164
 1982     52     12      6      2    247    153    132    113
 1983     58     21     14     11    138     79     68     57
 1984     12      0      0      0    194     84     65     49
 1985    113     52     41     31    391    253    226    200
 1986    123     74     67     60    323    190    165    140
 1987    143     78     66     54    431    297    268    241
 1988    144     68     53     40    272    161    135    113
 1989     78     41     34     29    286    170    147    125
 1990    122     50     37     26    326    197    173    151
 1991     94     42     34     28    312    184    160    136
 1992    106     47     35     25    177     97     82     69
 1993     21      6      3      1    188     97     81     68
 1994     94     36     27     20    310    203    178    154
 1995    100     43     35     27    167     82     65     49
 1996     58     25     20     16    196    114     97     81
 1997     74     32     26     21    239    145    124    104
 1998     72     41     36     31    290    172    146    122
     ****************************  *************************** 
 MEAN   76.9   35.2   28.2   22.3  278.8  165.6  143.0  122.4
 STDV   52.8   32.1   28.1   24.1   82.2   63.1   58.7   54.0
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    679    456    407    360    691    464    410    363
 1952    577    372    327    287    946    706    646    589
 1953    590    391    350    313    913    676    618    561
 1954    478    310    273    239    905    671    615    561
 1955    721    499    452    406    812    577    523    473
 1956    627    427    385    345    975    740    682    625
 1957    549    358    315    275    824    589    531    474
 1958    695    494    446    402    713    487    437    393
 1959    634    424    378    336    919    679    621    566
 1960    573    368    324    284    773    536    479    427
 1961    516    333    295    257    864    627    570    516
 1962    713    484    431    381    798    560    502    448
 1963    578    372    329    290    935    696    637    581
 1964    711    493    446    401    881    648    593    540
 1965    688    463    411    367    842    602    545    490
 1966    519    350    314    281    852    614    557    503
 1967    462    296    263    234    797    561    503    447
 1968    446    285    251    219    813    584    529    478
 1969    612    405    361    321    653    435    386    339
 1970    610    412    369    327    862    628    573    521
 1971    494    325    288    254    928    688    628    569
 1972    618    407    362    318    792    562    512    463
 1973    485    297    259    226    869    629    569    513
 1974    481    302    265    233    774    539    486    435
 1975    669    448    401    359    810    579    524    472
 1976    591    395    352    311    835    599    544    491
 1977    809    577    525    474    860    621    563    506
 1978    612    418    376    335    841    608    551    499
 1979    478    308    276    246    775    544    489    435
 1980    593    395    355    317    796    563    508    455
 1981    529    341    301    264    822    583    524    468
 1982    603    378    328    281    666    438    387    340
 1983    441    275    242    211    799    570    516    464
 1984    496    309    272    238    867    627    568    509
 1985    696    473    425    382    707    476    424    376
 1986    591    389    345    302    880    641    582    526
 1987    758    541    490    445    930    693    634    578
 1988    760    539    492    449    944    708    651    594
 1989    575    387    347    312    795    566    514    466
 1990    471    289    251    216    860    629    574    520
 1991    655    451    404    359    924    684    624    564
 1992    605    417    377    338    762    532    481    431
 1993    491    300    260    223    714    486    432    381
 1994    651    452    409    369    879    639    580    521
 1995    456    269    234    201    832    599    543    490
 1996    432    248    210    177    835    602    546    492
 1997    410    249    215    184    881    641    583    529
 1998    735    508    459    412    743    516    463    410
     ****************************  *************************** 
 MEAN  587.0  389.4  347.1  307.8  831.3  596.9  541.1  487.6
 STDV  100.4   83.1   78.3   73.6   76.4   72.8   70.6   67.8
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    953    705    643    583    880    632    571    514
 1952   1004    757    697    637    890    643    584    527
 1953    984    736    675    616    980    732    671    610
 1954   1041    793    731    669    933    685    625    565
 1955   1114    866    804    742   1064    816    755    694
