 1951   0.38  2.41  3.05  4.78  3.72  7.21  4.49  5.46  3.14  3.73  1.21  0.70 40.28
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1952   1.54  0.43  4.48  1.36  4.32  4.68  3.73  4.46  0.18  0.03  2.43  0.89 28.53
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1953   0.69  1.46  2.86  3.04  1.59  4.99  1.76  2.11  0.65  0.26  1.38  0.76 21.55
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1954   0.16  1.30  1.55  2.73  4.68  7.58  0.67 14.67  2.62  4.78  0.22  0.52 41.48
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1955   0.50  1.14  0.73  3.75  4.11  2.45  3.39  1.47  2.31  0.77  0.14  0.36 21.12
           0     0     0     0     0     0     1     0     0     0     0     0     1
 1956   0.51  0.18  0.78  1.62  3.95  1.55  1.59  4.24  2.16  2.27  1.99  0.38 21.22
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1957   0.62  0.33  1.66  2.87  6.18  6.50  3.47  3.41  2.00  2.76  2.56  0.81 33.17
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1958   0.63  0.15  0.48  1.62  1.65  4.27  9.57  1.79  4.07  0.18  1.10  0.24 25.75
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1959   0.75  1.25  3.62  2.27  8.07  3.26  2.14  2.64  4.31  2.38  1.85  1.41 33.95
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1960   1.57  0.80  1.21  6.09  7.81  2.70  2.73  5.55  3.67  1.26  0.29  0.66 34.34
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1961   0.23  2.35  4.57  2.19  1.32  3.67  5.68  2.21  8.89  3.00  2.19  1.69 37.99
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1962   0.13  1.50  1.35  1.64  5.30  4.03  3.84  1.73  1.71  2.67  0.29  0.21 24.40
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1963   0.58  0.62  2.95  5.47  5.65  2.44  4.17  5.06  2.33  0.86  1.42  0.49 32.04
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1964   0.52  0.31  0.93  6.13  4.07  7.71  4.34  3.14  2.84  0.24  0.70  0.85 31.78
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1965   0.95  1.21  3.54  5.45  4.66  4.80  1.61  2.67  7.22  1.00  1.40  1.41 35.92
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1966   1.38  0.41  2.25  1.07  4.81  8.56  1.28  2.02  0.25  0.33  0.25  0.47 23.08
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1967   1.16  0.08  1.58  2.78  2.48 10.19  1.92  1.44  1.52  2.51  0.43  0.46 26.55
           0     0     0     0     0     0     0     0     0     0     0     0     0
 1968   0.47  0.06  1.37  6.22  2.41  9.08  2.25  3.33  4.25  2.93  1.30  1.86 35.53
           0     0     0     0     0     0     0     0     0     0     0     0     0
