 
 THIS IS FOR STATION NUMBER 7669 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.37   0.47  50(62) 13(16) 14(17)  3( 3)  0( 0)   28       80
  2 3/8-->3/14       1.46   0.41  53(68)  8(10) 13(16)  3( 3)  0( 0)   29       77
  3 3/15-->3/21      1.66   0.48  48(60) 14(17) 14(17)  3( 3)  0( 0)   28       79
  4 3/22-->3/28      1.53   0.51  48(62)  9(11) 13(16)  7( 9)  0( 0)   28       77
  5 3/29-->4/4       1.74   0.61  59(64) 15(16) 10(10)  8( 8)  0( 0)   16       92
  6 4/5-->4/11       1.30   0.52  51(58) 20(22) 13(14)  3( 3)  0( 0)    7       87
  7 4/12-->4/18      2.94   0.81  58(55) 22(21) 17(16)  5( 4)  2( 1)    7      104
  8 4/19-->4/25      2.67   0.64  58(59) 22(22) 10(10)  6( 6)  1( 1)    7       97
  9 4/26-->5/2       1.60   0.90  72(57) 19(15) 23(18) 11( 8)  0( 0)    9      125
 10 5/3-->5/9        1.75   0.89  54(49) 22(20) 24(21) 10( 9)  0( 0)   14      110
 11 5/10-->5/16      2.30   0.75  49(49) 28(28) 17(17)  3( 3)  3( 3)   14      100
 12 5/17-->5/23      2.23   1.12  63(50) 25(20) 20(16) 14(11)  2( 1)   10      124
 13 5/24-->5/30      4.48   1.22  79(58) 19(14) 23(17)  8( 5)  5( 3)    7      134
 14 5/31-->6/6       3.23   0.79  66(57) 24(20) 16(13)  7( 6)  2( 1)    1      115
 15 6/7-->6/13       2.79   1.08  67(53) 21(16) 25(19) 12( 9)  1( 0)    0      126
 16 6/14-->6/20      2.19   1.05  46(45) 20(19) 15(14) 18(17)  2( 1)    2      101
 17 6/21-->6/27      2.71   1.13  54(47) 24(21) 21(18)  8( 7)  7( 6)    2      114
 18 6/28-->7/4       3.80   1.10  33(41) 12(15) 17(21) 14(17)  4( 5)    4       80
 19 7/5-->7/11       5.20   1.20  59(52) 16(14) 21(18) 13(11)  4( 3)    7      113
 20 7/12-->7/18      5.00   0.96  40(47) 10(11) 21(24) 12(14)  2( 2)    7       85
 21 7/19-->7/25      8.75   1.48  50(50) 11(11) 13(13) 18(18)  8( 8)    7      100
 22 7/26-->8/1       7.10   0.76  46(60) 10(13) 10(13)  7( 9)  3( 3)    6       76
 23 8/2-->8/8        3.16   0.94  55(52) 17(16) 19(18) 12(11)  1( 0)    0      104
 24 8/9-->8/15       3.48   0.91  52(50) 23(22) 16(15)  7( 6)  4( 3)    0      102
 25 8/16-->8/22      2.82   0.98  34(39) 20(22) 19(21) 10(11)  4( 4)    0       87
 26 8/23-->8/29      4.32   0.88  45(52) 13(15) 14(16) 10(11)  3( 3)    0       85
 27 8/30-->9/5       4.17   1.01  56(58)  9( 9) 15(15) 12(12)  4( 4)   10       96
 28 9/6-->9/12       4.16   0.83  45(56) 10(12) 14(17)  7( 8)  4( 5)   14       80
 29 9/13-->9/19      2.20   0.86  44(47) 16(17) 21(22) 11(11)  1( 1)   14       93
 30 9/20-->9/26      3.01   0.83  45(51) 18(20) 15(17)  7( 7)  3( 3)   14       88
 31 9/27-->10/3      2.11   0.47  45(65)  8(11) 10(14)  5( 7)  1( 1)   11       69
 32 10/4-->10/10     1.86   0.72  40(49) 17(20) 12(14) 12(14)  0( 0)    7       81
 33 10/11-->10/17    3.85   0.64  40(61)  8(12)  7(10)  8(12)  2( 3)    7       65
 34 10/18-->10/24    2.08   0.51  45(62) 13(18)  9(12)  3( 4)  2( 2)    7       72
 35 10/25-->10/31    3.28   0.63  40(53) 15(20) 10(13)  9(12)  1( 1)    7       75
 36 11/1-->11/7      1.99   0.51  42(61) 11(16)  7(10)  8(11)  0( 0)   14       68
 37 11/8-->11/14     1.68   0.32  40(68)  6(10)  9(15)  3( 5)  0( 0)   14       58
 38 11/15-->11/21    2.10   0.50  34(53) 15(23)  6( 9)  7(11)  1( 1)   14       63
 39 11/22-->11/28    1.22   0.24  42(73)  9(15)  5( 8)  1( 1)  0( 0)   14       57
 40 11/29-->12/5     1.71   0.32  45(73)  7(11)  5( 8)  4( 6)  0( 0)   14       61
 41 12/6-->12/12     0.83   0.21  51(83)  4( 6)  6( 9)  0( 0)  0( 0)   15       61
 42 12/13-->12/19    1.22   0.21  46(79)  7(12)  4( 6)  1( 1)  0( 0)   14       58
 43 12/20-->12/26    0.90   0.17  36(78)  4( 8)  6(13)  0( 0)  0( 0)   14       46
 44 12/27-->1/2      1.13   0.25  52(76) 12(17)  3( 4)  1( 1)  0( 0)   15       68
 45 1/3-->1/9        1.24   0.17  35(77)  7(15)  2( 4)  1( 2)  0( 0)   15       45
 46 1/10-->1/16      0.92   0.13  34(85)  2( 5)  4(10)  0( 0)  0( 0)   15       40
 47 1/17-->1/23      0.71   0.19  37(72)  9(17)  5( 9)  0( 0)  0( 0)   16       51
 48 1/24-->1/30      0.79   0.15  34(75)  8(17)  3( 6)  0( 0)  0( 0)   14       45
 49 1/31-->2/6       1.43   0.26  43(72)  9(15)  6(10)  1( 1)  0( 0)   14       59
 50 2/7-->2/13       1.03   0.16  33(73) 10(22)  1( 2)  1( 2)  0( 0)   14       45
 51 2/14-->2/20      2.12   0.23  43(76)  6(10)  6(10)  0( 0)  1( 1)   18       56
 52 2/21-->2/27      1.27   0.22  47(77) 10(16)  3( 4)  1( 1)  0( 0)   14       61
 53 2/28-->2/29      0.86   0.05   9(75)  2(16)  1( 8)  0( 0)  0( 0)    2       12
 ANNUAL TOTALS       8.75   2492(58)709(16)633(14)335( 7) 78( 1)  581     4247
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 7669
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.72 0.89 2.14 3.00 4.29 4.43 4.84 4.21 3.52 2.65 1.71 0.97 33.38  <-- PRECIP
  
   23.5 29.9 40.3 53.9 65.0 74.3 78.6 76.5 68.1 56.8 40.8 28.8  57.3  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7     19  1965     8.75
   7     26  1990     7.10
   7      6  1986     5.20
   7     13  1992     5.00
   5     26  1987     4.48
   7      9  1991     4.51
   8     28  1977     4.32
   8     31  1977     4.17
   9      9  1989     4.16
   7     23  1993     4.09
   5     28  1962     4.01
   6     30  1959     3.80
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  7669
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    129     70     60     52    305    175    149    126
 1952    124     63     52     43    428    276    245    215
 1953    228    127    108     90    337    197    166    142
 1954    152     62     47     35    559    376    337    300
 1955    210    121    103     87    599    408    373    339
 1956    226    129    109     92    415    277    247    219
 1957    173     82     68     58    431    272    236    206
 1958     84     30     20     12    409    253    221    189
 1959    199    112     93     77    420    264    235    208
 1960     43     25     21     17    476    307    271    237
 1961    170     83     65     49    345    207    181    160
 1962    138     74     60     48    447    292    259    226
 1963    296    166    142    121    530    351    311    274
 1964    190     97     79     66    487    306    271    239
 1965     41     10      7      5    477    304    270    241
 1966    319    194    170    147    346    207    177    151
 1967    341    228    205    182    489    316    279    243
 1968    401    269    241    214    508    325    284    246
 1969    117     67     58     50    459    293    261    230
 1970    140     61     47     35    492    334    299    267
 1971    179    105     90     77    509    335    301    269
 1972    291    173    150    130    445    279    246    216
 1973    216     88     64     45    412    260    229    198
 1974    285    169    149    132    502    338    302    268
 1975    121     64     52     41    395    242    207    176
 1976    240    136    118    101    532    350    313    277
 1977    338    195    168    143    612    418    376    336
 1978    154     94     81     70    408    242    211    184
 1979    162     74     59     46    363    217    186    158
 1980    139     75     60     48    459    304    271    240
 1981    293    174    152    131    644    440    394    352
 1982    175     82     66     51    392    251    222    196
 1983    172     96     83     70    276    159    136    115
 1984     78     22     14      8    327    174    148    125
 1985    313    190    164    139    582    396    355    316
 1986    368    241    212    184    528    354    316    279
 1987    289    176    154    133    553    377    341    308
 1988    307    202    178    156    486    320    288    257
 1989    273    172    151    131    577    405    367    330
 1990    214    115     98     83    387    240    208    179
 1991    269    166    144    122    437    268    236    206
 1992    277    152    127    106    339    206    179    157
 1993    120     53     42     33    279    166    144    124
 1994    249    144    125    107    403    266    240    215
 1995    228    135    116     98    301    177    152    129
 1996    146     74     60     47    338    214    188    163
 1997    227    128    106     86    284    168    145    123
 1998    112     58     49     43    365    214    186    158
     ****************************  *************************** 
 MEAN  207.7  117.4  100.0   84.5  439.7  282.0  249.4  219.2
 STDV   86.1   60.6   55.1   49.4   93.8   74.0   69.2   64.2
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    757    525    471    419    833    596    538    481
 1952    745    513    464    415   1088    848    788    728
 1953    696    485    437    390   1044    804    744    685
 1954    604    404    363    324   1018    779    720    661
 1955    804    567    512    460    843    607    551    499
 1956    777    555    504    457   1009    776    718    661
 1957    691    463    412    364    924    685    627    569
 1958    795    559    505    454    877    640    583    529
 1959    747    517    463    413    966    726    666    608
 1960    718    497    448    400    887    647    587    528
 1961    615    408    366    326    908    668    609    552
 1962    972    726    666    607    934    694    634    575
 1963    739    507    451    399   1038    798    738    678
 1964    870    626    570    515    942    702    643    586
 1965    859    623    566    510    931    691    631    572
 1966    708    498    453    409    929    689    630    573
 1967    607    402    361    322    884    646    588    532
 1968    609    397    351    312    990    750    692    634
 1969    758    524    474    426    862    625    571    517
 1970    881    647    591    535    971    731    671    611
 1971    674    452    405    361   1067    827    767    707
 1972    729    497    447    400    972    733    674    617
 1973    680    462    412    365   1010    770    710    650
 1974    758    523    471    423    895    655    596    538
 1975    811    568    512    462    957    717    657    600
 1976    663    450    400    355    972    732    672    612
 1977    925    679    619    559   1035    795    735    675
 1978    727    502    452    405    980    741    683    626
 1979    705    483    434    390    935    695    637    579
 1980    776    543    490    441    997    757    697    638
 1981    684    461    415    370   1018    778    718    658
 1982    764    524    468    412    852    615    556    500
 1983    631    409    364    324    960    722    664    606
 1984    654    435    386    340   1015    775    715    655
 1985    842    594    534    477    907    667    608    552
 1986    776    533    477    424   1050    810    750    690
 1987    883    638    579    522   1027    787    727    667
 1988    899    652    592    534   1059    819    759    699
 1989    780    555    504    457    932    692    633    577
 1990    571    356    311    268    971    734    676    618
 1991    797    571    519    468   1009    769    709    649
 1992    691    470    424    380    844    605    547    489
 1993    642    410    364    319    877    638    580    523
 1994    722    498    445    396    955    715    655    595
 1995    522    298    256    218    904    664    604    547
 1996    591    373    325    282    928    690    632    575
 1997    530    334    294    261    962    722    662    602
 1998    798    558    501    445    846    611    555    499
     ****************************  *************************** 
 MEAN  733.1  505.9  455.0  406.8  954.7  715.5  656.6  598.6
 STDV  101.7   91.4   86.5   81.0   66.8   66.2   65.4   64.1
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1064    816    754    692   1051    803    741    679
 1952   1094    846    784    722   1007    759    697    635
 1953   1102    854    792    730   1061    813    751    689
 1954   1178    930    868    806   1093    845    783    721
