 
 THIS IS FOR STATION NUMBER 8755 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        0.78   0.23  37(67) 15(27)  3( 5)  0( 0)  0( 0)    2       55
  2 3/8-->3/14       5.00   0.48  41(61) 16(23)  7(10)  2( 2)  1( 1)    3       67
  3 3/15-->3/21      1.32   0.35  30(54) 12(21) 11(20)  2( 3)  0( 0)    4       55
  4 3/22-->3/28      1.62   0.48  27(42) 22(34) 11(17)  3( 4)  0( 0)    2       63
  5 3/29-->4/4       4.17   0.62  38(50) 18(23) 16(21)  3( 3)  1( 1)    2       76
  6 4/5-->4/11       1.15   0.55  32(43) 22(30) 13(17)  6( 8)  0( 0)    1       73
  7 4/12-->4/18      1.79   0.85  47(45) 27(25) 22(21)  8( 7)  0( 0)    0      104
  8 4/19-->4/25      2.85   0.90  39(40) 33(34) 14(14) 10(10)  1( 1)    0       97
  9 4/26-->5/2       2.40   0.91  39(41) 28(30) 15(16)  9( 9)  2( 2)    0       93
 10 5/3-->5/9        1.34   0.68  38(45) 21(25) 18(21)  6( 7)  0( 0)    0       83
 11 5/10-->5/16      2.54   0.86  45(45) 27(27) 18(18)  9( 9)  1( 1)    0      100
 12 5/17-->5/23      2.87   0.71  45(50) 24(26) 14(15)  6( 6)  1( 1)    0       90
 13 5/24-->5/30      2.14   1.07  55(47) 27(23) 21(18) 12(10)  1( 0)    0      116
 14 5/31-->6/6       1.73   0.66  35(43) 20(25) 15(18) 10(12)  0( 0)    0       80
 15 6/7-->6/13       1.58   0.99  46(42) 30(27) 18(16) 15(13)  0( 0)    0      109
 16 6/14-->6/20      3.02   1.05  39(40) 22(22) 21(21) 11(11)  4( 4)    2       97
 17 6/21-->6/27      3.58   1.09  46(46) 14(14) 28(28)  8( 8)  4( 4)    4      100
 18 6/28-->7/4       2.86   1.10  30(34) 27(31) 15(17)  8( 9)  7( 8)    0       87
 19 7/5-->7/11       2.26   0.73  38(47) 20(25) 11(13) 10(12)  1( 1)    1       80
 20 7/12-->7/18      2.82   0.99  35(39) 22(25) 16(18) 13(14)  2( 2)    0       88
 21 7/19-->7/25      2.45   1.07  32(39) 13(16) 18(22) 14(17)  4( 4)    1       81
 22 7/26-->8/1       4.05   0.82  36(45) 16(20) 19(23)  7( 8)  2( 2)    8       80
 23 8/2-->8/8        4.72   1.08  46(46) 17(17) 22(22) 10(10)  4( 4)    0       99
 24 8/9-->8/15       3.00   0.86  33(43) 11(14) 21(27)  9(11)  2( 2)    0       76
 25 8/16-->8/22      2.16   0.75  41(48) 16(19) 18(21)  7( 8)  2( 2)    1       84
 26 8/23-->8/29      3.78   0.99  34(41) 12(14) 22(26) 12(14)  2( 2)    0       82
 27 8/30-->9/5       3.76   0.80  31(43) 17(23) 14(19)  7( 9)  3( 4)    0       72
 28 9/6-->9/12       3.21   0.72  32(47) 14(20) 10(14)  8(11)  3( 4)    0       67
 29 9/13-->9/19      1.90   0.74  34(40) 26(31) 15(18)  8( 9)  0( 0)    0       83
 30 9/20-->9/26      3.35   0.93  32(35) 30(33) 19(21)  6( 6)  3( 3)    0       90
 31 9/27-->10/3      2.32   0.52  44(56) 20(25) 11(14)  2( 2)  1( 1)    0       78
 32 10/4-->10/10     1.80   0.54  37(52) 13(18) 20(28)  1( 1)  0( 0)    1       71
 33 10/11-->10/17    1.90   0.51  33(51) 13(20) 12(18)  6( 9)  0( 0)    0       64
 34 10/18-->10/24    1.70   0.52  37(54) 14(20) 12(17)  5( 7)  0( 0)    0       68
 35 10/25-->10/31    1.00   0.44  31(46) 20(29) 14(20)  2( 2)  0( 0)    0       67
 36 11/1-->11/7      2.02   0.47  40(62) 12(18)  6( 9)  5( 7)  1( 1)    4       64
 37 11/8-->11/14     2.04   0.34  30(61)  9(18)  5(10)  4( 8)  1( 2)    1       49
 38 11/15-->11/21    1.91   0.57  34(50) 15(22) 12(17)  7(10)  0( 0)    1       68
 39 11/22-->11/28    0.82   0.30  39(61) 19(30)  5( 7)  0( 0)  0( 0)    1       63
 40 11/29-->12/5     0.66   0.17  45(84)  6(11)  2( 3)  0( 0)  0( 0)   15       53
 41 12/6-->12/12     0.93   0.22  42(75) 11(19)  3( 5)  0( 0)  0( 0)   16       56
 42 12/13-->12/19    0.46   0.18  32(69) 14(30)  0( 0)  0( 0)  0( 0)   19       46
 43 12/20-->12/26    0.47   0.15  32(72) 12(27)  0( 0)  0( 0)  0( 0)   22       44
 44 12/27-->1/2      0.68   0.17  24(63) 11(28)  3( 7)  0( 0)  0( 0)   23       38
 45 1/3-->1/9        1.08   0.15  27(72)  9(24)  0( 0)  1( 2)  0( 0)   15       37
 46 1/10-->1/16      1.23   0.14  33(80)  6(14)  1( 2)  1( 2)  0( 0)   17       41
 47 1/17-->1/23      0.68   0.14  33(80)  6(14)  2( 4)  0( 0)  0( 0)   21       41
 48 1/24-->1/30      0.81   0.17  36(80)  4( 8)  5(11)  0( 0)  0( 0)   22       45
 49 1/31-->2/6       7.00   0.24  25(83)  3(10)  1( 3)  0( 0)  1( 3)   18       30
 50 2/7-->2/13       1.22   0.12  21(77)  4(14)  1( 3)  1( 3)  0( 0)   20       27
 51 2/14-->2/20      0.73   0.14  24(68)  9(25)  2( 5)  0( 0)  0( 0)   25       35
 52 2/21-->2/27      1.40   0.22  29(65) 11(25)  3( 6)  1( 2)  0( 0)   27       44
 53 2/28-->2/29      0.20   0.01   5(**)  0( 0)  0( 0)  0( 0)  0( 0)    3        5
 ANNUAL TOTALS       7.00   1866(50)860(23)605(16)275( 7) 55( 1)  302     3661
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1998 FOR STATION NUMBER 8755
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.62 0.73 1.76 3.36 3.70 4.24 4.03 4.08 3.24 2.17 1.76 0.79 30.47  <-- PRECIP
  
   15.2 21.1 32.3 47.4 59.5 68.7 72.7 70.8 62.2 51.0 34.7 21.3  50.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   2      4  1997     7.00
   3     14  1997     5.00
   8      6  1951     4.72
   4      4  1981     4.17
   7     29  1970     4.05
   8     25  1983     3.78
   9      5  1985     3.76
   8     25  1990     3.70
   6     21  1974     3.58
   6     27  1983     3.50
   9     21  1986     3.35
   9     11  1986     3.21
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  8755
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      6      0      0      0    179     84     69     58
 1952     29     13     11      9    358    226    198    174
 1953     98     36     26     19    157     61     45     32
 1954     49     13      8      3    354    209    183    158
 1955     76     27     20     16    407    243    211    184
 1956     22      2      0      0    249    137    111     88
 1957     67     22     17     13    309    177    152    130
 1958     53      9      6      3    296    165    137    112
 1959     28      2      1      0    265    139    115     92
 1960     21      5      3      2    327    197    173    151
 1961     46     14     10      7    173     80     61     46
 1962     26      9      6      4    256    151    130    112
 1963    134     83     73     63    329    187    160    135
 1964     55     15      9      6    303    171    145    121
 1965      5      0      0      0    207    105     84     67
 1966    132     49     33     23    186     78     60     45
 1967    103     48     39     31    294    152    123     97
 1968    221    122    103     87    361    211    179    149
 1969     39     13      8      4    307    160    132    104
 1970     28      0      0      0    338    205    178    152
 1971     32      9      8      7    330    203    176    151
 1972     41      8      5      3    214    109     90     72
 1973    163     67     52     39    234    125    102     80
 1974     59     18     13      9    365    214    181    151
 1975     17      0      0      0    163     73     59     46
 1976    134     72     60     49    368    215    181    149
 1977    183     83     68     53    497    337    302    268
 1978     71     37     31     25    267    139    112     86
 1979     34      6      3      1    209    113     95     79
 1980     40      6      3      1    326    198    172    147
 1981    146     71     57     46    350    198    169    142
 1982     44     11      8      5    233    128    105     84
 1983     90     37     30     23    178     93     80     69
 1984     32      2      0      0    255    125     97     72
 1985    121     39     29     20    419    281    251    223
 1986    149     85     76     68    405    249    213    181
 1987    144     67     57     48    416    276    246    218
 1988     99     37     26     17    294    175    148    122
 1989     99     50     42     34    290    158    132    109
 1990    136     53     41     34    331    191    165    141
 1991    104     47     38     30    352    201    170    142
 1992     95     30     20     13    235    127    106     85
 1993     34      9      6      4    227    110     90     74
 1994     99     40     33     28    294    182    156    133
 1995    142     76     63     51    182     90     72     54
 1996     67     17     11      7    212    112     94     77
 1997     83     35     28     22    242    148    126    105
 1998    104     57     49     42    288    158    133    109
     ****************************  *************************** 
 MEAN   79.3   32.6   25.8   20.4  288.3  164.1  139.2  116.5
 STDV   51.2   29.3   25.0   21.3   78.1   59.5   54.8   50.2
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    645    425    374    326    687    453    400    348
 1952    540    337    294    256    864    625    566    509
 1953    562    358    317    280    869    630    573    516
 1954    440    267    233    201    891    657    601    546
 1955    682    462    414    368    746    512    456    401
 1956    561    372    332    295    922    688    631    574
 1957    479    296    256    219    764    531    475    421
 1958    610    409    366    325    684    448    395    347
 1959    648    434    386    340    828    588    529    475
 1960    563    358    312    270    734    501    445    393
 1961    501    315    276    242    840    603    550    499
 1962    679    459    408    361    766    532    476    421
 1963    517    331    292    254    884    648    592    537
 1964    730    496    447    399    844    609    554    502
 1965    667    445    398    356    782    542    483    428
 1966    495    310    275    241    821    586    529    476
 1967    467    294    257    223    814    574    516    459
 1968    487    291    254    219    824    585    529    473
 1969    599    393    347    304    638    413    364    318
 1970    637    429    381    336    851    612    555    500
 1971    503    315    275    238    938    698    639    581
 1972    677    460    411    364    789    562    509    459
 1973    486    282    240    202    876    636    576    516
 1974    492    302    264    228    743    503    446    394
 1975    664    434    384    338    803    564    506    451
 1976    538    340    299    262    856    616    557    499
 1977    816    584    530    476    808    570    513    458
 1978    598    397    350    306    811    576    520    467
 1979    542    353    313    275    791    554    497    443
 1980    646    432    384    340    796    558    501    450
 1981    518    325    284    245    783    543    485    429
 1982    665    431    378    327    670    441    390    344
 1983    424    241    206    174    836    599    542    489
 1984    492    307    269    235    850    610    552    495
 1985    679    451    405    361    730    501    450    403
 1986    608    388    340    294    851    613    556    500
 1987    690    475    430    387    910    672    614    559
 1988    686    480    438    397    919    684    628    573
 1989    580    380    336    292    834    596    538    480
 1990    497    304    263    222    841    609    554    500
 1991    704    492    444    398    947    707    647    587
 1992    620    415    370    331    788    552    495    439
 1993    598    371    319    273    772    541    486    431
 1994    533    367    329    293    853    623    570    519
 1995    474    285    249    216    852    616    561    509
 1996    426    250    214    180    759    526    469    415
 1997    382    231    200    171    807    576    525    474
 1998    705    466    416    372    738    515    463    411
     ****************************  *************************** 
 MEAN  578.4  376.1  332.7  292.2  812.9  577.3  521.3  467.3
 STDV   95.8   79.1   74.3   69.6   69.2   67.2   65.8   63.7
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    899    651    589    528    796    548    487    432
 1952    996    748    686    625    856    609    549    492
 1953    955    707    646    586    937    689    627    566
 1954   1007    759    697    635    897    649    587    528
 1955   1063    815    753    691    996    749    688    628
 1956    878    630    568    507    893    651    593    535
 1957   1019    771    709    647    890    642    582    523
 1958    890    642    580    519    932    687    627    569
 1959    896    648    587    527    994    746    684    622
 1960    917    669    607    545    936    688    627    567
 1961    913    665    603    543    942    694    632    571
 1962    839    591    530    470    869    621    560    500
 1963    971    723    661    599    882    634    575    516
 1964   1035    787    725    664    880    632    574    518
 1965    933    685    623    561    867    622    562    503
 1966   1015    767    705    643    862    615    555    497
 1967    892    646    588    531    810    566    509    457
 1968    940    692    630    568    914    668    608    548
 1969    966    718    656    595    984    736    674    612
 1970    994    746    685    625    933    685    623    561
 1971    859    613    554    496    875    628    567    508
 1972    901    653    592    531    935    688    627    566
 1973    977    729    667    605    953    705    643    581
 1974   1036    788    726    664    859    613    553    493
 1975    989    741    681    621    963    715    653    592
 1976   1030    782    720    658    907    659    598    538
 1977   1031    783    721    659    841    595    536    479
 1978    933    685    623    562    901    653    593    534
 1979    917    669    607    545    834    591    534    479
 1980   1018    770    708    646    937    689    627    565
 1981    923    675    614    554    847    600    542    484
 1982    980    732    670    608    860    613    555    498
 1983   1069    821    759    698   1058    810    748    686
 1984    915    667    605    544    965    718    657    597
 1985    956    708    646    584    836    589    529    469
 1986   1010    762    700    638    795    552    494    437
 1987   1029    781    719    658    853    609    550    493
 1988   1018    770    709    648    992    748    690    632
 1989   1051    803    741    679    930    682    620    558
