,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.21,0.74,3.32,1.54,8.14,2.74,2.26,3.91,0.72,2.11,1.83,0.33,17.05,27.85
AMW,0.72,1.16,3.37,2.3,8.42,3.55,4.58,4.42,2.57,1.49,2.89,0.53,20.97,36
BRL,0.28,0.84,3.33,2.33,4.04,2.16,2.57,6.02,1.57,5.92,3.19,1.12,14.79,33.37
CID,0.42,0.91,3.37,1.09,6.55,3.97,1.42,6.58,0.63,3.21,2.33,0.95,18.52,31.43
DBQ,0.17,0.83,4.72,1.28,7.09,3.31,1.52,3.21,0.66,4.42,1.99,1.08,15.13,30.28
DSM,0.7,1.05,2.42,2.04,6.8,2.09,3.52,5.21,1.28,1.46,2.53,0.52,17.62,29.62
DVN,0.3,0.85,4.15,1.55,8.94,2.45,3.84,3.53,0.14,3.84,2.59,1.01,18.76,33.19
EST,0.31,0.83,2.86,1.59,5.9,2.32,6.41,2.42,12.17,1.83,1.92,0.12,17.05,38.68
IOW,0.7,1.17,4.61,1.89,4.65,2.71,5.6,5.31,1.37,4.09,2.93,0.94,18.27,35.97
LWD,0.27,0.83,2.91,1.78,6.98,4.51,3.34,7.8,1.84,1.28,1.59,0.55,22.63,33.68
MCW,0.29,0.43,3.9,3.36,12.52,5.17,5.79,6.13,2.73,1.79,1.82,0.42,29.61,44.35
MIW,0.47,1.18,2.49,2.32,8.35,2.63,2.88,3.71,0.84,2.08,2.93,0.48,17.57,30.36
OTM,0.64,0.55,3.22,1.06,4.94,3.19,2.44,10.3,0.95,2.78,1.65,1.21,20.87,32.93
SPW,0.16,0.26,2.55,1.81,4.6,2,4.64,1.71,14.66,1.79,0.83,0.06,12.95,35.07
SUX,0.64,0.59,3.01,1.37,4.33,4.13,3.09,1.02,3.42,0.62,1.45,0.14,12.57,23.81
