,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.31,0.22,0.94,3.59,5.16,4.38,3.19,0.28,1.99,0.84,3.65,0.46,13.01,25.01
AMW,0.02,0.1,0.04,4.55,4.42,4.36,6.5,1.2,1.08,0.89,4.33,0.77,16.48,28.26
BRL,0.44,0.68,1.2,2.93,4.44,2.12,4.27,3.21,4.15,1.27,3.04,4.11,14.04,31.86
CID,0.3,0.22,0.27,2.33,4.34,4.95,4.48,0.64,3.75,1.55,4.85,1.74,14.41,29.42
DBQ,0.28,0.11,0.61,2.41,4.32,2.3,4.47,0.29,3.75,1.35,5.93,1.65,11.38,27.47
DSM,0.27,0.48,0.66,5.49,5.37,3.4,2.45,0.67,2.53,1.43,5.27,0.84,11.89,28.86
DVN,0.33,0.09,0.86,2.91,3.47,1.47,4.33,1.44,3.07,1.43,2.37,2.18,10.71,23.95
EST,0.11,0.11,2.19,0.81,3.67,5.59,3.6,1.83,2.88,0.15,0.74,0.41,14.69,22.09
IOW,0.2,0.28,0.38,2.97,3.22,3,2.92,0.8,3.51,1.31,4.61,2.24,9.94,25.44
LWD,0.24,0.44,0.73,4.79,3.53,3.24,3.06,0.76,3.01,0.95,3.7,1,10.59,25.45
MCW,0.24,0.13,1.76,1.6,4.8,5.32,4.72,2.21,1.31,0.6,2.1,0.53,17.05,25.32
MIW,0.24,0.03,0.29,2.27,4.02,5.62,4.64,0.31,3.59,1.02,5.56,0.62,14.59,28.21
OTM,0.27,0.64,0.31,4.01,2.94,3.23,2.13,1.29,3.06,1.13,3.97,2.33,9.59,25.31
SPW,0.13,0.32,2.18,1.13,3.98,4.08,3.7,1.2,1.57,0.67,0.47,0.25,12.96,19.68
SUX,0.23,0.77,1.63,2.67,3.8,4.05,3.73,1.67,3.57,0.72,1.1,0.23,13.25,24.17
