# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.14   0.27   56(61)   21(23)   12(13)    3( 3)    0( 0)    0       92
  2 3/8-->3/14       1.35   0.30   48(57)   18(21)   13(15)    5( 6)    0( 0)    0       84
  3 3/15-->3/21      1.47   0.28   56(66)   13(15)   13(15)    3( 4)    0( 0)    0       85
  4 3/22-->3/28      3.04   0.33   61(66)   14(15)    8( 9)    8( 9)    1( 1)    0       92
  5 3/29-->4/4       1.81   0.34   67(63)   15(14)   16(15)    9( 8)    0( 0)    0      107
  6 4/5-->4/11       2.40   0.29   73(65)   16(14)   18(16)    4( 4)    1( 1)    0      112
  7 4/12-->4/18      2.17   0.34   76(58)   31(23)   15(11)    8( 6)    2( 2)    0      132
  8 4/19-->4/25      3.26   0.35   81(58)   29(21)   21(15)    8( 6)    1( 1)    0      140
  9 4/26-->5/2       2.84   0.42   74(57)   20(16)   18(14)   13(10)    4( 3)    0      129
 10 5/3-->5/9        2.00   0.38   73(54)   25(18)   23(17)   15(11)    0( 0)    0      136
 11 5/10-->5/16      2.35   0.37   63(52)   27(22)   24(20)    6( 5)    2( 2)    0      122
 12 5/17-->5/23      3.00   0.44   65(49)   28(21)   27(20)   10( 7)    4( 3)    0      134
 13 5/24-->5/30      2.72   0.40   84(58)   23(16)   22(15)   15(10)    2( 1)    0      146
 14 5/31-->6/6       2.47   0.37   74(61)   20(17)   15(12)    9( 7)    3( 2)    0      121
 15 6/7-->6/13       2.73   0.48   73(53)   20(14)   24(17)   16(12)    5( 4)    0      138
 16 6/14-->6/20      3.73   0.47   62(50)   25(20)   21(17)   12(10)    4( 3)    0      124
 17 6/21-->6/27      2.96   0.47   56(51)   20(18)   20(18)    9( 8)    4( 4)    0      109
 18 6/28-->7/4       2.91   0.56   52(49)   18(17)   17(16)   13(12)    7( 7)    0      107
 19 7/5-->7/11       2.96   0.51   58(50)   20(17)   20(17)   12(10)    5( 4)    0      115
 20 7/12-->7/18      4.38   0.58   42(41)   25(24)   18(17)   13(13)    5( 5)    0      103
 21 7/19-->7/25      3.30   0.37   62(55)   28(25)   11(10)   10( 9)    2( 2)    0      113
 22 7/26-->8/1       1.95   0.41   53(54)   12(12)   23(23)   11(11)    0( 0)    0       99
 23 8/2-->8/8        4.11   0.45   66(56)   22(19)   15(13)    7( 6)    7( 6)    0      117
 24 8/9-->8/15       3.15   0.40   53(56)   19(20)   13(14)    7( 7)    3( 3)    0       95
 25 8/16-->8/22      3.10   0.43   49(49)   23(23)   17(17)    8( 8)    2( 2)    0       99
 26 8/23-->8/29      5.30   0.46   58(57)   17(17)   15(15)    9( 9)    3( 3)    0      102
 27 8/30-->9/5       3.75   0.52   48(47)   19(19)   18(18)   14(14)    3( 3)    0      102
 28 9/6-->9/12       6.00   0.62   42(49)   22(26)    8( 9)    7( 8)    7( 8)    0       86
 29 9/13-->9/19      8.00   0.48   59(51)   25(22)   16(14)   12(10)    3( 3)    0      115
 30 9/20-->9/26      2.22   0.38   64(61)   16(15)   13(12)   10(10)    2( 2)    0      105
 31 9/27-->10/3      2.15   0.36   43(55)   15(19)   14(18)    5( 6)    1( 1)    0       78
 32 10/4-->10/10     1.60   0.33   49(56)   16(18)   16(18)    6( 7)    0( 0)    0       87
 33 10/11-->10/17    3.15   0.38   44(59)   13(17)   11(15)    5( 7)    2( 3)    0       75
 34 10/18-->10/24    2.19   0.33   47(55)   20(24)   13(15)    3( 4)    2( 2)    0       85
 35 10/25-->10/31    3.03   0.29   66(72)    9(10)   11(12)    5( 5)    1( 1)    0       92
