# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3007] FORT-MADISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3007
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     4    13     5     1    23        0    15    45    22     2    84
 1952     5    19    20     8     6    58       18   122   122    11    25   298
 1953     5    18    21    18    13    75       21    88   133   123    78   443
 1954     0    21    26    16     7    70        0   137   203    90    43   473
 1955     1     2    27    24    10    64        1     5   183   171    36   396
 1956     7    17    13    16     9    62       19    88    73    63    28   271
 1957     0     5    24    14     4    47        0    17   122    90    14   243
 1958     0     4     3    16     3    26        0    15     8    74     7   104
 1959     2    11    11    22     7    53        4    36    36   104    24   204
 1960     0     2    10    12     9    33        0     6    39    37    79   161
 1961     0     6     7    15     8    36        0    33    24    53    30   140
 1962     9     8    13    15     4    49       26    26    39    59    11   161
 1963     2    15    16    10     5    48        6    83    70    38     8   205
 1964     6    13    18    13     5    55       17    53   103    75    18   266
 1965     4     2     9    11     3    29        8     7    39    64     5   123
 1966     0     8    23    14     3    48        0    31   206    37    13   287
 1967     3     2    13     4     0    22        9     8    35    11     0    63
 1968     0    15    13    14     1    43        0    83    62    79     4   228
 1969     1     5    14    11     1    32        4    14    65    36     5   124
 1970     1     6    19    10     3    39        1    18   130    57     5   211
 1971     2    25    15    15    19    76        4   126    50    77    79   336
 1972     7     7    14    14     7    49       18    27    66    80    29   220
 1973     0     6    15    11     3    35        0    16    72    36     8   132
 1974     0     3    21     4     0    28        0     9   121    12     0   142
 1975     5    12    23    17     3    60       15    47   132   111    17   322
 1976     0     2    23     9     9    43        0     8   136    35    31   210
 1977     5     8    25     3     2    43       10    32   184    10     2   238
 1978     6     9    13    10    10    48       21    31    55    33    38   178
 1979     1     4     9    14     9    37        2    14    22    84    27   149
 1980     4     4    22    20     8    58       14    18   177   117    18   344
 1981     0     4     7     3     3    17        0    10    40     9     4    63
 1982     0     1    15     8     1    25        0     4    45    36     1    86
 1983     0     9    26    25     8    68        0    48   195   225    44   512
 1984     0    10    13    20     3    46        0    27    57    88    12   184
 1985     1     4    16     4     6    31        3    11    56     8    27   105
 1986     0     9    15     2     0    26        0    27    51     3     0    81
 1987     4    12    24    14     1    55        7    87   156    79     1   330
 1988     4    16    26    20     2    68        8   103   171   187     6   475
 1989     0     8    19     7     0    34        0    26   103    30     0   159
 1990     0     6    10     8     7    31        0    14    41    48    44   147
 1991     0    15    15    14     6    50        0    55    92    55    19   221
 1992     0     7     3     5     0    15        0    18    11    12     0    41
 1993     0     3     5    12     0    20        0     4    10    40     0    54
 1994     0    14    10     9     2    35        0    66    25    23     3   117
 1995     0     8    19    19     0    46        0    32    94    71     0   197
 1996     1    10     8     7     0    26        1    32    34    18     0    85
 1997     1     8    14     7     2    32        1    13    76    24     5   119
 1998     2     6    12    12     5    37        2    24    53    34    20   133
 1999     0     8    22     9     6    45        0    21   131    30    24   206
 2000     2     2    10    21     9    44        2     4    25    83    54   168
 2001     0     6    15    12     2    35        0     6    98    57     2   163
 2002     1    11    22    10     7    51        6    30    93    34    25   188
 2003     0     4    12    16     0    32        0    14    52   101     0   167
 2004     0     1     6     5     3    15        0     1    21    13     4    39
 2005     1    11    21     0     0    33        1    57   127     0     0   185
 **************************************************************************************
MEANS   1.7   8.3  15.6  11.9   4.5  41.9      4.5  35.4  83.8  58.1  17.8 199.7
