# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4063] INDIANOLA-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4063
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     3    12    11     1    27        0     5    61    53     1   120
 1952     3    20    18     9     9    59       13   123   113    24    42   315
 1953     5    14    19    18     8    64       25    68   117   144    63   417
 1954     2    19    26    14     9    70        2   113   242    84    55   496
 1955     5     5    26    26    11    73        8    22   217   235    87   569
 1956     6    21    20    16    12    75       31   157   145    83    43   459
 1957     0     8    25    14     1    48        0    32   209    95     3   339
 1958     1     7     3    20     3    34        5    30     7   104     9   155
 1959     0    10    11    21     5    47        0    33    32    81    19   165
 1960     0     0    15     9     8    32        0     0    66    53    44   163
 1961     0     7    10    11     4    32        0    22    33    33    12   100
 1962     6     7     9    14     2    38        7    10    32    44     5    98
 1963     2    17    19     9     0    47        5    82    60    34     0   181
 1964     4     5    21     8     2    40        7    11   105    55     8   186
 1965     3     3    13    16     1    36        7     5    67    92     3   174
 1966     7     5    22    11     1    46       14    15   142    26     1   198
 1967     6     1    17    16     0    40       39     2    66    32     0   139
 1968     2    18    16    17     0    53        5    81    63   110     0   259
 1969     4     6    14    16     0    40        4    20    61    34     0   119
 1970     3    10    21    15     8    57        5    49   146    63    24   287
 1971     0    22    13    17    16    68        0   114    39    77    69   299
 1972     1    12    14    15     6    48        1    62    64    99    23   249
 1973     0    16    15    20     3    54        0    70    62    68     3   203
 1974     0     8    26     6     0    40        0    35   239    29     0   303
 1975     6     9    22    18     3    58       21    21   112   134    20   308
 1976     1     7    21    14     6    49        1    20   110    57    15   203
 1977     4    16    26    11     1    58        5    95   218    37     1   356
 1978     3    13    15    14    15    60        5    54    68    52    65   244
 1979     2     9    12    16     7    46        2    19    42    84    27   174
 1980     5     8    23    20    12    68       14    46   175   123    40   398
 1981     0     9    11     5     2    27        0    28    60    11     5   104
 1982     0     1    17     5     0    23        0     1    53    42     0    96
 1983     0    12    27    28     7    74        0    42   205   292    33   572
 1984     0     7    16    19     7    49        0    16    89   127    44   276
 1985     1     5    19     9    10    44        3    29    56    24    56   168
 1986     0    14    20     5     2    41        0    43    89     9     4   145
 1987     2    17    18    11     1    49        3    74   116    60     1   254
 1988     2    14    22    19     6    63        5   118   145   201    15   484
 1989     2     5    17     8     0    32        2    13   121    32     0   168
 1990     0     7     8    10    10    35        0    29    38    57    40   164
 1991     3    10    13    15     9    50        6    35    81    59    33   214
 1992     0     4     4     3     0    11        0     8    18     9     0    35
 1993     0     1     5    11     1    18        0     1    15    37     3    56
 1994     1     9    11     8     4    33        1    26    32    48     9   116
 1995     0     5     9    15     1    30        0     9    56    80     2   147
 1996     2     5     4     3     0    14        2    10    13     7     0    32
 1997     1     4    15     9     3    32        1     6    70    25     5   107
 1998     1     5     6     8     7    27        3    13    21    26    23    86
 1999     0     2    17     5     2    26        0     2    93    11     9   115
 2000     1     3     6    13     8    31        4     8    10    32    52   106
 2001     0     1    12    13     1    27        0     4    47    63     7   121
 2002     0     9    17     5     8    39        0    24    83    21    39   167
 2003     1     1    11    15     4    32        4     4    36   124     7   175
 2004     1     1     4     2     0     8        2     1    10     6     0    19
 2005     0     9    16     0     0    25        0    25    87     0     0   112
 **************************************************************************************
MEANS   1.8   8.5  15.4  12.5   4.5  42.7      4.8  36.1  86.5  66.2  19.4 213.0
