# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5131] MAQUOKETA-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5131 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     44      9      4      1    254    134    109     86
 1952     62     23     17     12    390    247    215    188
 1953    123     52     40     28    223    102     78     62
 1954     81     27     21     15    437    267    233    204
 1955    123     60     47     36    454    290    256    225
 1956     75     24     17     11    314    178    151    127
 1957    107     36     24     18    408    255    222    193
 1958     83     29     19     11    398    229    193    159
 1959    115     55     47     39    354    215    185    158
 1960     31     14     12     10    417    265    232    202
 1961    106     43     34     28    230    120     99     80
 1962     79     40     34     29    361    215    187    161
 1963    188    116    103     91    451    296    260    226
 1964     96     42     31     22    373    236    209    183
 1965     21      6      4      2    324    188    160    134
 1966    206    101     80     60    297    165    137    113
 1967    165     97     83     69    386    228    194    163
 1968    271    155    133    115    422    267    233    202
 1969    104     54     45     37    416    251    215    181
 1970     78     17      9      4    408    261    230    202
 1971     88     42     35     29    410    264    235    207
 1972    105     47     38     30    308    170    146    123
 1973    238    107     83     62    319    182    156    133
 1974    141     58     46     37    440    273    237    205
 1975     50     14      9      6    281    162    137    116
 1976    185     96     81     68    440    287    252    218
 1977    219    113     96     80    501    335    300    269
 1978     88     40     31     25    329    193    164    135
 1979     80     36     28     21    250    139    119    100
 1980     56     13      8      4    323    193    166    140
 1981    171     87     73     59    421    257    225    196
 1982     75     30     24     19    258    155    134    113
 1983    128     62     50     39    200    107     91     78
 1984     35      5      2      0    278    152    126    104
 1985    146     53     37     25    476    318    284    253
 1986    189    112     97     84    418    261    229    198
 1987    172     84     69     58    425    275    245    218
 1988    128     62     48     35    328    207    181    157
 1989    125     73     63     53    299    165    137    113
 1990    184     93     77     61    337    206    180    155
 1991    146     78     67     56    368    218    189    162
