# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0923] BRITT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    1    0    0    0
 Sep 20    1    0    0    0
 Sep 22   12    5    1    0
 Sep 24   16    7    1    0
 Sep 26   24    9    3    0
 Sep 28   27   11    5    0
 Sep 30   40   14    5    1
 Oct 02   50   20   11    5
 Oct 04   59   22   12    5
 Oct 06   66   35   22    7
 Oct 08   72   35   24    9
 Oct 10   81   44   31   12
 Oct 12   85   51   37   16
 Oct 14   90   57   42   16
 Oct 16   96   59   46   16
 Oct 18   96   68   51   25
 Oct 20   96   74   59   27
 Oct 22   98   75   66   33
 Oct 24   98   77   74   40
 Oct 26   98   83   79   44
 Oct 28  100   88   85   51
 Oct 30  100   90   87   57
 Nov 01  100   92   90   64
 Nov 03  100   96   96   77
 Nov 05  100   96   96   83
 Nov 07  100   96   96   87
 Nov 09  100   98   96   88
 Nov 11  100   98   98   92
 Nov 13  100  100  100   96
 Nov 15  100  100  100   98
 Nov 17  100  100  100   98
 Nov 19  100  100  100  100
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
