# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1833] CORNING
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1833
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     8     0    20        0     0    44    34     0    78
 1952     1    19    15     5    10    50        2    91    74     9    25   201
 1953     3    13    17    14     6    53       12    62   118    89    51   332
 1954     0    12    26     9     8    55        0    71   248    43    46   408
 1955     2     4    26    21    12    65        3    17   202   185    83   490
 1956     4    18     8    11    11    52       16    80    52    51    41   240
 1957     0     4    22    13     0    39        0     8   136    91     0   235
 1958     0     5     3    16     2    26        0    23     9    71     8   111
 1959     0     6     9    17     3    35        0    21    31    59     9   120
 1960     0     1    11     9     7    28        0     2    38    32    23    95
 1961     0     6    16     9     3    34        0    23    64    36     8   131
 1962     6     7    10    12     2    37       13    15    40    48     6   122
 1963     2    14    17     6     1    40        5    77    64    31     2   179
 1964     5     3    16     7     2    33        6     3    80    37     7   133
 1965     1     1     9    12     1    24        1     1    36    54     3    95
 1966     4     5    20     7     1    37       15    13   110    19     2   159
 1967     5     0    12     8     0    25       29     0    46    11     0    86
 1968     2    14    12    12     0    40        8    35    46    48     0   137
 1969     0     6    16    12     0    34        0    31    68    37     0   136
 1970     2     6    19    15     7    49        4    26   144    81    30   285
 1971     0    16    11    13    13    53        0    90    42    58    62   252
 1972     1    11    17    14     7    50        1    70    71   104    27   273
 1973     0    10    15    12     1    38        0    47    44    46     2   139
 1974     0     6    29    10     3    48        0    41   303    44     5   393
 1975     4     9    23    23     2    61       10    23   107   160    17   317
 1976     0     5    19    12     4    40        0    19    97    46    10   172
 1977     2    14    25     6     0    47        4    85   179    21     0   289
 1978     3    10    14    12    14    53        5    50    66    61    59   241
 1979     2     8     9    11     5    35        3    18    28    57    10   116
 1980     2     8    24    20     6    60        2    49   236   129    27   443
 1981     0    10    12     5     2    29        0    28    74    14     8   124
 1982     0     3    19     7     0    29        0    10    72    39     0   121
 1983     1     8    28    26    13    76        2    21   177   272    83   555
 1984     0     5    16    24     8    53        0    14    79   188    57   338
 1985     2     7    15     3    10    37        2    32    98    14    46   192
 1986     0    12    18     3     0    33        0    57    77     7     0   141
 1987     2    10    13     6     0    31        3    47    64    41     0   155
 1988     2    15    18    22     4    61        4   125   107   179    10   425
 1989     2     5    13     5     1    26        8    14    79    21     1   123
 1990     0     6     8     9    14    37        0    24    56    42    50   172
 1991     1     7    13    11     6    38        1    21    58    43    14   137
 1992     1     5     3     3     0    12        1    10     9     5     0    25
 1993     0     2     4    10     1    17        0     4     8    41     3    56
 1994     1     8     4     7     2    22        3    14     8    26     5    56
 1995     0     5    14    16     1    36        0    12    75    95     1   183
 1996     2     8     6     4     1    21        2    17    22     9     1    51
 1997     1     9    19    11     4    44        2    21    79    40    15   157
 1998     2     6     9    11    10    38        7    20    33    39    43   142
 1999     0     4    18     7     4    33        0     6    92    16    10   124
 2000     3     6     6    15    11    41       16    16    17    65    64   178
 2001     2     5    18    16     4    45        2    15    80    88    15   200
 2002     1    11    21     9     9    51        1    32   106    44    36   219
 2003     0     1    14    18     2    35        0     4    60   140     2   206
 2004     2     0     4     4     0    10        4     0    13     9     0    26
 2005     1    12    19     0     0    32        2    54   100     0     0   156
 **************************************************************************************
MEANS   1.4   7.5  14.8  11.1   4.3  39.1      3.6  31.1  81.2  59.4  18.7 194.0
