# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8688] WASHINGTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8688
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     3    13     8     2    26        0     7    40    36     3    86
 1952     3    21    21     8     9    62       13   123   115    32    37   320
 1953     4    17    21    18    10    70       24    89   132   149    79   473
 1954     1    20    25    12     8    66        1   110   145    42    48   346
 1955     1     3    28    23     9    64        3    10   209   190    61   473
 1956     8    23    16    16     8    71       30   156   103    71    30   390
 1957     0     7    23    15     1    46        0    22   153    81     4   260
 1958     2     5     1    17     2    27        6    17     1    71     5   100
 1959     4    11     9    19     6    49        7    34    30    89    20   180
 1960     1     1    12    18     8    40        1     1    53    65    87   207
 1961     1    13     8    12     6    40        3    61    35    41    24   164
 1962     9     8    10    13     3    43       20    27    32    61    13   153
 1963     3    18    18     8     5    52       11   115    61    37    12   236
 1964     5     9    21    14     6    55       18    43   120    80    24   285
 1965     5     5    13    11     1    35        7    12    47    64     3   133
 1966     3    10    25    12     2    52        4    31   186    43     7   271
 1967     6     3    15     5     0    29       24    10    58    10     0   102
 1968     3    19    20    17     1    60        5    77    83    97     2   264
 1969     3     8    19    16     0    46        5    31    69    54     0   159
 1970     4     7    20    14     4    49        9    31   136    50    12   238
 1971     2    23    14    15    12    66        3   122    37    59    61   282
 1972     7    11    19    15     6    58       24    41    82    98    27   272
 1973     0    11    17    19     2    49        0    42    86    70     9   207
 1974     1     6    23     8     0    38        1    19   168    22     0   210
 1975     5    14    25    13     3    60       16    56   152    95    13   332
 1976     0    10    19    13     7    49        0    32   107    50    17   206
 1977    12    14    25    10     0    61       31    71   206    29     0   337
 1978     3    12    13    14    14    56       13    44    46    56    57   216
 1979     4    12    19    14     8    57        9    37    53    71    18   188
 1980     7     8    24    23     9    71       19    33   195   113    31   391
 1981     0     8    13     8     5    34        0    24    63    22    11   120
 1982     0     2    16     8     5    31        0     3    55    44     9   111
 1983     0    16    29    28    10    83        0    80   243   316    56   695
 1984     1     9    16    22    10    58        2    31    85   111    53   282
 1985     2     6    19     8    10    45       10    34    86    31    70   231
 1986     0    11    23     5     4    43        0    58   105    12     8   183
 1987     9    15    25    14     1    64       20    92   182   105     2   401
 1988     7    20    28    21     5    81       18   154   228   237    16   653
 1989     2     6    16     7     0    31        6    13   102    33     0   154
 1990     0     6    12     8     9    35        0    15    60    45    38   158
 1991     6    16    18    15     9    64       15    63   136    68    31   313
 1992     2     8     5     4     0    19        2    24    11    16     0    53
 1993     0     4     9    12     2    27        0     9    25    33     4    71
 1994     3    11    14    10     7    45        3    57    49    46    18   173
 1995     0    11    20    24     1    56        0    51   112   124     1   288
 1996     3    12    13     8     2    38       12    52    41    37     2   144
 1997     1    10    17     8     4    40        3    27    99    32    10   171
 1998     6     8    14    13     8    49       17    39    71    40    37   204
 1999     0     8    19     3     5    35        0    20   136    11    24   191
 2000     0     4     4    10    11    29        0     9    10    24    66   109
 2001     1     3    15    12     1    32        2     8    74    58     3   145
 2002     0    11    20     9     7    47        0    35   100    42    32   209
 2003     1     5     8    14     3    31        3    18    39   104     8   172
 2004     1     5     4     2     2    14        3    12    11     6     3    35
 2005     0    13    19     0     0    32        0    63   122     0     0   185
 **************************************************************************************
MEANS   2.8  10.2  16.9  12.6   5.0  47.5      7.7  45.4  94.3  65.9  21.9 235.1
