# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3632
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     2    12     7     0    21        0     2    39    31     0    72
 1952     3    17    15     4     3    42        7   102    76     6     8   199
 1953     3    14    21    17     8    63       13    81   129   106    53   382
 1954     2    15    25    12     8    62        3    88   237    55    36   419
 1955     5     6    26    23    12    72       11    14   227   219    85   556
 1956     3    21    18    16     9    67       10   146    93    91    31   371
 1957     0     6    25    14     1    46        0    22   175    82     2   281
 1958     3     7     5    18     5    38        6    31    10    78     7   132
 1959     1    13    13    21     5    53        4    55    45   110    19   233
 1960     0     3    14    13     7    37        0     9    56    44    37   146
 1961     0     7    14    16     3    40        0    26    66    53    11   156
 1962     7     8    16    14     1    46       14    14    64    50     3   145
 1963     2    18    24    12     3    59        6    89   120    50     3   268
 1964     5     7    24     5     4    45       14    17   126    37     7   201
 1965     3     3     7    12     0    25        6     4    35    48     0    93
 1966     4     9    22     7     0    42       13    29   141    23     0   206
 1967     5     3    13     7     0    28       42     4    52     8     0   106
 1968     2    15    19    13     1    50        5    86    76    95     3   265
 1969     4     5    17    15     0    41       13    22    89    48     0   172
 1970     7    15    18    19     7    66       23    68   117    84    39   331
 1971     0    20     9    15    10    54        0   105    34    51    46   236
 1972     4     9     9    13     4    39       10    53    43    71    11   188
 1973     1    12    12    13     0    38        4    55    47    40     0   146
 1974     0     8    26     4     0    38        0    51   237    10     0   298
 1975     5     6    21    16     2    50       20    21    93    78     8   220
 1976     0     5    14    12     3    34        0    22    73    37    11   143
 1977     3    12    19     4     0    38        6    74   120     7     0   207
 1978     1    11    16     9     9    46        3    59    60    26    25   173
 1979     3     8     5    10     1    27        4    25    18    37     1    85
 1980     3     8    22    13     6    52        4    51   157    54    20   286
 1981     0    10    11     3     2    26        0    42    56     5     6   109
 1982     0     2    10     5     0    17        0     3    42    24     0    69
 1983     1     7    21    25     8    62        2    23    92   147    35   299
 1984     0     3    12    13     4    32        0     7    48    57    16   128
 1985     0     5     9     3     4    21        0    28    28     4    16    76
 1986     0    12    15     0     0    27        0    38    53     0     0    91
 1987     7    15    19     6     1    48       18    71    92    39     1   221
 1988     6    20    16    17     4    63       13   153    85   154    13   418
 1989     4     3    14     5     0    26       19    17    66    21     0   123
 1990     0     8     8    11    11    38        0    45    53    43    40   181
 1991     5    11    13    11     3    43       11    38    43    32     7   131
 1992     1     4     2     1     0     8        1     7     6     2     0    16
 1993     1     6     3     8     2    20        4    15    12    32     6    69
 1994     5     9     8     9     5    36       13    37    22    24    19   115
 1995     0    10    18    19     2    49        0    41    98    99     2   240
 1996     3    13     5     2     0    23       11    59    26     5     0   101
 1997     2    12    19     7     4    44        2    48    92    22    14   178
 1998     5     8    17    12    13    55       18    37    56    43    41   195
 1999     0     7    17     2     3    29        0    17    76     3     3    99
 2000     4     9     7    11    11    42       18    35    17    38    83   191
 2001     4     9    15    11     3    42       17    32    73    74     7   203
 2002     1    16    23     6     8    54        6    61   114    25    27   233
 2003     1     7    12    14     5    39        3    13    58   116    10   200
 2004     1     4     5     3     5    18        3     7    11     7     9    37
 2005     2    10    15     0     0    27        2    41    81     0     0   124
 **************************************************************************************
MEANS   2.4   9.3  14.8  10.5   3.8  40.9      7.3  42.5  77.4  49.9  14.9 192.1
