# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6103] NORTHWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   4  13  13  13   7   0   0   6   8   5   6  80
1952     7   2   7   4   8   9   7  10   3   0   2   5  64
1953     6   4   8  11   8   7   7   6   3   1   5   5  71
1954     3   2   0   9   7   9   9  10  11   8   2   0  70
1955     4   3   6   8   8   7   4   5   6   4   4   4  63
1956     7   0   5   5   9   3   9   8   7   5   5   4  67
1957     4   5   7   6  12  11  10  10   8   7   7   2  89
1958     3   2   4   9   6  13   7   7   8   2   4   3  68
1959     5   5   6   4  15  10   6  13   9   8   6   5  92
1960     2   3   9   9  14  11   7  12   8   3   4   5  87
1961     4   6   8   6   8   7  12   5  10   6   4   5  81
1962     2  10   7   9  10   6  11   8  10   6   0   3  82
1963     6   7   6   7   9   8  10   7   8   8   3   5  84
1964     4   1   6  11  13   8   7   8  11   1  11   7  88
1965     4   4  11  12  12   6  11  13  19   4   7   4 107
1966     4   5   7   9   6  13  11   8   5   7   2   3  80
1967     5   7   5  11   8  17   9   8   5   9   5   5  94
1968     5   3   5  13  11  12  11   6  12   9   6   8 101
1969     6   4   2   7  11  15   7   3   6   8   4  10  83
1970     2   2   5   7  13   7   9   4  12  12   9   5  87
1971     5   7   3   4  11  13   5   3   7  12   7   7  84
1972     5   5   7  10  11   7   9  14  11  10   6   9 104
1973     3   0   9  10  14  10   9  12  14   8   6   5 100
1974     3   6   9   9  16  10   9  11  10   7   5   6 101
1975    10   3   8  12  11  14   6  10   6   2   8   3  93
1976     3   2   9   7   7   7   7   7   5   4   1   5  64
1977     5   3   9  11  10   9   9  16   9   7   7   8 103
1978     5   6   2  12   8  12  16   6   8   7   5   7  94
1979     7   5   8   9   8  10   8  11   4   5   5   2  82
1980     7   4   7   2   6   7   6  18   8   4   1   4  74
1981     2   6   4  15   7  11   6  12   4   8   3   6  84
1982     9   3  10   9  16   7   8   8  10  10   5   6 101
1983     3   7  10   7  13  11   7   8   8   7   8   6  95
1984     2   5  10   8  10  13  13   6   9  15   4   9 104
1985     7   4   7   7  10  11   5   8  14   7  11   5  96
1986     3   3   5  11  10   8  10   8  14   7   4   3  86
1987     5   1   5   5   6   7   8   9   9   3   9   5  72
1988     4   2   5   8   6   5   7   9   9   4  10   2  71
1989     3   3   7  10   9   8   6   8   7   5   8   1  75
1990     3   3   9  12  10  13   8  10   5   6   5   9  93
1991     8   3   9  12  14   7  10   9  11   7  12   8 110
1992     8   6   9   7   8   4   8   7  10   4   6  13  90
1993     5   6   6  11  13  13   9   9   7   2   5   7  93
1994    11   7   0   8   7  11  11   5  10   6   4   6  86
1995     4   1  10  11   7   6   6   8   6   8   4   5  76
1996    10   0   5   5  12  12   4   7   6   6  10   8  85
1997    10   4   9   9   8  10  14   8   8   3   6   6  95
1998    12   6  16  11  12  17   9  12   5  13   4   5 122
1999    11   7   3  14  16  15  12   7   7   8   2   6 108
2000     8   8  13   8  16  16   8   4   7   9  10  14 121
2001    17   7   5  12  16  13   9   8   7   5   6   5 110
2002    11  10  15  15  12  15  14  14  12  20   7   7 152
2003    12  12  17  13  15  14  13   9   6   7  14  16 148
2004    10  15  19   8  18  14  17  16   7  15   9  10 158
2005    18  13  14  11  20  20   7   0   0   0   0   0 103
STDDEV   4   3   4   3   3   4   3   4   3   4   3   3  20
AVG      6   5   8   9  11  10   9   9   8   7   6   6  92
