# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2864] FAYETTE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     8   6  13  15  10  13   9  11   5  12   7   8 117
1952     8   4  11   6  10  10  12   8   3   0   5   6  83
1953     5   6   9  11   9  11  14   5   4   4   6   6  90
1954     3   3   8  10  10  13   8  13   8   9   3   7  95
1955     7   7   5   8   9   8  12   4  10   7   7   7  91
1956     9   3   9  10  13   9  12  12   8   7   9   5 106
1957     5   5   6   7  15  13   7  11   8   7   6   6  96
1958     4   1   3  10   6  11  11   9   6   4   2   2  69
1959     8   6   9   6  16   8   6   8   8  10   6   6  97
1960     4   5  11  10  15   7   8  11   8   3   4   5  91
1961     3   4  10   7   9   6  11   7  12   6   7   7  89
1962     2  11   9  10  11   6  12   9   7   9   1   4  91
1963     6   8   7   9   6   6   7  10   9   8   6   4  86
1964     2   2   9  10   9   7   2  10   8   2   6   7  74
1965     4   5  12  14  12  10   6  11  17   7   5   8 111
1966     5   5   8   8  10  12   7   4   6   4   3   7  79
1967     9   8   7   7   6  12   8   8   6   7   9   7  94
1968     7   4   6  12  12  13   9   6  16   9   6  11 111
1969    11   1   6  10  14  14  11   3   9   9   5   8 101
1970     6   6   6   8  14   9  10   8  15  11   9   3 105
1971     5   5   5   6  10  12  10   3   8   7   8   8  87
1972     4   7   8  13  11   8  12   8  10  11   8   9 109
1973     4   7  10  12  12   9  10   8  16   5   8   6 107
1974     8   5  11   8  14   7   8  10   5  10   5   9 100
1975     9   8  10  11  12  11   4  12   7   3  10   2  99
1976     3   5   7   9   8   7   5   7   3   6   2   5  67
1977     8   4  10   7   8   8  12  16  11   9  12   7 112
1978     5   8   3  13   7  13  15   7   6   7   8   8 100
1979    12   5  12  12   8  12   9  16   3   8   8   6 111
1980     8   6   5   7  12   8   8  18  13   5   3   5  98
1981     4   9   3  13   9  14   8  13   7   9   9   6 104
1982    11   2  11   9  19  10  11   7  12  10  11  11 124
1983     7   7  10  10  21  12   8   7  13  11  15  11 132
1984     4   5  10  12  13  10  10   5  11  12   7  11 110
1985    10   6  10   9   8   7   8   9  12  10  16   7 112
1986     6  10   6  12  16  13   9   7  13  11   7   5 115
1987     6   1   9   7  11   9   6  15  10   4  10  10  98
1988     5   9   7   7   3   7  10   8   8   7  14   4  89
1989     7   7   6   9   8   8   7   8   8   7   4   7  86
1990     7   4  11  15  17  15  12  10   8   6   9  10 124
1991     9   3  13  14  12   7   7   8  13  10  12   7 115
1992     6   8  10  12   8   5  17   7  12   4   9  11 109
1993     8   6  10  13  16  15  15  16   8   6   7  11 131
1994    11   9   2  11   8   8  16   9  13   7   9   6 109
1995     6   2  11  15  12   9   6  12   6  15   5   4 103
1996     8   3   9   8  18  13   9   7   9  11  12  10 117
1997    11   7   7   8  11  11  11  13   9   6   4   7 105
1998     8   8  12  13  14  15   7  13   8  13   5   6 122
1999    13   3   4  12  12  10  12  10   6   5   3   7  97
2000     8   8  10   7  15  17   7   8   8  10  11  12 121
2001    14   8   6  13  14  10   9  11   9   6  10   9 119
2002     6   9  12  15  13  12  11   9  10  18   8   7 130
2003     8   9  10  12  13  11  15   6   8   6  14  14 126
2004    11  12  20   7  19  16  14  13   3  13   9  11 148
2005    17  12  11  11  17  14   7   0   0   0   0   0  89
STDDEV   3   3   3   3   4   3   3   4   4   3   4   3  16
AVG      7   6   9  10  12  10  10   9   9   8   7   7 104
