# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0133] ALGONA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0133 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      6      0      0      0    181     91     76     63
 1952     38     17     14     11    373    236    209    184
 1953    122     50     35     26    184     87     70     54
 1954     35      8      5      3    393    245    215    187
 1955     86     41     31     22    461    301    271    241
 1956     51     16     11      7    253    145    122    101
 1957     89     34     26     18    347    229    207    185
 1958     63     19     11      7    318    186    156    129
 1959     67     22     16     10    334    204    179    155
 1960     18      3      1      0    344    207    182    160
 1961     48     19     14     10    177     83     65     51
 1962     21      5      3      1    277    168    150    136
 1963    160    107     95     84    380    232    197    166
 1964     68     26     18     12    324    193    167    143
 1965      1      0      0      0    250    136    115     95
 1966    204    112     93     75    202    103     84     68
 1967    189    125    112     99    364    223    191    161
 1968    268    172    150    131    397    250    220    190
 1969     12      0      0      0    318    186    160    135
 1970     18      1      0      0    338    216    191    166
 1971     46     19     15     13    384    257    227    199
 1972     84     29     23     17    254    132    108     88
 1973    137     53     39     26    297    177    150    124
 1974    101     33     25     19    353    209    178    152
 1975     23      4      2      1    170     71     53     38
 1976    128     70     59     48    447    292    257    222
 1977    186     89     71     54    513    347    312    280
 1978    113     63     54     47    299    169    142    116
 1979     15      1      0      0    212    113     93     76
 1980     53     16     10      5    342    211    188    167
 1981    216    112     91     72    439    276    242    210
 1982     67     19     12      8    293    182    161    140
 1983    104     45     35     26    202    106     92     79
 1984     23      2      0      0    243    118     93     73
 1985    127     58     44     33    448    297    266    237
 1986    163     95     83     74    348    197    166    137
 1987    150     79     67     55    452    307    276    247
 1988    142     66     53     40    312    190    162    136
 1989     92     47     40     33    330    199    172    147
 1990    148     69     55     43    346    209    182    158
 1991    108     46     36     28    330    191    165    141
 1992    110     47     36     26    231    129    113     98
 1993     10      1      0      0    217    108     90     74
 1994    127     62     50     40    361    243    217    191
 1995    123     51     39     30    217    109     89     69
 1996     80     33     27     22    271    163    140    118
 1997     99     47     38     29    263    150    129    108
 1998     79     42     37     32    295    167    140    116
 1999    110     50     40     32    263    141    116     95
 2000    224    128    108     91    292    187    166    146
 2001      7      2      1      0    331    201    174    150
 2002     37     15     11      8    291    182    159    137
 2003    143     84     73     62    346    236    212    189
 2004    139     59     47     37    344    220    193    167
 2005     86     43     38     33    392    235    202    171
     ****************************  ****************************
 MEAN   93.9   44.7   36.3   29.1  315.3  189.9  164.6  141.2
 STDV   63.0   38.9   33.9   29.2   79.5   62.6   58.3   53.8

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    674    446    395    347    710    479    423    368
 1952    565    354    307    264    946    707    648    589
 1953    601    392    348    310    936    697    638    579
 1954    488    319    280    243    918    681    625    570
 1955    723    501    453    407    782    552    498    447
 1956    613    419    376    337    941    705    648    593
 1957    553    357    315    274    822    585    528    473
 1958    684    487    440    395    716    490    437    389
 1959    673    460    413    368    908    672    615    559
 1960    613    406    359    316    801    565    511    460
 1961    463    301    266    236    813    580    530    481
 1962    738    516    466    418    834    596    540    486
 1963    588    395    353    312    942    704    647    590
 1964    769    545    495    449    884    653    598    544
 1965    731    508    456    409    894    654    594    538
 1966    568    395    358    324    877    640    583    527
 1967    505    329    293    259    861    623    567    513
 1968    518    344    308    273    892    659    603    549
 1969    648    436    393    352    720    500    451    403
 1970    676    472    426    381    883    650    594    538
 1971    570    384    344    307    960    720    660    601
 1972    645    431    385    340    838    608    556    504
 1973    553    351    311    276    906    666    606    549
 1974    532    343    305    270    792    556    504    455
 1975    695    470    424    381    853    619    563    509
 1976    603    406    361    320    871    634    576    521
 1977    849    611    556    503    893    655    596    538
 1978    659    454    407    363    884    651    595    542
 1979    567    373    334    300    864    625    567    513
 1980    677    461    413    368    881    643    588    535
 1981    577    379    335    297    895    655    596    539
 1982    710    475    421    370    763    528    474    423
 1983    505    330    294    260    868    634    579    525
 1984    542    349    308    270    893    654    596    539
 1985    742    515    465    421    751    528    479    431
 1986    617    405    355    308    891    652    593    535
 1987    786    555    503    452    949    709    650    593
 1988    799    568    516    467    939    701    643    586
 1989    620    414    369    328    828    596    542    490
 1990    517    319    277    240    909    676    618    560
 1991    703    488    438    392    961    721    661    601
 1992    625    422    378    337    822    588    532    477
 1993    538    328    284    242    763    531    476    422
 1994    695    486    441    398    910    672    614    556
 1995    524    319    277    238    887    650    593    537
 1996    510    307    264    225    870    635    578    523
 1997    498    314    275    237    936    696    636    578
 1998    744    510    458    409    769    537    482    428
 1999    599    380    334    291    817    578    523    468
 2000    651    439    394    351    757    523    470    418
 2001    578    348    299    259    802    567    513    460
 2002    495    335    300    267    904    664    606    548
 2003    495    304    266    230    772    532    474    417
 2004    547    355    314    274    744    510    457    409
 2005    523    319    277    238    907    667    607    547
     ****************************  ****************************
 MEAN  616.0  411.4  366.9  325.5  856.9  621.3  565.1  510.4
 STDV   92.8   78.1   74.0   69.8   68.5   65.7   63.7   61.4

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    951    703    641    579    888    640    578    517
 1952   1007    759    698    637    886    638    577    518
 1953    996    748    686    625    960    712    650    588
 1954   1049    801    739    677    926    678    616    556
 1955   1101    853    791    729   1013    767    706    648
 1956    877    629    567    507    920    683    625    569
 1957   1105    857    795    733    939    694    633    575
 1958    891    644    583    523    966    722    662    606
 1959    959    711    651    594   1042    794    732    671
 1960    955    707    646    589    966    718    656    595
 1961    920    672    611    551    956    708    646    584
 1962    942    694    634    575    933    685    623    565
 1963   1011    763    701    639    921    676    617    561
 1964   1049    801    739    677    862    622    566    512
 1965   1004    756    694    634    880    635    576    519
 1966   1056    808    747    686    863    617    558    503
