# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   9  10  13  11  15   9  11  10   9   3   6 110
1952     4   6  11  11   8  10   7  17   6   0   4   4  88
1953     4   8  12  10  12  12   9   4   2   5   3   3  84
1954     1   4   5   9   7   9   5  17   6  13   2   5  83
1955     7   5   5   5   7  12   3   3   7   2   3   3  62
1956     7   2   2   5   9   7  12  12   3   6   6   5  76
1957     4   5   7   8  11  14   7   9   8   9   7   4  93
1958     7   4   6   9   6   8  12   8  10   2   3   3  78
1959     7   7  11  10  17   6   4  13  10  13   3   8 109
1960     8  10  12   8  10  13   6  12   7   5   3   4  98
1961     3   6  13   8  11   7   9   7  11   5   7   9  96
1962     7  11   8   9  13   6   7   6   9  10   6   7  99
1963     5   5   6   9   6   9  11  12  11   4   2   3  83
1964     4   4   6  14  11  13   9  13  12   2   5   5  98
1965     6   7  13   8  14  12  12   9  15   3   3   6 108
1966     3   4   4   7   9  10   9   8  13   3   1   3  74
1967     5   2   5   8  11  14   7   6   8   7   3   6  82
1968     5   2   3  12  11   8   9  12   8   7   6  10  93
1969     0   6   6   8  11   8   8   4   3  12   1   7  74
1970     2   1   8   7   8   5   8   4   9  10   9   4  75
1971     3   7   7   5  11   9   7   5   6   9   8   9  86
1972     4   3   8  11  15  10  11   7  12   5   8   5  99
1973     7   6  17   7  13   7  11   7  14   6   6   9 110
1974     6   3   6   8  12   7   6  10   5   8   7   6  84
1975     7   6   9  10  11  11   3   8  10   1  10   4  90
1976     3   5   8   9   8   5   7   6   6   4   1   3  65
1977     6   4   9  12   8   5   9  13  10  11   7   8 102
1978     5   7   4  15  14   6  13   8   6   4  11   9 102
1979    10   5   9  10   5  12  11   7   4   6   5   5  89
1980     7   7   9   6   6   6   8  10   6   3   2   6  76
1981     1   3   6  10   9  10  13   9   5  10   5   8  89
1982    10   9  11   9  18   9  10  12  10   6   3   6 113
1983     6   6  12  10  14  13   3   7   6  10  13   0 100
1984     4   4  12  14  14  13   8   2   5  11   4  10 101
1985     6   8   8  10  12  11   5  10  11  10   8   6 105
1986     0   8   9  12  12   8   7   9  13  10   6   3  97
1987     3   3  11   7  16  11   8  12   6   6   9   9 101
1988     4   3   5   5   9   3   6   5   7   2  10   4  63
1989     4   8   5   3   7  10   6   9   7   7   1   8  75
1990     4   5  14   6  13  16  12   7   5   6   6   9 103
1991     6   2  11  14  14   9   7   9   6   8  13   5 104
1992    11   7  11  10   5   8  16   8  13   6   9   6 110
1993     5  10  11  11  18  14  21  12  13   7   6   5 133
1994     6   7   5   9   6  14   9   7   6  11   7   6  93
1995     3   7   9  13  19  11   7   5  10   8   7   4 103
1996     8   3   8   5  20  13   9   9  10   7  11   6 109
1997     6  10   6  11   9   8  12  10   5   7   8  12 104
1998     6  11  13  12  10  15  12  13   6  11   8   4 121
1999     5  10   5  17  13  11   8   7   7   2   2   7  94
2000     4   7   7  11  15  16  12   7   5   7   5  14 110
2001    12  10   6  10  20  13  10   4   9   7   4   6 111
2002     7   6   9  14  14   9   8  10   7  15   9   4 112
2003    12   9   8  15  17  14  11   7   8   6  11  11 129
2004     6  10  18   5  20  13  22  10   4  14  11   8 141
2005    14  10  11  13  13  11  10   0   0   0   0   0  82
STDDEV   3   3   3   3   4   3   4   3   3   4   3   3  17
AVG      6   6   9  10  12  10   9   9   8   7   6   6  96
