# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6940
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     2    16    14     1    34        4     5    87    75     3   174
 1952     4    23    23    10    11    71       11   175   154    28    25   393
 1953     5    20    23    16     8    72       26   129   170   129    57   511
 1954     0    18    27    17    11    73        0   128   306    85    59   578
 1955     5     6    27    24    13    75       11    26   254   223   107   621
 1956     9    21    19    22    10    81       40   168   116   126    50   500
 1957     0     8    27    17     1    53        0    30   221   119     3   373
 1958     4     9     7    19     6    45        9    45    20   100    15   189
 1959     3    13    15    23     5    59        7    57    62   121    24   271
 1960     1     6    14    16     7    44        1    17    74    61    45   198
 1961     2     9    16    15     6    48        3    43    88    59    16   209
 1962    12    11    16    16     2    57       31    33    74    70     5   213
 1963     3    19    25    16     4    67       13   136   155    72    14   390
 1964     8    12    24    13     6    63       24    38   179    76    25   342
 1965     5     8    15    18     1    47       11    12    64    87     4   178
 1966     6    10    24    10     0    50       31    37   182    41     0   291
 1967     6     4    16    16     1    43       44     7    82    39     2   174
 1968     2    21    21    17     1    62       12   129   131   110     3   385
 1969     4     9    17    14     4    48       11    46    97    50     8   212
 1970     5    15    21    18    10    69       15    62   136    88    42   343
 1971     0    22    13    16    16    67        0   130    56    64    67   317
 1972     8    14    16    15    10    63       18    88    78   123    45   352
 1973     3    21    24    26     2    76       10   118   126   131     7   392
 1974     3    13    31    14     4    65        8   102   370    64    12   556
 1975     6    11    26    26     5    74       28    58   175   215    34   510
 1976     2    14    25    20    10    71        6    55   154   111    42   368
 1977     6    11    25    12     3    57        9    69   174    51     7   310
 1978     1    14    18    16    14    63        1    85    89    91    87   353
 1979     3    18    19    18     6    64       12    69    84   111    26   302
 1980     4    16    26    23     8    77       13    91   265   154    45   568
 1981     0    16    15     8     4    43        0    64    95    24    12   195
 1982     1     3    25     9     3    41        2    14   133    54     4   207
 1983     1     8    28    28    13    78        4    43   212   274    86   619
 1984     2    11    20    26     7    66        3    34   113   169    44   363
 1985     4    11    24    10    10    59        8    61   126    32    56   283
 1986     2    16    26     5     4    53        2    91   131    13    10   247
 1987    11    20    24    12     4    71       36   118   167    71     8   400
 1988    10    23    25    25     9    92       33   224   178   255    41   731
 1989     4     6    20    17     1    48       24    27   119    54     2   226
 1990     0    13    12    11    13    49        0    64    82    73    83   302
 1991     7    14    16    15     8    60       18    68    91    80    30   287
 1992     2     6     6     5     2    21        4    13    17    12     2    48
 1993     1     7     5    15     1    29        2    18    21    63     6   110
 1994     4    12    12    15     6    49       11    43    38    57    27   176
 1995     0    11    22    24     3    60        0    37   156   157     6   356
 1996     4    13     7     5     0    29       14    54    33     9     0   110
 1997     3     9    19    10     4    45        9    31    73    39    14   166
 1998     4     6    13    13    11    47       12    27    50    54    52   195
 1999     0     8    18     8     4    38        0    16   113    24    12   165
 2000     6     9     9    15    10    49       33    29    24    64    89   239
 2001     4    12    20    17     4    57       13    31   112    84    19   259
 2002     1    17    25    10    10    63        5    79   169    48    47   348
 2003     1     5    19    22     7    54        3     8   103   178    12   304
 2004     3     3     5     4     4    19       12     7    20    13     9    61
 2005     3    12    21     0     0    36        6    55   115     0     0   176
 **************************************************************************************
MEANS   3.6  12.2  19.1  15.4   6.0  56.3     12.1  62.6 122.1  86.8  28.2 311.7
