# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3718] HAWARDEN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3718
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    14     7     0    21        0     0    44    24     0    68
 1952     2    17    17     6     9    51        9   116    64    27    24   240
 1953     2    15    16    12     4    49        7    79    70    61    21   238
 1954     1     8    21     9     1    40        3    35   119    17     2   176
 1955     3     4    25    26    10    68        8    15   198   258    72   551
 1956     6    19    15    16     8    64       13   176    68    89    43   389
 1957     1     6    22     9     2    40        1    17   132    49     4   203
 1958     3     5     7    23     5    43        7    39    20   167    25   258
 1959     4    14    13    20     6    57       12    64    57   107    38   278
 1960     0     2    12    10     7    31        0     2    70    54    39   165
 1961     0     9    12    15     4    40        0    49    60    66    10   185
 1962     2     2     8    10     1    23        3     4    28    32     1    68
 1963     2    16    20    12     3    53        3    77   103    45    15   243
 1964     5    11    23     8     3    50       26    44   167    53    12   302
 1965     4     5    11    10     0    30       10    13    47    53     0   123
 1966     4    11    20     9     0    44       11    41   140    27     0   219
 1967     5     1    10     9     3    28       37     5    60    27    10   139
 1968     2    16    12    15     1    46        3    96    54   124     2   279
 1969     3     1    13    10     0    27        9     9    56    30     0   104
 1970     4    12    18    16     6    56       19    64    99    96    31   309
 1971     0    15     6    14     6    41        0    57    21    60    36   174
 1972     5     9     8    13     3    38        8    42    25    61     7   143
 1973     2    13    12    17     1    45        7    55    51    84     1   198
 1974     0     8    22     3     2    35        0    50   172    10     2   234
 1975     4     3    21     9     3    40       15    11   126    30     8   190
 1976     2    11    21    21     5    60        5    47   125   125    29   331
 1977     3    12    17     7     2    41        5    66   139    29     5   244
 1978     2    13    19    12    10    56        4    56    86    47    48   241
 1979     2    10    14     9     1    36        7    45    57    34     1   144
 1980     4    10    21    14     6    55        9    44   153    58    28   292
 1981     0    10    10     6     7    33        0    53    54     9    27   143
 1982     0     3    16    10     2    31        0     7    77    45     2   131
 1983     1     7    19    25     8    60        4    22   110   170    52   358
 1984     0     3     9    14     3    29        0     4    35    77    16   132
 1985     3     8    12     3     3    29        6    35    45     8    12   106
 1986     0    11    20     4     0    35        0    40    98    16     0   154
 1987     9    15    18     7     1    50       42   102   106    32     2   284
 1988     5    18    21    19     4    67       11   159   152   156    10   488
 1989     3     8    17     6     1    35       21    33   127    28     4   213
 1990     2    12     9    14    13    50        9    77    77    54    55   272
 1991     3    12    13    14     2    44       11    63    63    78    12   227
 1992     1     3     0     3     0     7        3     4     0     7     0    14
 1993     0     6     4     7     1    18        0    14    10    20     3    47
 1994     4     6     3     5     3    21       10    24     4    21    12    71
 1995     0    10    14    17     1    42        0    36    92    74     1   203
 1996     2     9     3     3     0    17       11    34     9     5     0    59
 1997     1     5    10     9     2    27        2    21    56    33     7   119
 1998     3     6     8     8     9    34        9    17    35    24    55   140
 1999     0     7    16     7     2    32        0    21    92    26     3   142
 2000     1     5    12    13     7    38        2    32    47    59    36   176
 2001     3     9    16    12     2    42       18    40    45    69     4   176
 2002     2    16    24     4     9    55        9    76   154    23    42   304
 2003     0     6    12    14     4    36        0    17    42    80    17   156
 2004     3     2     8     4     8    25       11    11    26    10    22    80
 2005     0    10    14     0     0    24        0    41    67     0     0   108
 **************************************************************************************
MEANS   2.2   8.8  14.1  10.9   3.7  39.8      7.6  43.7  77.0  55.8  16.5 200.6
