# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2789] FAIRFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia2789
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.82  2.50  3.47  4.83  5.66  6.01  4.68  6.78  1.32  3.30  3.19  1.10 43.66
 1952  1.20  0.96  3.33  2.39  3.96  5.93  2.98  6.93  0.82  0.00  2.85  2.33 33.68
 1953  0.66  2.82  4.08  1.94  1.58  4.14  0.38  1.63  0.84  0.25  0.48  2.29 21.09
 1954  0.21  1.03  3.15  4.02  3.66  4.53  0.61  8.83  0.88  4.84  0.49  0.97 33.22
 1955  2.03  1.27  0.62  3.93  4.32  3.08  2.30  1.33  5.05  1.86  0.30  0.45 26.54
 1956  0.47  1.10  0.36  1.40  1.36  2.90  3.20  4.72  0.69  0.65  0.91  0.95 18.71
 1957  1.04  0.31  2.44  5.54  2.67  3.40  6.48  2.91  2.60  3.30  2.32  3.26 36.27
 1958  1.04  0.32  0.44  1.42  1.93  4.74  9.03  3.66  3.34  1.06  3.77  0.28 31.03
 1959  1.11  1.71  3.65  3.46  6.74  2.31  5.89  4.83  6.06  4.74  0.82  3.45 44.77
 1960  3.22  1.77  1.53  3.94  6.68  7.42  3.74  4.33  1.56  2.61  2.55  0.37 39.72
 1961  0.23  1.81  4.82  1.69  1.43  1.01 11.74  1.26  8.68  3.68  4.21  1.85 42.41
 1962  1.95  2.15  1.30  1.21  6.13  1.51  6.63  2.31  1.87  4.27  1.16  0.40 30.89
 1963  0.89  0.51  4.32  3.02  2.35  0.85  7.70  3.23  2.04  0.64  2.39  0.09 28.03
 1964  0.38  0.88  1.60  5.93  2.45  6.41  3.21  3.49  3.59  0.03  2.12  1.02 31.11
 1965  3.22  0.62  3.60  6.12  3.47  3.85  6.95  7.58  7.48  0.59  1.67  1.82 46.97
 1966  0.97  0.39  1.46  3.29  4.87  4.88  2.17  0.82  2.22  2.38  0.52  1.91 25.88
 1967  1.20  0.46  1.76  5.38  2.69  5.10  5.14  1.23  3.04  8.59  2.09  0.97 37.65
 1968  0.37  0.14  1.91  3.47  3.07  2.39  4.36  2.54  4.74  1.23  1.41  1.47 27.10
 1969  2.63  0.86  1.01  3.31  3.30  4.54 12.95  3.66  2.17  4.21  0.14  1.02 39.80
 1970  0.42  0.12  1.46  3.62  5.10  5.76  0.00  9.44  9.91  2.76  1.18  2.75 42.52
 1971  1.47  1.40  0.57  1.65  2.94  2.13  5.59  1.90  3.64  3.11  2.14  5.18 31.72
 1972  0.67  0.62  1.86  4.19  3.32  4.19  2.83  3.78  2.97  1.83  2.99  1.61 30.86
 1973  2.39  0.74  4.94  6.87  8.42  3.30  7.94  4.26  8.01  1.78  1.27  1.77 51.69
 1974  2.28  0.66  2.90  2.36  7.43  3.56  3.91  5.11  1.92  2.28  1.34  1.22 34.97
 1975  1.04  0.82  0.71  2.13  3.52  3.09  0.17  5.43  2.20  0.35  2.54  2.22 24.22
 1976  0.18  1.25  4.62  4.47  3.69  3.72  3.67  4.20  2.83  2.53  0.28  0.09 31.53
 1977  0.79  0.24  4.71  2.50  2.76  1.28  2.31  7.72  5.51  4.89  2.45  1.59 36.75
 1978  0.48  1.06  2.03  4.77  5.70  4.00  5.42  4.78  7.28  2.21  2.57  2.13 42.43
 1979  2.54  0.70  3.65  3.83  2.25  3.68  4.13  6.43  0.11  4.16  1.88  1.26 34.62
 1980  1.10  1.17  1.82  1.93  1.65  7.86  4.68  7.75  4.17  2.55  1.02  2.94 38.64
 1981  0.13  1.68  0.29  6.15  3.32  7.42  5.27  2.80  4.71  5.01  3.97  0.92 41.67
 1982  1.56  0.48  4.10  2.45  5.63  3.09  8.04  3.01  4.52  2.01  2.53  5.01 42.43
 1983  0.42  1.66  2.59  4.36  3.41  1.59  0.45  2.12  5.65  2.35  6.36  2.20 33.16
 1984  0.72  0.72  1.85  3.61  6.05  4.49  6.23  1.36  5.45  8.52  2.20  2.85 44.05
 1985  1.39  1.56  3.81  0.67  2.98  2.15  4.53  2.24  3.65  6.97  4.16  1.19 35.30
 1986  0.10  1.68  1.33  2.28  7.42  2.59  8.56  4.31 10.94  6.24  0.55  1.10 47.10
 1987  0.46  0.71  2.29  2.58  1.88  1.11  2.41  6.52  2.47  0.70  4.33  2.18 27.64
 1988  0.80  1.11  1.18  0.84  2.15  0.89  1.65  4.65  2.23  0.74  2.30  1.02 19.56
 1989  0.79  0.67  0.98  3.23  4.80  4.03  3.49  7.83  3.51  2.30  0.02  0.40 32.05
 1990  1.87  1.88  4.80  2.39  5.95  6.18  7.63  1.78  0.47  1.73  3.40  1.98 40.06
 1991  1.11  0.42  4.01  3.49  3.45  2.11  0.81  3.14  1.59  4.87  5.71  1.44 32.15
 1992  0.97  1.56  2.14  3.70  1.38  0.93 10.81  2.05  4.85  0.84  6.32  2.02 37.57
 1993  2.07  1.27  3.35  4.01  6.36  7.34 14.55  7.70  4.37  0.32  0.88  0.48 52.70
 1994  0.76  1.79  0.29  2.61  1.69  5.51  1.55  3.39  2.68  2.24  3.58  1.81 27.90
 1995  1.51  0.57  1.57  6.80  9.13  3.94  5.02  2.32  4.03  1.41  2.58  0.39 39.27
 1996  3.16  1.61  1.36  2.39 12.41  1.58  1.92  3.30  3.09  1.87  1.19  0.25 34.13
 1997  1.43  3.96  0.97  3.82  5.09  3.40  1.63  3.77  3.04  4.84  1.77  2.23 35.95
 1998  1.98  1.88  5.61  5.60  6.46  7.37  2.12  6.11  4.16  5.74  2.40  1.02 50.45
 1999  2.39  1.10  1.60  5.77  5.02  4.60  1.96  2.01  4.39  1.82  0.56  1.20 32.42
 2000  1.42  1.79  1.01  2.43  2.63  8.33  4.83  1.22  3.34  1.98  1.52  2.47 32.97
 2001  2.34  4.72  3.58  3.87  9.89  4.92  2.94  3.56  2.29  5.74  0.97  1.50 46.32
 2002  1.27  0.76  2.12  4.59  5.86  4.59  1.10  6.14  0.80  4.17  0.24  0.28 31.92
 2003  0.51  1.37  1.06  3.46  4.43  3.68  3.88  1.58  3.89  1.40  2.68  2.80 30.74
 2004  1.62  0.70  4.23  1.35  6.97  3.37  3.12  6.14  1.32  3.80  2.36  0.95 35.93
 2005  3.16  1.77  0.78  2.77  2.06  4.56  2.50 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  1.29  1.23  2.38  3.45  4.39  3.95  4.51  4.11  3.61  2.86  2.14  1.60 34.94
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
