# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8339] TRIPOLI-4-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     7   6  12   9  14  10   5  11   7  11   6   8 106
1952     7   2  10   6  11  10   8   8   3   0   4   5  74
1953     3   4  10  12   9  11  12   7   6   4   6   7  91
1954     1   3   8   9   9  10  10  13   7  10   3   4  87
1955     4   8   4   0   9   7   8   7   8   7   2   4  68
1956     2   1   7   8  11   4   9   7   4   5   5   1  64
1957     3   2   3   6  11   9   6  10   4   3   6   4  67
1958     3   0   1   6   6   9  10   5   5   1   2   2  50
1959     3   2   6   3  10   7   4  10   7  11   6   6  75
1960     6   6   9  11  19   7   9  11   7   6   4   5 100
1961     5   6  10  14   8   8  14   7  10   7   6   8 103
1962     1  11   7  11  15   7  15   6   8   7   2   4  94
1963    10   9   8  13   7   6   9  12   9   5   4   8 100
1964     4   3   9  11  10   8   4   9   8   2   5   6  79
1965     9   8  14  15  13  11   5  12  17   4   2   5 115
1966     7   5   9  11   6  11   8   4   6   5   5   5  82
1967     6   7   5   8   7  14  12   8   6   7   6   7  93
1968     9   4   5  12  11  11  11   8  11   9   7   9 107
1969     9   1   5   8  12  12   8   2  10  10   5   9  91
1970     3   6   8   7  10   9   9   3  15   9   8   6  93
1971     0   6   5   7  10   8  10   1   8   9  10   6  80
1972     5   5   7   8  11   9  14   7  11  10   9   8 104
1973     6   4  10  10  13   9   9   6  14   6   8   8 103
1974     5   5   9   7  14  10   7   9   5   8   5   5  89
1975     9   5  10  13  10  10   3  12   4   2  11   3  92
1976     4   4   7  10   5   8   5   4   2   5   1   4  59
1977     9   3  12   7  11   8   9  13   9   9   7   7 104
1978     6   6   3  11   7  11  12   4   5   7   8   9  89
1979    10   5  10   9  10   8  10  14   2   8   7   2  95
1980     9   6   4   6   8   6   7  14   5   6   2   3  76
1981     3   9   3  15   8   9  10  13   3   5   6   6  90
1982     7   4   0   9  18   7   0   0   0   0   0   0  45
1983     0   0   0   0   0   0   0   0   0   0   0   0   0
1984     0   0   0   0   0   0   2   3   9  12   8  10  44
1985     8   6   9   7   9   7   7   9   9   8   8   4  91
1986     4   6   5  14  14  12   9   6  14  10   6   3 103
1987     4   1   9   7  12   7   6  15   7   4  11   5  88
1988     2   1   3   8   3   6   7   6   8   4  10   3  61
1989     5   3   6   6   8   8   5   7   7   6   0   2  63
1990     4   3  11  15  13  15  12  13   7   7   7   4 111
1991     6   2   8  14  13   5   5   7  12   9  10   7  98
1992     6   4  11  10   8   4  16   6  11   3   8  10  97
1993     5   7   8  12  16  15  14  15   9   5   6   7 119
1994     8   7   1   9   7   9  11   8  11   8   6   5  90
1995     5   3  10  12  10   9   7  12   8  11   4   2  93
1996     7   0   7   8  16  13   8   6   6   7  13   8  99
1997    11   6   4   8  10  11  11   9   7   4   4   8  93
1998    11  10  12  12  13  13   8  14   8  12   4   4 121
1999    13   7   4  13  14   9  14   9   6   4   4   6 103
2000     6   9   9   7  17  16   6   6   7   9  11  12 115
2001    13   9   6  13  16  12   7  11   8   6   7   8 116
2002     8   7  11  14   8  11  12  11  10  20   5   7 124
2003     9   6   7  12  12  10  10   4   7   6  11   8 102
2004     7   8  16   5  16  15  12  13   4  12   8   8 124
2005    15  11   7   9  14  15   6   0   0   0   0   0  77
STDDEV   3   3   4   4   4   3   4   4   4   4   3   3  23
AVG      6   5   7   9  11   9   8   8   7   7   6   6  89
