# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0753] BLOOMFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   8   6   7  11  14   5   5   4   8   4   4  79
1952     2   5   5   6   8  10   4   5   1   0   3   5  54
1953     3   7  10  10   6   7   5   3   3   2   1   6  63
1954     2   4   6   8   8   9   5  12   3   8   2   4  71
1955     5   8   4   7  10   8   6   5   7   6   2   2  70
1956     4   8   3   5   4   4  10   8   1   4   4   8  63
1957     4   4   5  13  11   8   6   2   6   4   6   0  69
1958     6   3   5   8   6  10  13   9   5   2   4   1  72
1959     5   4   5   9  12   3   5   5   9   5   3   5  70
1960    10   4   7   8   9  10   4   6   8   5   2   4  77
1961     5   5   9  12   7   7  11   5  11   8   9   8  97
1962     8  11   7   9  12   6  11  10   8   9   4   7 102
1963    11   6  11   6  11   5   7   8   7   9   7   6  94
1964     5   6   9  13   9  13   9   5   9   1  10   4  93
1965     8   4  13  10  10  10   8  12  19   7   4   6 111
1966     5   3   7   8  11  10   7   4   9   6   4   9  83
1967     5   4   7  13  12  15   7   5   6  13   5  14 106
1968     4   4   5   9   9   9   6   9  12   7   7  12  93
1969    15   4   6  12  10  14  14   6  10  12   2   7 112
1970     7   3  10  13  13  12   3  10  15   8   5   7 106
1971     5  10   6   7  12   9  14   7   7  11   9  10 107
1972     7  10  10  15  12   8   7  10  12   8  10   6 115
1973     8   8  16  11  12   6  12  11  16  11   7  10 128
1974    11   2  10  10  18  15   3  13   8   8  10   7 115
1975     8   7   9  12  12  12   2  12   9   3  16   5 107
1976     5   9  10  11  12   8   7   7   6   7   1   3  86
1977     7   5  12   8  10   8   6  18  14  12   9   6 115
1978     9   7   6  16  11  12   9  11   8   8  10   5 112
1979    12   4  12  15   6  13  12   9   3   5   7   5 103
1980     9   9  10  10   5  10  12  11   9   7   4   5 101
1981     0   5   5  15  13   9  15  11   9  11   6   4 103
1982     9   6  10   6  18  13  15   9  11   7   7   9 120
1983     8   8  10  11  15  11   2   9  10   9  15  14 122
1984     3   6  14  15  11   9   9   2  14  17   4  11 115
1985     4   8   7   6  13   9  10  10   9  11  17   6 110
1986     1  10   7  12  14  10  12   7  16  11   8   4 112
1987     3   3  10   8   8  11   6  11   8   8   9   9  94
1988     6   4   6   6   4   5   7   9   8   5  10   4  74
1989     4   9   4   8  13   9  10  11   6   6   1   7  88
1990     5   8  12  13  11  13  11   6   6   5   7   7 104
1991     6   1  10  11  14   7   6   7   8   9  13   8 100
1992     6   7  10  11   7   3  15   8  12   4  15  11 109
1993     8   8   9  10  15  16  17  10  11   4   6   6 120
1994     5   8   3   9   7  11   5   9   4   8  11   6  86
1995     8   5   4  13  15  13   9   8   8   8   5   5 101
1996     8   4   6   6  19  11   6   8   8   8   8   6  98
1997     9   7   5   8  13   6   7   8   6   6   6  10  91
1998     9  12  10  14  13  15   4   9   6  11   8   5 116
1999     7   9   4  11  14  11   6   8   5   4   2   8  89
2000     8   6   6   9  12  14  10   9   8   5   6  11 104
2001    11   9   6  12  20  11   9   8   8  10   4   5 113
2002     8   9  12  15  15   9  12  10   6  17   8   6 127
2003     8   8   8  13  17   9   4   4   8   6  13   9 107
2004     6  10  16   4  12  12  12  13   3  14  12   6 120
2005    12   9   8  11  10   7   5   0   0   0   0   0  62
STDDEV   3   3   3   3   4   3   4   3   4   4   4   3  19
AVG      7   6   8  10  11  10   8   8   8   7   7   7  97
