# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0200] AMES-8-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0200
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     7     3     0    10        0     0    18    10     0    28
 1952     3    16    12     2     5    38        6    83    51     4    13   157
 1953     3     9    17    12     5    46       10    44    61    71    38   224
 1954     1    11    24     8     5    49        1    52   139    18    23   233
 1955     2     2    21    21     8    54        2     8   144   158    61   373
 1956     6    20    15    12     5    58       15   121    81    63    17   297
 1957     0     5    18    10     1    34        0    10   111    33     1   155
 1958     1     3     0    13     1    18        1    11     0    45     2    59
 1959     1     8     7    19     3    38        1    30    17    72    11   131
 1960     0     1    10     8     7    26        0     1    30    24    29    84
 1961     1     6     6     8     4    25        1    23    21    29    10    84
 1962     8     5     7    10     1    31       16     9    20    35     3    83
 1963     2    15     9     4     1    31        4    64    31    19     1   119
 1964     5     3    19     6     3    36       13     7    82    26    10   138
 1965     3     0     7    11     0    21        4     0    38    68     0   110
 1966     5     6    19     6     0    36        7    19    99    12     0   137
 1967     6     1     6     0     0    13       46     1    21     0     0    68
 1968     2    14     8    12     0    36        4    45    20    63     0   132
 1969     3     3    10     9     0    25        8     8    39    17     0    72
 1970     3     9    18     9     8    47        5    38    82    17    14   156
 1971     0    18     5    10    10    43        0    99    16    46    41   202
 1972     3     8     9     9     4    33        4    42    40    45    15   146
 1973     0    13     7    10     0    30        0    49    32    28     0   109
 1974     0     8    23     5     1    37        0    21   168     9     1   199
 1975     6     6    19    16     3    50       18    12    65    71    12   178
 1976     1     2    14    13     5    35        1     5    68    52    16   142
 1977     7    12    23     4     0    46       15    88   199     8     0   310
 1978     2     8    11     7    11    39        5    14    37    27    47   130
 1979     4     4     3    10     1    22        8     6     7    34     1    56
 1980     3     8    24    12     6    53        6    37   122    43    20   228
 1981     0    10    11     2     6    29        0    42    58     2    11   113
 1982     1     1     9     4     0    15        1     1    28    21     0    51
 1983     0     8    23    26     7    64        0    34   113   158    33   338
 1984     0     2     8    15     8    33        0     7    36    80    45   168
 1985     0     7     9     5    10    31        0    41    36    26    41   144
 1986     0     7    16     4     1    28        0    23    62     6     1    92
 1987     8    15    16     7     1    47       20    77    80    40     1   218
 1988     6    20    17    19     5    67       24   139   113   178    11   465
 1989     2     4    13     7     0    26        3    13    82    31     0   129
 1990     0     6     8     9     8    31        0    25    36    33    28   122
 1991     3    13    12     5     1    34       10    50    68     7     1   136
 1992     2     4     2     2     0    10        5     4     2     2     0    13
 1993     0     1     2     3     2     8        0     2     4     4     3    13
 1994     1     8     7     5     6    27        2    21    19    21    18    81
 1995     0     9    11    15     0    35        0    30    58    56     0   144
 1996     3     9     5     3     0    20       10    34    12     6     0    62
 1997     1     8    15     2     5    31        2    14    62     5    10    93
 1998     4     5     7     7     9    32       17    22    23    19    30   111
 1999     0     4    23     2     2    31        0     7   106     3     4   120
 2000     2     3     5     7    13    30       16    11     8    29    88   152
 2001     3    11    12    13     0    39        7    45    38    57     0   147
 2002     2    12    20     5     9    48       10    38    86    15    32   181
 2003     1     3     8    12     3    27        1    14    35    79     3   132
 2004     0     3     3     0     2     8        0     9     7     0     2    18
 2005     0    10    16     0     0    26        0    38    70     0     0   108
 **************************************************************************************
MEANS   2.2   7.4  11.9   8.3   3.6  33.4      6.0  30.7  56.4  36.8  13.6 143.5
