# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4063] INDIANOLA-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia4063 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     77     33     26     20    285    160    137    116
 1952    106     54     46     38    422    270    239    209
 1953    178     92     73     57    266    139    114     90
 1954    120     44     32     23    521    341    302    264
 1955    184    108     92     77    559    369    330    293
 1956    165     81     66     54    371    239    213    188
 1957    147     64     50     41    403    247    216    187
 1958     79     25     16     11    398    237    204    172
 1959    137     65     54     45    374    223    195    169
 1960     33     12      8      6    443    275    242    211
 1961    126     53     40     30    279    158    135    114
 1962     93     48     40     34    374    230    201    175
 1963    209    129    114    100    447    277    240    205
 1964    131     66     55     45    402    246    214    185
 1965     19      8      6      4    367    216    185    157
 1966    266    153    130    108    328    194    165    140
 1967    278    177    156    136    451    282    246    212
 1968    334    216    191    168    453    294    259    228
 1969     91     49     41     34    441    281    246    212
 1970     91     29     20     13    467    312    278    244
 1971    145     74     62     50    482    323    289    258
 1972    201    116    100     86    429    268    236    206
 1973    241    109     84     61    383    235    202    173
 1974    235    131    112     95    483    306    267    233
 1975     85     42     32     23    350    206    175    148
 1976    215    121    101     84    508    336    296    259
 1977    275    161    137    117    567    383    344    310
 1978    134     79     67     56    388    242    210    183
 1979    126     64     53     43    307    181    155    133
 1980    134     61     48     36    433    285    254    226
 1981    273    152    128    105    586    401    362    325
 1982    142     61     46     34    316    201    177    153
 1983    173     91     74     63    238    130    112     96
 1984     44      6      2      0    301    166    138    113
 1985    228    121    100     81    550    378    338    303
 1986    288    174    154    135    508    335    300    266
 1987    237    130    111     95    537    363    331    299
 1988    254    148    127    107    421    287    256    227
