# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0600] BELLE-PLAINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0600 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     24      4      2      1    258    140    116     96
 1952     79     38     33     28    401    257    228    202
 1953    146     68     53     39    242    122     96     74
 1954     85     28     20     14    452    278    241    209
 1955    151     80     65     52    499    322    284    247
 1956    109     47     37     29    332    212    185    159
 1957    127     54     41     30    390    237    204    175
 1958     80     28     18     11    363    221    190    160
 1959     92     36     29     25    327    187    159    135
 1960     19      2      1      0    395    244    215    189
 1961     93     39     32     26    227    114     95     78
 1962     59     26     23     20    338    200    174    153
 1963    194    119    106     93    417    261    226    191
 1964     99     45     34     24    360    212    183    157
 1965     11      2      1      0    312    176    148    122
 1966    211    107     87     70    272    144    118     96
 1967    201    124    108     94    371    215    184    156
 1968    270    169    148    130    410    259    228    198
 1969     68     33     26     20    382    225    191    160
 1970     59     13      8      6    389    248    217    189
 1971     89     44     37     32    399    256    225    196
 1972    122     57     47     39    309    171    143    118
 1973    213     89     68     49    309    173    147    123
 1974    137     60     49     39    422    256    219    188
 1975     44     10      6      4    261    144    122    102
 1976    181     97     82     68    446    288    252    217
 1977    244    128    107     90    540    366    328    293
 1978     99     51     41     33    335    198    169    142
 1979     83     37     30     23    264    142    120    100
 1980     94     36     27     21    375    236    210    186
 1981    224    114     94     79    499    323    287    252
 1982     94     37     28     20    306    185    160    137
 1983    142     70     58     47    236    122    105     92
 1984     34      4      1      0    303    161    132    106
 1985    193     95     77     61    522    353    317    284
 1986    226    138    121    105    467    304    269    235
 1987    204    109     91     76    465    307    275    244
 1988    182     94     78     63    356    227    200    174
 1989    138     78     67     57    367    219    187    159
 1990    207    109     90     72    363    226    196    166
 1991    189    101     86     72    396    233    202    172
 1992    178     84     68     53    285    164    141    121
 1993     51     21     16     12    251    126    103     83
 1994    142     65     53     44    357    230    202    177
 1995    180    103     87     71    231    129    106     85
 1996     97     40     30     21    274    163    141    121
 1997    147     71     57     46    257    157    134    112
 1998    121     70     62     54    306    168    142    117
 1999    122     56     44     35    313    172    145    119
 2000    263    156    133    114    347    213    187    165
 2001     34      8      5      2    432    273    240    211
 2002    110     46     33     24    328    200    175    151
 2003    145     82     71     61    381    247    220    195
 2004    193    101     82     64    380    238    206    176
 2005    126     62     52     44    440    277    242    209
     ****************************  ****************************
 MEAN  131.4   65.2   53.6   43.8  357.4  216.7  187.8  161.3
 STDV   65.2   40.9   35.7   31.0   77.6   60.8   56.5   52.1

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    714    495    444    395    790    555    498    444
 1952    618    400    356    314    986    747    688    630
 1953    633    417    370    328    940    701    643    585
 1954    537    357    319    281    959    724    666    610
 1955    719    493    446    402    797    565    511    460
 1956    700    489    443    400    979    744    687    630
 1957    590    380    336    296    860    623    566    510
 1958    701    495    449    406    774    536    482    432
 1959    720    499    447    397    904    664    606    550
 1960    626    415    364    317    815    579    522    468
 1961    558    362    320    283    866    631    579    529
 1962    812    579    526    474    858    620    563    508
 1963    626    411    365    321    944    705    648    592
 1964    803    567    514    465    879    648    591    535
 1965    765    544    491    442    844    604    545    489
 1966    527    346    310    277    862    627    570    516
 1967    539    354    315    280    876    637    580    525
 1968    552    363    324    288    910    671    613    560
 1969    662    448    401    356    745    518    466    418
 1970    755    533    483    435    880    641    584    529
 1971    545    352    313    276   1019    779    719    660
 1972    685    466    416    370    825    594    541    488
 1973    564    353    308    266    921    681    621    562
 1974    553    349    304    262    795    558    503    451
 1975    736    515    465    419    907    667    608    551
 1976    592    394    350    308    890    651    594    539
 1977    859    625    569    514    943    705    647    590
 1978    653    436    390    346    925    686    630    577
 1979    641    441    397    354    893    656    599    542
 1980    704    492    444    401    893    655    597    541
 1981    608    407    364    322    927    687    627    567
 1982    756    521    466    411    762    525    471    421
 1983    555    352    309    269    931    697    642    588
 1984    574    373    331    292    946    707    648    589
 1985    757    523    472    421    824    588    534    481
 1986    723    493    441    390    936    696    637    579
 1987    792    568    519    472    982    744    685    627
 1988    780    557    508    462    937    703    649    597
 1989    618    422    380    340    839    607    551    499
 1990    541    333    289    250    911    673    616    560
 1991    785    559    506    455    997    757    697    637
 1992    646    446    401    360    846    611    554    500
 1993    626    409    362    316    815    583    526    472
 1994    638    428    384    344    913    676    619    565
 1995    526    313    272    234    892    652    593    535
 1996    497    291    250    212    847    609    551    494
 1997    426    260    226    194    875    636    577    520
 1998    745    503    447    398    790    560    506    453
 1999    635    412    364    318    859    622    564    508
 2000    722    506    456    408    838    603    547    491
 2001    645    418    370    324    806    573    520    468
 2002    523    342    303    266    923    684    626    569
 2003    535    332    295    261    788    550    493    442
 2004    660    446    398    352    818    583    526    471
 2005    548    348    306    268    955    715    655    596
     ****************************  ****************************
 MEAN  646.4  435.1  389.1  345.7  880.7  643.9  586.9  531.8
 STDV   96.2   83.5   79.0   74.5   65.1   63.5   62.2   60.2

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    992    744    682    621    946    698    636    576
 1952   1048    800    738    678    936    690    632    576
 1953   1029    782    721    662    955    707    648    591
 1954   1070    822    760    698    967    719    657    596
 1955   1137    889    827    765   1058    810    748    687
 1956    988    740    678    617    990    745    687    630
 1957   1098    850    788    726    985    737    676    616
 1958    932    684    622    560    967    722    663    604
 1959    984    737    676    615   1081    833    771    709
 1960    977    729    667    608   1015    767    705    643
 1961    988    740    678    617    985    737    675    615
 1962    948    701    641    582    963    715    654    595
 1963   1018    770    708    647    923    675    614    554
 1964   1060    812    750    688    899    656    599    544
 1965    990    742    680    618    921    675    615    555
 1966   1069    821    759    697    902    656    597    539
 1967    931    687    630    576    847    605    549    495
 1968    998    750    688    629    952    704    643    584
 1969   1032    784    722    660    994    746    684    622
 1970   1011    763    702    643    967    719    657    597
 1971    934    689    631    573    931    686    626    569
 1972    970    725    666    608    969    722    661    600
 1973   1030    782    720    658   1022    774    712    650
 1974   1080    832    770    708    894    646    586    527
 1975   1032    785    724    665   1026    778    716    654
 1976   1046    798    737    678    948    703    646    590
 1977   1103    855    793    731    904    657    596    538
 1978   1031    783    721    659    995    749    689    630
 1979   1006    758    696    635    986    738    677    616
 1980   1104    856    794    732   1059    811    749    687
 1981   1030    782    721    660    958    710    651    593
 1982   1064    816    754    692    964    718    659    601
 1983   1121    873    811    749   1124    876    814    752
 1984    983    735    674    613   1001    755    696    637
 1985   1026    778    716    654    902    655    595    536
 1986   1084    836    774    712    858    617    558    502
 1987   1089    841    779    717    946    698    638    580
 1988   1052    804    742    682   1045    802    742    683
 1989   1043    795    733    671    953    707    647    588
 1990    992    744    682    620    992    744    682    621
 1991   1031    783    721    661    983    735    674    613
 1992    895    647    585    525    810    565    509    456
 1993    996    748    686    624    980    732    670    608
 1994    945    697    635    573    862    615    556    502
 1995   1018    770    709    649   1104    856    794    732
 1996    923    675    614    553    916    668    606    544
 1997    980    733    673    614    881    633    572    511
