# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3473] GRINNELL-3-SW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    3    0    0    0
 Sep 18    7    0    0    0
 Sep 20   10    1    0    0
 Sep 22   18    3    2    0
 Sep 24   22    4    2    0
 Sep 26   29    6    2    0
 Sep 28   36   10    6    0
 Sep 30   45   15    8    1
 Oct 02   48   18    9    4
 Oct 04   54   23   14    4
 Oct 06   61   32   19    4
 Oct 08   66   39   23    6
 Oct 10   73   43   27    9
 Oct 12   77   49   35   11
 Oct 14   81   54   38   13
 Oct 16   83   58   44   15
 Oct 18   87   60   50   23
 Oct 20   88   65   54   26
 Oct 22   90   70   59   30
 Oct 24   93   76   64   32
 Oct 26   95   81   69   37
 Oct 28   96   84   74   46
 Oct 30   96   86   78   53
 Nov 01   97   89   81   57
 Nov 03   98   90   86   66
 Nov 05   99   91   89   72
 Nov 07  100   95   90   75
 Nov 09  100   99   97   79
 Nov 11  100  100   98   84
 Nov 13  100  100   98   86
 Nov 15  100  100   98   89
 Nov 17  100  100   98   91
 Nov 19  100  100   98   92
 Nov 21  100  100   99   96
 Nov 23  100  100   99   97
 Nov 25  100  100  100   99
 Nov 27  100  100  100   99
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
