# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5769] MOUNT-AYR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.85   0.28   49(60)   21(26)   10(12)    2( 2)    0( 0)    0       82
  2 3/8-->3/14       1.53   0.37   29(47)   20(32)    9(15)    4( 6)    0( 0)    0       62
  3 3/15-->3/21      3.48   0.35   40(58)   14(20)   10(14)    4( 6)    1( 1)    0       69
  4 3/22-->3/28      2.00   0.39   45(60)   12(16)    7( 9)   11(15)    0( 0)    0       75
  5 3/29-->4/4       1.76   0.33   59(60)   21(21)   12(12)    7( 7)    0( 0)    0       99
  6 4/5-->4/11       1.94   0.40   42(52)   15(19)   17(21)    7( 9)    0( 0)    0       81
  7 4/12-->4/18      2.42   0.44   48(48)   27(27)   17(17)    6( 6)    3( 3)    0      101
  8 4/19-->4/25      2.45   0.42   56(51)   17(15)   27(25)    9( 8)    1( 1)    0      110
  9 4/26-->5/2       2.16   0.41   53(47)   28(25)   21(19)    9( 8)    1( 1)    0      112
 10 5/3-->5/9        2.61   0.46   65(51)   22(17)   25(20)   14(11)    2( 2)    0      128
 11 5/10-->5/16      2.27   0.50   42(42)   22(22)   22(22)   12(12)    1( 1)    0       99
 12 5/17-->5/23      2.10   0.44   51(45)   28(25)   26(23)    6( 5)    3( 3)    0      114
 13 5/24-->5/30      3.93   0.47   59(48)   20(16)   29(24)   13(11)    1( 1)    0      122
 14 5/31-->6/6       3.16   0.54   44(44)   17(17)   24(24)   10(10)    5( 5)    0      100
 15 6/7-->6/13       4.08   0.57   45(38)   23(19)   35(29)   13(11)    4( 3)    0      120
 16 6/14-->6/20      2.35   0.49   46(46)   22(22)   19(19)   10(10)    4( 4)    0      101
 17 6/21-->6/27      2.40   0.54   41(43)   14(15)   24(25)   15(16)    2( 2)    0       96
 18 6/28-->7/4       2.88   0.61   39(40)   25(26)   14(14)   13(13)    6( 6)    0       97
 19 7/5-->7/11       3.42   0.60   45(42)   20(19)   20(19)   19(18)    4( 4)    0      108
