# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7161] ROCKWELL-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7161 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     21      2      1      0    208    107     88     72
 1952     68     33     28     25    376    241    213    190
 1953    140     63     47     33    210    100     80     63
 1954     55     17     12      8    429    271    239    208
 1955    109     55     44     34    493    327    294    262
 1956    108     45     34     27    298    187    164    141
 1957    116     50     37     27    366    229    204    182
 1958     67     23     15     10    334    196    166    140
 1959     93     38     29     23    347    212    183    158
 1960     11      3      2      1    381    237    207    179
 1961     76     31     24     18    234    124    103     86
 1962     33     17     15     13    339    203    177    155
 1963    186    121    108     96    430    272    237    205
 1964     76     30     22     16    355    216    189    164
 1965      5      1      0      0    295    167    142    122
 1966    232    140    118     98    245    133    111     93
 1967    230    152    136    122    402    259    227    195
 1968    301    194    172    151    411    259    226    197
 1969     21      1      0      0    357    216    186    158
 1970     27      4      2      0    377    240    210    183
 1971     79     41     33     27    401    264    234    204
 1972    113     53     41     32    294    166    141    118
 1973    153     57     40     27    339    213    183    155
 1974    154     72     57     44    399    252    217    186
 1975     35      4      1      0    246    127    103     85
 1976    156     89     74     62    468    307    272    238
 1977    217    118     98     82    524    358    323    289
 1978    126     74     62     52    303    174    147    122
 1979     45     13      9      7    253    140    118     97
 1980     88     29     22     17    393    247    216    189
 1981    235    121     99     79    490    317    280    247
 1982     91     33     25     18    296    184    161    140
 1983    102     53     43     35    196    109     94     81
 1984     33      4      2      1    247    125    101     79
 1985    186     95     77     62    477    320    287    254
 1986    236    139    122    107    411    256    222    190
 1987    207    121    105     90    490    332    299    270
 1988    233    139    118     97    361    231    202    174
 1989    142     80     67     57    435    285    252    221
 1990    182     95     78     62    398    251    219    190
 1991    179     92     76     61    380    226    196    168
 1992    182     85     66     49    293    175    155    136
 1993     53     21     17     13    259    142    119     99
 1994    178     98     83     69    394    268    240    212
