# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1833] CORNING
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia1833
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.23  1.69  3.22  3.97  7.49  5.02  3.27  7.52  3.10  1.72  1.01  0.15 38.39
 1952  0.30  0.26  2.62  3.13  4.88  4.02  2.88  5.69  1.20  0.00  2.65  0.30 27.93
 1953  0.16  1.13  2.23  3.13  1.00  6.37  2.46  2.57  1.12  0.13  1.21  0.68 22.19
 1954  0.02  1.30  0.58  3.01  2.60  5.45  0.26  7.90  1.02  2.57  0.08  0.14 24.93
 1955  0.90  2.20  0.56  2.25  1.37  3.33  2.41  1.77  3.19  1.17  0.08  0.12 19.35
 1956  0.26  0.11  0.05  1.12  4.37  4.29  6.76  6.73  0.37  1.21  3.12  0.15 28.54
 1957  0.25  0.06  2.37  2.76  5.23  3.72  1.72  2.16  3.97  3.76  1.23  0.44 27.67
 1958  0.65  0.70  0.51  1.27  2.22  2.10 10.11  1.50  6.87  0.30  1.16  0.00 27.39
 1959  0.46  0.47  3.63  2.17  8.38  3.27  2.81  7.13  3.26  1.86  0.72  1.99 36.15
 1960  3.34  1.25  1.68  2.05  3.29  5.95  2.91  8.61  5.04  1.64  0.18  0.57 36.51
 1961  0.16  1.73  5.00  2.72  2.44  2.88  2.13  3.40 10.88  2.93  2.54  1.47 38.28
 1962  0.67  1.23  1.07  1.06  6.24  1.90  4.54  2.70  2.21  4.12  0.91  0.71 27.36
 1963  0.33  0.38  2.59  4.14  2.91  1.67  4.42  5.72  2.96  1.47  0.67  0.53 27.79
 1964  0.24  0.20  1.18  4.54  5.20  6.47  4.18  5.39  6.77  0.33  1.20  0.64 36.34
 1965  0.00  0.29  3.54  2.60  4.70  6.30  4.26  4.15  6.33  0.51  1.14  2.13 35.95
 1966  0.00  0.27  0.82  1.28  3.73  8.35  4.98  2.90  1.72  0.74  0.84  1.31 26.94
 1967  0.00  0.61  2.60  4.01  3.40 12.41  4.28  1.29  3.06  2.18  0.33  0.76 34.93
 1968  1.84  0.18  0.55  3.64  3.35  3.59  6.97  5.80  3.16  2.72  2.49  1.80 36.09
 1969  0.64  0.73  0.78  4.48  4.52  5.53  6.04  3.30  1.55  4.94  0.11  0.71 33.33
 1970  0.27  0.15  2.53  2.83  4.12  3.57  1.96  7.83  5.83  3.80  2.65  0.95 36.49
 1971  1.25  1.13  0.50  1.64  6.50  4.40  2.32  2.36  4.03  3.74  4.51  1.44 33.82
 1972  0.20  0.28  0.29  3.42  5.87  2.55  7.40  2.81 12.81  3.88  4.60  1.77 45.88
 1973  2.33  3.74  7.64  5.58  5.71  2.40  9.40  4.76  7.38  5.37  2.94  2.45 59.70
 1974  0.41  0.40  1.44  6.62  4.74  3.15  0.49  4.83  1.19  3.89  1.33  1.47 29.96
 1975  4.05  1.15  2.69  2.05  4.00  7.53  0.49  7.11  4.09  0.30  3.85  0.58 37.89
 1976  0.13  2.37  2.25  6.05  3.08  0.00  3.49  3.12  1.93  1.57  0.00  0.12 24.11
 1977  1.35  0.57  4.03  1.64  1.78  2.39  3.42 14.67  9.74  6.28  0.68  0.16 46.71
 1978  0.22  0.88  0.81  6.67  5.46  2.69  8.62  3.40  5.99  0.96  2.80  1.07 39.57
 1979  1.21  0.12  4.70  2.98  1.54  5.70  6.04  1.62  3.21  3.60  1.64  0.12 32.48
 1980  1.25  0.42  1.60  1.75  1.66  4.96  1.61  5.44  4.39  2.10  0.47  1.51 27.16
 1981  0.05  0.87  1.02  2.84  3.58  5.32  5.71  3.71  2.33  1.49  1.70  2.60 31.22
 1982  2.08  0.48  4.40  4.26  9.99  3.83  4.43  7.32  4.77  2.93  2.21  2.98 49.68
 1983  0.37  0.62  3.05  1.75  4.06  5.89  0.77  1.40  2.43  3.77  5.22  0.89 30.22
 1984  0.63  0.32  2.68  6.13  7.38 10.08  2.34  0.57  1.23  4.83  2.12  2.15 40.46
 1985  0.00  1.04  2.05  1.51  2.52  2.04  5.01  5.97  5.05  4.37  0.69  0.86 31.11
 1986  0.00  0.99  2.13  8.06  6.53  3.80  6.83  3.99  9.75  2.75  0.92  1.40 47.15
 1987  0.30  0.26  3.51  2.02  6.80  1.96  6.62 14.47  2.06  0.95  3.59  1.03 43.57
 1988  0.32  0.74  0.08  1.30  1.50  0.97  3.26  1.39  3.53  0.45  1.49  0.94 15.97
 1989  1.01  0.93  0.53  0.99  2.03  4.69  3.24  5.07  9.47  2.26  0.02  0.51 30.75
 1990  1.45  0.52  3.99  1.27  6.95  4.73  8.22  1.22  0.86  1.60  2.46  0.97 34.24
 1991  0.87  0.31  4.44  6.74  4.52  5.48  4.52  2.18  2.29  1.91  4.71  1.86 39.83
 1992  1.16  2.23  2.45  3.55  2.07  1.06  6.86  1.31  9.90  1.27  4.80  2.04 38.70
 1993  1.01  0.73  3.39  1.59  5.25  7.38 14.14  4.91  6.10  1.72  0.71  0.85 47.78
 1994  0.68  0.81  0.08  2.34  1.41  8.47  3.27  2.40  2.15  2.08  1.29  1.35 26.33
 1995  0.75  0.39  2.72  5.71  6.50  4.57  4.51  1.73  2.79  1.81  1.77  0.58 33.83
 1996  1.47  0.22  1.11  2.40 10.02  4.75  1.78  3.03  3.48  4.20  2.34  0.40 35.20
 1997  0.57  4.53  0.72  3.84  5.12  2.53  1.50  2.06  2.08  4.29  1.86  1.60 30.70
 1998  0.96  2.24  3.85  2.55  3.24  7.52  3.15  3.18  1.00  2.64  2.62  0.35 33.30
 1999  0.81  1.52  0.95  6.30  5.30  3.01  1.72  4.64  4.29  0.24  1.45  0.48 30.71
 2000  0.20  1.97  1.34  1.41  1.79  6.72  4.34  1.93  1.68  1.72  2.01  1.23 26.34
 2001  2.10  2.58  1.39  2.48  8.42  5.31  2.88  0.84  4.98  1.91  0.82  0.60 34.31
 2002  0.33  0.90  0.88  3.07  4.53  2.58  2.21  5.07  1.77  4.58  0.36  0.00 26.28
