# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0600] BELLE-PLAINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0600
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    10     7     1    18        0     0    24    19     1    44
 1952     3    17    18     9     9    56       10    89    96    26    35   256
 1953     4    10    15    14     6    49       17    56    77   102    49   301
 1954     0    18    21     7     6    52        0    84   132    26    39   281
 1955     4     2    25    22     9    62        8    10   203   184    65   470
 1956     6    18    17     9     4    54       25   121    88    49     8   291
 1957     0     7    22    12     0    41        0    23   125    46     0   194
 1958     1     4     0    15     1    21        2    11     0    67     2    82
 1959     0    10     6    21     4    41        0    32    18    93    21   164
 1960     0     0    11    10     8    29        0     0    36    34    59   129
 1961     1     6     7    11     6    31        1    27    24    34    19   105
 1962     5     5     6    10     2    28        9     9    18    31     5    72
 1963     2    14    13     4     2    35        4    69    43    20     2   138
 1964     4     8    17     8     4    41       14    23    89    46    12   184
 1965     0     1     8     9     1    19        0     4    33    58     3    98
 1966     3     8    17     6     2    36        4    19   107    17     4   151
 1967     4     2     9     2     0    17       21     6    32     2     0    61
 1968     1    12     8     9     0    30        4    44    33    53     0   134
 1969     2     2     8     9     0    21        3     5    30    21     0    59
 1970     3     4    16     7     3    33        8    22    76    18     5   129
 1971     0    16     4     8     9    37        0    68     8    39    33   148
 1972     4     5     8    11     4    32       10    19    30    59    10   128
 1973     0     7    10    15     1    33        0    26    40    53     2   121
 1974     0     4    17     3     0    24        0     7   102     7     0   116
 1975     4     8    18    11     2    43       15    18    97    61     5   196
 1976     0     7    18    13     3    41        0    15    85    47    10   157
 1977     6    14    23     5     0    48       12    83   151    17     0   263
 1978     3     9     9    11     9    41       10    22    20    29    37   118
 1979     0     4     7     9     3    23        0     7    10    46     5    68
 1980     4     5    21    14     5    49       10    20   134    68    13   245
 1981     0     5    12     5     2    24        0    17    45    11     3    76
 1982     0     0    13     6     1    20        0     0    39    32     2    73
 1983     0     9    23    24     5    61        0    43   128   180    27   378
 1984     0     2    12    15     6    35        0     3    49    74    28   154
 1985     1     5    12     6    11    35        6    31    47    27    46   157
 1986     0    11    12     2     1    26        0    62    44     4     1   111
 1987     4    14    19     8     1    46       14    67   106    44     2   233
 1988     6    16    24    19     3    68       21   127   184   208     9   549
 1989     2     3    13     5     0    23        3     8    86    14     0   111
 1990     0     3     4     5     5    17        0    15    26    25    20    86
 1991     3    11    15     9     4    42       10    41   100    41    11   203
 1992     2     7     3     2     0    14        2    17    10     7     0    36
 1993     0     4     4     6     1    15        0     7    12     9     2    30
 1994     2     9     6     5     3    25        2    31    15    11     9    68
 1995     0     8    11    21     3    43        0    38    65    96     4   203
 1996     2     7     3     2     0    14        3    18     7     7     0    35
 1997     0     3    10     3     1    17        0     5    41     9     1    56
 1998     4     4     8     4     6    26        8    19    20    11    13    71
 1999     0     4    17     2     3    26        0     7    97     7    19   130
 2000     1     6     2     6    11    26        1    17     9    11    57    95
 2001     1     7    16    12     1    37        2    21    62    71     2   158
 2002     1    11    20     6     7    45        3    32   109    18    31   193
 2003     1     3     6    15     5    30        2    10    25   101    10   148
 2004     1     3     2     2     2    10        1     6     6     2     2    17
 2005     0     9    15     0     0    24        0    37    73     0     0   110
 **************************************************************************************
MEANS   1.7   7.1  12.2   8.9   3.4  33.3      4.8  29.4  61.2  43.5  13.5 152.4
