# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2689] EMMETSBURG
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.10   0.26   54(64)   15(18)   13(15)    2( 2)    0( 0)    0       84
  2 3/8-->3/14       2.36   0.27   66(68)   19(20)    6( 6)    5( 5)    1( 1)    0       97
  3 3/15-->3/21      2.00   0.27   54(62)   21(24)    8( 9)    4( 5)    0( 0)    0       87
  4 3/22-->3/28      2.79   0.39   50(56)   22(24)    9(10)    6( 7)    3( 3)    0       90
  5 3/29-->4/4       1.30   0.28   63(61)   23(22)   14(13)    4( 4)    0( 0)    0      104
  6 4/5-->4/11       1.73   0.34   49(54)   20(22)   15(17)    6( 7)    0( 0)    0       90
  7 4/12-->4/18      2.20   0.31   69(61)   20(18)   18(16)    5( 4)    1( 1)    0      113
  8 4/19-->4/25      2.33   0.38   56(50)   27(24)   18(16)    8( 7)    2( 2)    0      111
  9 4/26-->5/2       2.04   0.35   69(54)   25(20)   26(20)    7( 5)    1( 1)    0      128
 10 5/3-->5/9        1.50   0.33   68(52)   33(25)   25(19)    6( 5)    0( 0)    0      132
 11 5/10-->5/16      1.30   0.35   69(53)   26(20)   24(19)   10( 8)    0( 0)    0      129
 12 5/17-->5/23      4.00   0.43   65(53)   27(22)   17(14)    9( 7)    4( 3)    0      122
 13 5/24-->5/30      2.73   0.36   86(61)   19(13)   24(17)   11( 8)    2( 1)    0      142
 14 5/31-->6/6       2.00   0.40   61(50)   22(18)   25(21)   13(11)    0( 0)    0      121
 15 6/7-->6/13       2.56   0.46   62(48)   22(17)   29(22)   14(11)    3( 2)    0      130
 16 6/14-->6/20      3.85   0.46   80(54)   20(13)   28(19)   18(12)    3( 2)    0      149
 17 6/21-->6/27      4.28   0.52   53(44)   26(21)   23(19)   16(13)    3( 2)    0      121
 18 6/28-->7/4       2.65   0.45   57(50)   24(21)   18(16)   12(11)    2( 2)    0      113
 19 7/5-->7/11       3.21   0.51   51(45)   25(22)   19(17)   14(12)    4( 4)    0      113
 20 7/12-->7/18      3.70   0.42   60(56)   16(15)   19(18)   10( 9)    3( 3)    0      108
 21 7/19-->7/25      3.01   0.39   62(54)   25(22)   14(12)   12(11)    1( 1)    0      114
 22 7/26-->8/1       4.68   0.44   63(60)   20(19)    9( 9)   10(10)    3( 3)    0      105
 23 8/2-->8/8        2.92   0.49   47(47)   23(23)   14(14)   14(14)    3( 3)    0      101
 24 8/9-->8/15       3.12   0.49   39(44)   22(25)   18(20)    5( 6)    5( 6)    0       89
 25 8/16-->8/22      4.83   0.44   62(55)   21(19)   19(17)    7( 6)    4( 4)    0      113
 26 8/23-->8/29      2.28   0.45   45(46)   23(24)   13(13)   14(14)    2( 2)    0       97
 27 8/30-->9/5       4.10   0.46   52(59)   14(16)   11(13)    5( 6)    6( 7)    0       88
 28 9/6-->9/12       4.10   0.39   64(65)   13(13)   11(11)    8( 8)    3( 3)    0       99
 29 9/13-->9/19      5.75   0.41   60(57)   17(16)   20(19)    6( 6)    2( 2)    0      105
 30 9/20-->9/26      3.35   0.33   76(65)   20(17)   12(10)    8( 7)    1( 1)    0      117
 31 9/27-->10/3      1.64   0.30   53(62)   12(14)   16(19)    4( 5)    0( 0)    0       85
 32 10/4-->10/10     2.00   0.38   53(56)   15(16)   17(18)    9(10)    0( 0)    0       94
 33 10/11-->10/17    2.03   0.33   43(57)   12(16)   17(22)    3( 4)    1( 1)    0       76
 34 10/18-->10/24    1.39   0.28   43(59)   18(25)   10(14)    2( 3)    0( 0)    0       73
 35 10/25-->10/31    1.98   0.29   48(73)    7(11)    6( 9)    5( 8)    0( 0)    0       66
 36 11/1-->11/7      1.75   0.27   49(69)   11(15)    7(10)    4( 6)    0( 0)    0       71
 37 11/8-->11/14     1.84   0.25   49(70)   14(20)    4( 6)    3( 4)    0( 0)    0       70
 38 11/15-->11/21    2.17   0.31   42(58)   13(18)   16(22)    1( 1)    1( 1)    0       73
 39 11/22-->11/28    1.02   0.20   53(73)   12(16)    7(10)    1( 1)    0( 0)    0       73
 40 11/29-->12/5     2.08   0.21   47(77)    9(15)    4( 7)    0( 0)    1( 2)    0       61
 41 12/6-->12/12     1.32   0.17   49(82)    7(12)    3( 5)    1( 2)    0( 0)    0       60
 42 12/13-->12/19    1.34   0.21   41(71)   11(19)    5( 9)    1( 2)    0( 0)    0       58
 43 12/20-->12/26    1.10   0.18   48(81)    5( 8)    5( 8)    1( 2)    0( 0)    0       59
 44 12/27-->1/2      1.90   0.23   41(77)    7(13)    2( 4)    3( 6)    0( 0)    0       53
 45 1/3-->1/9        1.20   0.13   50(88)    5( 9)    1( 2)    1( 2)    0( 0)    0       57
 46 1/10-->1/16      0.97   0.17   44(80)    6(11)    5( 9)    0( 0)    0( 0)    0       55
 47 1/17-->1/23      1.38   0.17   46(77)    9(15)    4( 7)    1( 2)    0( 0)    0       60
 48 1/24-->1/30      0.65   0.12   61(88)    4( 6)    4( 6)    0( 0)    0( 0)    0       69
 49 1/31-->2/6       0.64   0.17   38(76)   10(20)    2( 4)    0( 0)    0( 0)    0       50
 50 2/7-->2/13       0.87   0.17   42(82)    6(12)    3( 6)    0( 0)    0( 0)    0       51
 51 2/14-->2/20      2.08   0.26   39(63)   16(26)    4( 6)    2( 3)    1( 2)    0       62
 52 2/21-->2/27      1.25   0.22   47(73)   10(16)    4( 6)    3( 5)    0( 0)    0       64
 53 2/28-->2/29      1.55   0.28    8(89)    0( 0)    0( 0)    1(11)    0( 0)    0        9
ANNUAL TOTALS        5.75   0.35 2846(59)  869(18)  665(13)  315( 6)   66( 1)    0     4761
