# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6316] OSCEOLA-3-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6316
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     2    12     7     1    22        0     2    50    44     1    97
 1952     3    19    20     7     9    58       11   120   119    20    33   303
 1953     4    18    19    18    10    69       29    97   136   136    70   468
 1954     0    18    26    14    11    69        0   146   273    81    64   564
 1955     3     3    28    21    11    66        5    15   224   177    76   497
 1956     5    19    12    12    10    58       23   108    80    54    35   300
 1957     0     6    22    15     1    44        0    15   130    82     2   229
 1958     1     5     3    16     2    27        1    22     6    74     7   110
 1959     1     9    11    20     4    45        1    28    42    74    17   162
 1960     0     2    15    13     8    38        0     4    54    42    40   140
 1961     0     5    13    11     4    33        0    21    52    42    11   126
 1962     7     7    12    14     3    43       18    17    47    67     9   158
 1963     2    15    20    10     2    49        4    86    67    46     3   206
 1964     3     4    20     9     2    38        7    11   110    57     7   192
 1965     3     1     8    14     1    27        7     2    35    78     2   124
 1966     4     3    17     5     0    29       10     7   104     8     0   129
 1967     4     1    11     4     0    20       17     1    41     7     0    66
 1968     1    14     8    12     0    35        2    35    40    57     0   134
 1969     0     6    16    17     1    40        0    23    77    49     1   150
 1970     2     6    22    17     7    54        3    37   176    73    24   313
 1971     0    20    14    17    14    65        0   106    51    75    68   300
 1972     3    10    12    13     5    43        7    56    54    86    20   223
 1973     0     9    16    17     0    42        0    28    54    56     0   138
 1974     1     7    27     9     2    46        1    32   245    29     2   309
 1975     5     9    23    22     2    61       15    22   126   135    16   314
 1976     0     5    18    14     8    45        0    17   113    57    19   206
 1977     6    20    29    11     0    66        9   120   229    41     0   399
 1978     2     9    16    13    13    53        2    47    67    63    58   237
 1979     0     3     4    16     7    30        0     6    10    82    19   117
 1980     5     8    24    19     7    63        9    42   169   109    27   356
 1981     0     5    10     5     3    23        0    10    48    16     5    79
 1982     1     4    14     3     1    23        4    17    64    16     2   103
 1983     2     7    20    22     8    59        4    27    90   118    32   271
 1984     0     4    16    17     4    41        0    18    69    80    26   193
 1985     1     4     9     3     7    24        2    19    32    10    27    90
 1986     0     8    16     1     0    25        0    26    59     2     0    87
 1987     0    12    13     7     0    32        0    50    87    38     0   175
 1988     3    18    23    18     3    65        8   140   156   183     5   492
 1989     2     4    15     5     0    26        2     8   103    31     0   144
 1990     0     6    11     8    10    35        0    23    60    33    40   156
 1991     3     8    13    12     7    43        4    26    66    41    19   156
 1992     0     1     3     3     0     7        0     1     9     7     0    17
 1993     0     1     4    11     1    17        0     1     9    40     3    53
 1994     0     7     7     9     2    25        0    14    19    41     6    80
 1995     0     7    13    22     2    44        0    18    77   107     3   205
 1996     3     7     6     3     0    19        3    19    19     6     0    47
 1997     0     6    15    12     3    36        0    18    96    36    12   162
 1998     2     6    10    10     8    36        5    17    38    53    31   144
 1999     0     7    18     6     4    35        0    31   128    23    16   198
 2000     3     4     7    13    11    38        8    20    31    51    58   168
 2001     0     7    16    16     2    41        0    14    66    76     8   164
 2002     1    15    21     7    10    54        1    51   134    41    46   273
 2003     1     2    14    23     6    46        3     5    63   167    10   248
 2004     1     2     5     5     1    14        2     2    18    12     1    35
 2005     1    12    21     0     0    34        1    56   145     0     0   202
 **************************************************************************************
MEANS   1.6   7.8  14.9  11.8   4.3  40.4      4.1  34.6  84.9  58.7  17.8 200.2
