# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6566] PERRY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.08   0.20   74(72)   17(17)   11(11)    1( 1)    0( 0)    0      103
  2 3/8-->3/14       1.88   0.28   62(66)   12(13)   16(17)    4( 4)    0( 0)    0       94
  3 3/15-->3/21      1.50   0.21   66(73)   15(16)    8( 9)    2( 2)    0( 0)    0       91
  4 3/22-->3/28      1.65   0.28   67(72)    6( 6)   14(15)    6( 6)    0( 0)    0       93
  5 3/29-->4/4       2.29   0.26   79(68)   20(17)   10( 9)    6( 5)    1( 1)    0      116
  6 4/5-->4/11       1.41   0.28   63(62)   19(19)   15(15)    5( 5)    0( 0)    0      102
  7 4/12-->4/18      2.92   0.32   77(60)   30(23)   16(12)    5( 4)    1( 1)    0      129
  8 4/19-->4/25      2.67   0.32   94(65)   18(13)   23(16)    8( 6)    1( 1)    0      144
  9 4/26-->5/2       2.39   0.37   87(61)   22(15)   20(14)    9( 6)    4( 3)    0      142
 10 5/3-->5/9        3.55   0.38   80(58)   24(18)   21(15)    9( 7)    3( 2)    0      137
 11 5/10-->5/16      2.50   0.36   74(57)   23(18)   25(19)    5( 4)    3( 2)    0      130
 12 5/17-->5/23      4.08   0.40   81(57)   23(16)   27(19)    8( 6)    3( 2)    0      142
 13 5/24-->5/30      2.90   0.44   81(53)   28(18)   26(17)   14( 9)    5( 3)    0      154
 14 5/31-->6/6       2.31   0.30   81(63)   23(18)   21(16)    2( 2)    2( 2)    0      129
 15 6/7-->6/13       4.05   0.50   58(42)   36(26)   27(20)   14(10)    3( 2)    0      138
 16 6/14-->6/20      3.13   0.44   73(50)   32(22)   25(17)   14(10)    3( 2)    0      147
 17 6/21-->6/27      2.36   0.47   63(53)   18(15)   17(14)   19(16)    1( 1)    0      118
 18 6/28-->7/4       4.26   0.58   56(47)   15(13)   27(23)   14(12)    7( 6)    0      119
 19 7/5-->7/11       3.19   0.48   55(48)   23(20)   22(19)   11(10)    4( 3)    0      115
 20 7/12-->7/18      3.25   0.36   72(63)   15(13)   18(16)    7( 6)    2( 2)    0      114
 21 7/19-->7/25      2.52   0.38   66(60)   15(14)   20(18)    4( 4)    5( 5)    0      110
 22 7/26-->8/1       2.21   0.45   48(49)   18(18)   16(16)   15(15)    1( 1)    0       98
 23 8/2-->8/8        4.83   0.48   62(55)   18(16)   15(13)   12(11)    5( 4)    0      112
 24 8/9-->8/15       4.23   0.47   54(54)   17(17)   19(19)    4( 4)    6( 6)    0      100
 25 8/16-->8/22      3.15   0.42   66(59)   15(14)   13(12)   14(13)    3( 3)    0      111
 26 8/23-->8/29      3.20   0.47   64(54)   22(18)   14(12)   15(13)    4( 3)    0      119
