# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0608] BELLEVUE-L-AND-D-12
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia0608
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  1.35  2.52  4.19  3.58  4.55  4.57  6.34  4.14  2.09  7.45  2.59  1.70 45.07
 1952  1.95  0.36  3.66  0.91  2.81  2.25  2.15  5.20  0.83  0.01  5.32  2.00 27.45
 1953  0.62  2.61  2.40  2.33  2.66  4.67  6.00  1.43  1.91  0.40  1.18  2.40 28.61
 1954  0.53  0.71  1.59  4.96  2.47  6.21  2.57  4.29  2.04  4.95  0.41  1.43 32.16
 1955  0.67  1.63  1.28  6.14  2.63  2.79  1.83  4.25  3.32  2.62  0.12  0.54 27.82
 1956  0.51  0.96  0.53  4.05  6.07  1.08  4.36  4.52  0.99  0.79  3.16  1.03 28.05
 1957  0.78  0.68  1.36  2.74  3.43  2.47  4.25  5.35  1.32  1.79  2.37  2.63 29.17
 1958  1.00  0.09  0.35  2.80  1.83  6.26  3.55  5.20  1.95  3.55  2.54  0.44 29.56
 1959  1.17  1.49  4.29  3.35  5.46  3.36  4.03  4.86  5.78  6.07  2.27  2.66 44.79
 1960  4.87  1.37  1.30  4.08  6.22  4.16  2.10  3.09  2.55  3.93  1.70  0.55 35.92
 1961  0.38  0.98  4.04  1.88  1.08  2.88  6.64  3.59  9.55  2.87  4.15  1.51 39.55
 1962  1.29  1.93  2.25  2.17  4.69  1.22  8.13  2.52  2.12  3.66  0.52  0.69 31.19
 1963  0.62  0.40  2.24  2.02  1.65  1.70  6.09  3.42  2.14  1.25  3.41  0.76 25.70
 1964  0.70  0.45  2.28  4.39  3.54  4.14  2.71  3.22  1.90  0.00  2.24  0.68 26.25
 1965  2.40  1.07  3.87  4.75  2.46  1.58  3.28  7.25 10.25  2.14  1.59  2.59 43.23
 1966  1.28  1.06  2.34  2.15  4.34  5.30  2.95  1.75  2.80  1.43  0.89  1.62 27.91
 1967  0.96  0.80  1.68  2.45  2.11  4.40  1.95  4.20  3.98  6.19  2.19  0.73 31.64
 1968  0.54  0.14  0.87  4.26  3.38  6.69  2.22  2.36  6.14  1.26  0.79  2.62 31.27
 1969  2.40  0.33  0.92  5.15  2.00 10.76  4.03  0.73  1.13  3.56  0.59  1.18 32.78
 1970  0.46  0.30  1.90  1.98  5.65  4.86  1.91  3.82  9.96  2.44  1.24  1.51 36.03
 1971  1.38  3.01  1.05  1.89  1.64  3.83  2.63  2.21  2.80  1.92  3.46  4.27 30.09
 1972  0.34  0.67  1.59  5.12  5.57  2.00  7.31  5.54  5.21  4.08  1.64  2.24 41.31
 1973  2.22  0.92  4.86  6.38  5.81  2.42  2.95  1.00  8.67  0.85  2.44  2.38 40.90
 1974  2.40  1.24  2.89  4.95  8.25  7.71  2.13  4.36  0.72  1.95  2.23  1.38 40.21
 1975  1.09  1.18  3.64  3.24  1.76  5.29  3.19  7.10  1.36  0.54  2.52  0.47 31.38
 1976  0.33  1.93  4.24  3.64  1.84  2.28  1.87  2.99  0.61  1.98  0.11  0.36 22.18
 1977  0.31  0.74  3.78  2.61  1.99  2.79  4.85  7.60  2.88  2.96  2.98  1.46 34.95
 1978  0.77  0.56  0.79  3.73  5.69  2.33  2.36  0.96  6.86  1.31  2.67  1.33 29.36
 1979  1.64  0.82  2.16  2.50  1.80  7.18  4.42  7.79  0.12  2.01  2.44  1.58 34.46
 1980  1.54  1.04  0.60  1.79  4.12  6.00  2.47  8.07  6.27  1.44  1.20  1.51 36.05
 1981  0.08  2.81  0.34  6.30  1.98  7.68  1.96  9.82  4.51  4.08  2.83  1.17 43.56
 1982  1.72  0.12  2.88  1.57  6.00  2.43  4.30  2.61  2.08  3.38  5.10  4.34 36.53
 1983  0.32  1.17  1.65  3.41  4.68  1.85  2.96  2.17  3.64  1.47  3.94  1.89 29.15
 1984  0.56  0.94  1.33  4.11  2.71  5.61  2.71  1.14  2.30  8.96  3.84  2.19 36.40
 1985  0.83  2.46  3.17  0.85  2.64  1.74  1.78  2.78  3.23  4.82  5.76  2.19 32.25
 1986  0.64  2.00  1.88  2.65  6.33  6.52  2.95  3.50 10.69  3.14  1.17  0.73 42.20
 1987  0.52  0.00  2.91  1.45  3.92  2.70  5.33  9.01  1.20  0.67  3.45  2.52 33.68
 1988  1.13  0.21  1.57  2.14  1.50  0.62  1.71  2.81  1.87  2.09  2.84  1.91 20.40
 1989  1.00  0.33  1.82  1.98  1.45  3.69  2.83  4.83  5.09  1.51  0.45  0.37 25.35
 1990  1.18  1.16  4.60  2.57  4.36  7.82  4.55  5.26  0.45  2.14  2.28  2.05 38.42
 1991  0.88  0.35  5.29  2.69  1.77  2.86  0.46  3.89  3.58  5.60  5.22  1.30 33.89
 1992  0.94  1.45  1.58  3.89  0.70  1.21  5.63  1.95  8.19  0.71  6.11  2.74 35.10
 1993  1.89  0.78  3.26  4.67  4.77  9.23  5.95  6.72  4.29  1.13  1.32  1.12 45.13
 1994  1.14  2.22  0.69  1.26  1.40  6.85  6.17  6.28  3.82  0.80  3.66  1.16 35.45
 1995  1.05  0.08  2.14  5.58  6.80  1.73  2.62  1.47  1.63  2.93  2.68  0.26 28.97
 1996  2.29  0.82  0.50  3.00  7.99  6.26  2.05  2.46  2.94  3.40  1.38  1.56 34.65
 1997  1.32  2.59  1.19  1.36  4.07  6.50  1.74  3.38  4.30  1.69  0.96  1.11 30.21
