# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8706] WATERLOO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8706
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     7     3     1    11        0     0    19     8     1    28
 1952     2    18    21     3    10    54        5    75   104     5    27   216
 1953     4     9    13    13     5    44       17    59    59    78    34   247
 1954     0    13    18     3     5    39        0    52   104     9    25   190
 1955     1     2    22    19     7    51        1    13   166   135    50   365
 1956     2    17     8     8     1    36        6    98    40    35     1   180
 1957     0     5    17     8     1    31        0     5    99    20     1   125
 1958     0     3     1    14     1    19        0     6     1    44     2    53
 1959     0     8     9    19     5    41        0    25    15    70    23   133
 1960     0     1    11     8     7    27        0     1    37    30    46   114
 1961     0     7     3     9     4    23        0    35     8    32    15    90
 1962     6     6     4     6     0    22       16    17     8    22     0    63
 1963     1    16    13     7     1    38        3    81    43    23     1   151
 1964     4     9    18     7     4    42       10    32   116    34     9   201
 1965     0     4     5     8     1    18        0     5    20    38     2    65
 1966     1    10    13     4     1    29        3    35    92     7     4   141
 1967     3     0     7     0     0    10       18     0    21     0     0    39
 1968     0    10     6     7     1    24        0    42    19    30     1    92
 1969     2     0     9     6     0    17        2     0    22    20     0    44
 1970     2     5    11     8     4    30        8    26    53    23     8   118
 1971     0     8     0     4     4    16        0    31     0    17    16    64
 1972     4     5     7    10     2    28        9    16    23    49     2    99
 1973     0    10     7    12     1    30        0    42    31    43     3   119
 1974     0     6    14     4     1    25        0    14    80    11     1   106
 1975     4     9    18    12     0    43       19    38    88    47     0   192
 1976     0     5    16    14     5    40        0    17    87    35    15   154
 1977     6     6    12     2     0    26        8    30    85     5     0   128
 1978     3     7     7     9     7    33       13    21    20    32    40   126
 1979     0     4     4     8     3    19        0     9     7    27     5    48
 1980     2     5    19    10     3    39        8    18    92    51    11   180
 1981     0     3     4     1     2    10        0    10    17     1     5    33
 1982     0     1    11     4     1    17        0     1    48    26     1    76
 1983     0     9    20    20     5    54        0    34   107   129    30   300
 1984     1     3     8    12     6    30        4     6    23    64    34   131
 1985     3     4    13     6     5    31       13    31    56    22    25   147
 1986     1     6    15     2     1    25        1    26    59     2     1    89
 1987     4    15    19     7     1    46       15    81    99    35     1   231
 1988     6    17    22    20     4    69       22   131   148   183    19   503
 1989     1     6    19     9     0    35        3    23   124    35     0   185
 1990     0     5     3     5     4    17        0    22    27    16    18    83
 1991     4    13    14     7     1    39       12    66    85    26     2   191
 1992     4     5     1     3     0    13       10    20     4     7     0    41
 1993     1     7     2     8     1    19        2    17     7    16     3    45
 1994     4     9     4     3     7    27        8    40    11     8    24    91
 1995     0    10    14    19     2    45        0    53    93    97     3   246
 1996     3    10     5     4     4    26       13    54    17    15     7   106
 1997     0     8    10     2     0    20        0    20    41     9     0    70
 1998     5     5    11     3     7    31       28    25    36     5    32   126
 1999     2     8    17     1     5    33        2    19    84     4    17   126
 2000     1     3     5     7     7    23        1    15    12    28    45   101
 2001     3     7    12     9     1    32       10    26    38    39     1   114
 2002     1    12    19     3     7    42        4    49    86     6    30   175
 2003     1     7    10    13     6    37        4    29    43    99    18   193
 2004     0     2     6     3     4    15        0     7    12     4     5    28
 2005     0     9    16     0     0    25        0    38    64     0     0   102
 **************************************************************************************
MEANS   1.7   7.1  10.9   7.6   3.0  30.3      5.4  30.7  52.7  33.7  12.1 134.6
