# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0133] ALGONA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   7  10  16  12  14  15  13   9   9   5  10 124
1952     8   3   9   5  11  13   8  14   3   0   4   2  80
1953     7   6  14  10  10   7  13   5   4   4   5   4  89
1954     4   3  11   9   9  12  12  10   6   9   1   3  89
1955     3   3   4   5   6  10   7   5   6   6   3   5  63
1956     5   2   6   0  10   6  10   9   3   5   5   1  62
1957     3   1   5   4  11   7   6  10   7   5   5   5  69
1958     0   0   0   5   7  13   9   5   4   1   3   2  49
1959     5   7   7   5  10   6   4   5   9   7   5   6  76
1960     2   4   9   8  10   8   8   7  11   2   4   4  77
1961     1   5   9  10  10   6  14   9  11   7   4   0  86
1962     0   9   1  12  12   6  11   8   7   9   4   1  80
1963     3   7   6  10   8  11  11   8  11   3   4   4  86
1964     0   3   9   9  12  13   9   8  10   3   8   6  90
1965     3   6  12  14  12   6   9  14  17   3   6   2 104
1966     8   4   5  10   6  15   6   5   4   3   2   5  73
1967     8   9   5   9   7  16   7   6   6   9   3   5  90
1968     5   2   4  12  10  14  12   8  11  10   5  10 103
1969     8   3   2   7  12  13  13   6   7   8   4   8  91
1970     8   1   6   8  13   6   8   3  12  11  11   5  92
1971     1   6   6   6   8   9   6   3   7  10   9   6  77
1972     2   7   0  10   9  11  14  11  12   9   3   7  95
1973     0   5  11   9  12   7  11   8  15   6   8   6  98
1974     3   1   8   9  16   6  10  12   8   6   4   3  86
1975     9   5   7  14  10  12   5  13   5   2   5   2  89
1976     2   3   6   5  10   8   7   3   4   0   1   5  54
1977     4   0   7  12   6   8   8  13  11  10   7   5  91
1978     7   5   5  13   9  10  11  11   7   6   5   5  94
1979     0   6   8   8  10   7   7   0   3   7   7   1  64
1980     6   4   4   4   8   6   0   0   7   5   1   2  47
1981     0   6   2   9   8  11  12  13   4  10   6   3  84
1982    13   2   7   8  18   6   9   8   8   8   6   6  99
1983     6   4   7   7  10  12   7   4  10   8   9   7  91
1984     2   4   6  11  11  13  10   6   7  11   6   5  92
1985     6   0   8   9  11   7   6   8  12   8   8   6  89
1986     2   3   3  15  13  11  12   9  11  12   5   5 101
1987     2   1   9   8   9   7  13  12  11   5   9   3  89
1988     4   7   4  11   7  11   7   7   8   6   8   2  82
1989     4   8   7   8   6   9   6   6   6   6   5   2  73
1990     2   2  11   8  11  16  11   8   9   6   5   6  95
1991     4   5  10  12  18  11  12  10  13   8  12   4 119
1992     7   6  10  10   9  10  16   9   9   5   8  13 112
1993     5   8  10  14  14  15  14  13  10   3   5   9 120
1994     7   5   1   9   7  14  16   9  11   6   5   3  93
1995     2   1  13  13  11  11  10  10   8   9   3   4  95
1996     9   3   5   6  18  12   8   8  11   6  12   4 102
1997     8   5   7   6  15  10  13  10   8   4   8   4  98
1998     9  10  13  11  11  20   6  13   6  13   3   3 118
1999    10   5   4  13  19  18  13   4   5   4   4   5 104
2000     7   5   7   6  13  15   9   5   7  10  10  15 109
2001    13   8   3   8  18  11   8   8   6   5   5   4  97
2002     9   9   8  14  14  10   8  10  11  17   7   5 122
2003     9  11  12  13  16  14  11   9   6   6  13  11 131
2004    11   9  19   8  18  18  13  10   7  13  10  12 148
2005    12  12  11  14  20  20  10   0   0   0   0   0  99
STDDEV   4   3   4   3   4   4   3   4   3   4   3   3  20
AVG      5   5   7   9  11  11  10   8   8   7   6   5  91
