# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2364] DUBUQUE-LOCK-AND-DAM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.94   0.25   74(71)   16(15)    7( 7)    7( 7)    0( 0)    0      104
  2 3/8-->3/14       1.11   0.21   78(74)   17(16)    7( 7)    3( 3)    0( 0)    0      105
  3 3/15-->3/21      1.02   0.24   65(66)   22(22)   11(11)    1( 1)    0( 0)    0       99
  4 3/22-->3/28      1.13   0.24   65(64)   20(20)   16(16)    1( 1)    0( 0)    0      102
  5 3/29-->4/4       2.22   0.27   94(70)   20(15)   12( 9)    7( 5)    1( 1)    0      134
  6 4/5-->4/11       1.75   0.31   74(61)   24(20)   13(11)   10( 8)    0( 0)    0      121
  7 4/12-->4/18      1.67   0.29   80(61)   26(20)   21(16)    5( 4)    0( 0)    0      132
  8 4/19-->4/25      1.58   0.30   84(57)   33(22)   23(16)    7( 5)    0( 0)    0      147
  9 4/26-->5/2       2.90   0.36   88(61)   22(15)   24(17)    9( 6)    2( 1)    0      145
 10 5/3-->5/9        1.70   0.29   83(60)   28(20)   22(16)    6( 4)    0( 0)    0      139
 11 5/10-->5/16      4.50   0.35   91(60)   31(20)   15(10)   13( 9)    2( 1)    0      152
 12 5/17-->5/23      3.10   0.36   80(61)   23(18)   17(13)    9( 7)    2( 2)    0      131
 13 5/24-->5/30      3.64   0.37   77(53)   36(25)   20(14)   10( 7)    2( 1)    0      145
 14 5/31-->6/6       4.86   0.36   69(57)   22(18)   21(18)    7( 6)    1( 1)    0      120
 15 6/7-->6/13       2.72   0.42   82(55)   24(16)   21(14)   18(12)    3( 2)    0      148
 16 6/14-->6/20      2.65   0.45   72(54)   22(17)   23(17)   10( 8)    6( 5)    0      133
 17 6/21-->6/27      3.33   0.48   61(54)   20(18)   16(14)   13(11)    4( 4)    0      114
 18 6/28-->7/4       2.50   0.39   63(55)   20(17)   20(17)   11(10)    1( 1)    0      115
 19 7/5-->7/11       3.32   0.52   57(53)   17(16)   15(14)   15(14)    4( 4)    0      108
 20 7/12-->7/18      2.89   0.46   56(53)   15(14)   18(17)   12(11)    4( 4)    0      105
