# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0213] ANAMOSA-1-WNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.82   0.27   68(67)   18(18)    9( 9)    6( 6)    0( 0)    0      101
  2 3/8-->3/14       1.50   0.26   66(67)   18(18)   10(10)    5( 5)    0( 0)    0       99
  3 3/15-->3/21      1.07   0.28   55(60)   17(18)   18(20)    2( 2)    0( 0)    0       92
  4 3/22-->3/28      1.80   0.27   65(60)   28(26)   13(12)    2( 2)    0( 0)    0      108
  5 3/29-->4/4       2.32   0.32   72(63)   18(16)   16(14)    7( 6)    1( 1)    0      114
  6 4/5-->4/11       1.31   0.30   64(58)   23(21)   20(18)    4( 4)    0( 0)    0      111
  7 4/12-->4/18      1.80   0.33   74(57)   25(19)   24(19)    6( 5)    0( 0)    0      129
  8 4/19-->4/25      2.16   0.34   90(56)   33(20)   26(16)   11( 7)    1( 1)    0      161
  9 4/26-->5/2       2.35   0.39   71(55)   27(21)   18(14)   12( 9)    1( 1)    0      129
 10 5/3-->5/9        1.90   0.39   63(49)   30(23)   20(16)   15(12)    0( 0)    0      128
 11 5/10-->5/16      2.80   0.41   68(48)   37(26)   19(13)   15(11)    2( 1)    0      141
 12 5/17-->5/23      2.60   0.33   78(61)   22(17)   16(13)   11( 9)    1( 1)    0      128
 13 5/24-->5/30      4.38   0.40   81(55)   27(18)   28(19)   11( 7)    1( 1)    0      148
 14 5/31-->6/6       2.34   0.40   66(59)   20(18)   11(10)   13(12)    2( 2)    0      112
 15 6/7-->6/13       2.78   0.45   82(52)   28(18)   27(17)   19(12)    3( 2)    0      159
 16 6/14-->6/20      3.90   0.47   54(44)   34(28)   22(18)   10( 8)    3( 2)    0      123
 17 6/21-->6/27      2.74   0.49   57(47)   24(20)   26(21)    9( 7)    5( 4)    0      121
 18 6/28-->7/4       6.52   0.51   58(50)   21(18)   22(19)   10( 9)    4( 3)    0      115
 19 7/5-->7/11       4.00   0.56   50(45)   21(19)   24(22)    9( 8)    6( 5)    0      110
 20 7/12-->7/18      3.06   0.48   51(48)   21(20)   19(18)   13(12)    2( 2)    0      106
 21 7/19-->7/25      5.05   0.46   64(52)   26(21)   20(16)   10( 8)    4( 3)    0      124
 22 7/26-->8/1       1.01   0.31   56(52)   25(23)   25(23)    1( 1)    0( 0)    0      107
 23 8/2-->8/8        4.97   0.47   69(59)   20(17)   13(11)   11( 9)    4( 3)    0      117
 24 8/9-->8/15       2.33   0.42   47(49)   22(23)   17(18)    7( 7)    2( 2)    0       95
 25 8/16-->8/22      3.10   0.52   57(49)   18(16)   20(17)   18(16)    3( 3)    0      116
 26 8/23-->8/29      4.00   0.44   51(49)   24(23)   17(16)   10(10)    2( 2)    0      104
 27 8/30-->9/5       3.08   0.37   58(59)   19(19)   13(13)    6( 6)    2( 2)    0       98
 28 9/6-->9/12       1.55   0.33   52(59)   14(16)   18(20)    4( 5)    0( 0)    0       88
 29 9/13-->9/19      4.57   0.55   62(52)   21(18)   17(14)   12(10)    7( 6)    0      119
 30 9/20-->9/26      2.29   0.45   62(53)   17(14)   23(19)   12(10)    4( 3)    0      118
 31 9/27-->10/3      1.90   0.38   42(52)   16(20)   18(22)    5( 6)    0( 0)    0       81
 32 10/4-->10/10     1.78   0.38   52(56)   16(17)   15(16)   10(11)    0( 0)    0       93
 33 10/11-->10/17    1.59   0.38   42(53)   17(21)   13(16)    8(10)    0( 0)    0       80
 34 10/18-->10/24    2.65   0.38   50(52)   21(22)   18(19)    5( 5)    2( 2)    0       96
 35 10/25-->10/31    1.76   0.29   59(64)   15(16)   15(16)    3( 3)    0( 0)    0       92
 36 11/1-->11/7      2.15   0.35   73(68)   10( 9)   11(10)   11(10)    2( 2)    0      107
 37 11/8-->11/14     1.14   0.25   56(69)   11(14)   10(12)    4( 5)    0( 0)    0       81
