# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5769] MOUNT-AYR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   6   6   8   8  11   9  13   6   8   2   6  86
1952     3   2   6   8   6   9   5  12   2   0   2   2  57
1953     1   4   7   7   8   9   9   6   2   2   2   5  62
1954     0   4   4   9   7   9   2  14   5   5   1   4  64
1955     6   6   3   4   7  10   5   3   5   3   1   2  55
1956     4   5   4   4  10  11  10   7   2   2   2   3  64
1957     3   2   4  10  10  10   3   5   5   7   4   4  67
1958     5   2   4   8   8   5  15   6  11   2   4   0  70
1959     4   4   7   8  12   4   6   9  12   6   3   3  78
1960     6   4   8   5  10  12   3   8   8   5   2   1  72
1961     3   4   7   6   4   0   9   5   8   5   4   6  61
1962     7   7   2   4   9   6   8   8   4   9   4   3  71
1963     4   5   7   7   6   5   7   9   5   3   4   3  65
1964     2   6   4   9   9  11   9  11  10   3   4   0  78
1965     2   3   8   7   8  11  10   8  13   3   2   2  77
1966     1   2   3   3   7   8   7   6   5   6   2   2  52
1967     2   0   2   8   7  10   6   4   3   8   3   4  57
1968     0   0   0  10   5   5   5   4   7   3   4   0  43
1969     0   0   1   0   4   8   8   6   9   0   0   6  42
1970     0   1   6   7  11   5   7   5  13   9   7   3  74
1971     3   6   7   5  13   6   6   6   3   8   9   6  78
1972     3   5  10  11  14   6   9   3   9   7   9   7  93
1973     7   7  17   8  10   8  10   8  16   9   5   8 113
1974     6   1   7   8  11   3   4   6   3   5   7   5  66
1975     3  10   6   8   9  11   3  11   6   1   9   4  81
1976     2   6   5   7   7   0   0   0   0   0   0   0  27
1977     1   3   9  10   9   8   5  19  11  12   5   6  98
1978     8   6   6  14   9   5   9   7   7   6  10   5  92
1979     9   3   9  14   9  13   7   9   3   6   8   6  96
1980     9   6  11   7   9   7   5   8   4   5   2   3  76
1981     0   4   6  10  10  10   9   5   5   8   7   0  74
1982     8   4   9   6  16  11  10   8   8   8   7   5 100
1983     5   3   6   9   0   0   0   0   0   6   5   0  34
1984     0   3   0   9   9   6   5   3   3  10   2   2  52
1985     2   5   7   7   6   7   7  12   4   6   8   2  73
1986     0   6   5   7  11   7  11   8  10   6   5   4  80
1987     3   2   7   5  10  10   8  11   4   2   6   5  73
1988     2   4   2   5   6   1   4   6   4   3   6   3  46
1989     4   6   3   3   9   9   7   8   7   6   0   5  67
1990     4   4   8   9  11  10  11   9   4   5   5   6  86
1991     4   1   9   8  13   7   8   7   6   8  11   7  89
1992     5   5   8  12   5   8  16   6  12   3  11  10 101
1993    10   9   7   8  13  13  18  12  11   4   5   3 113
1994     3   3   2   7   8   8   8   8   5   5   7   5  69
1995     4   2   5  13  11  10   5   5   9   4   6   5  79
1996     8   2   6   4  12   9   8   6   6   6   8   1  76
1997     5   8   3  11   9   8   8   5   5   6   6   6  80
1998     4   7   8  12   9  15  10   6   7   9   9   2  98
1999     4   7   5  10  12  12   5   6   6   3   1   5  76
2000     4   6   4   8   7   8  12   8   6   9   4  12  88
2001     6  10   9   8  18  11  11   4   8   9   4   5 103
2002     5   5  11  11  11   5   8   9   4  13   4   0  86
2003     6   7   6  10  13  10   8   6   8   6  11  10 101
2004     8   8  18   4  19  16  19  13   5  14  13   8 145
2005    13   9   9  11   9  14   7   0   0   0   0   0  72
STDDEV   3   3   3   3   3   4   4   4   4   3   3   3  21
AVG      4   5   6   8   9   8   8   7   6   6   5   4  76
