# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0608] BELLEVUE-L-AND-D-12
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.70   0.25   78(70)   20(18)    9( 8)    5( 4)    0( 0)    0      112
  2 3/8-->3/14       1.40   0.22   84(72)   20(17)    9( 8)    3( 3)    0( 0)    0      116
  3 3/15-->3/21      0.99   0.22   68(67)   19(19)   14(14)    0( 0)    0( 0)    0      101
  4 3/22-->3/28      1.30   0.24   79(67)   20(17)   18(15)    1( 1)    0( 0)    0      118
  5 3/29-->4/4       2.32   0.28   91(69)   18(14)   13(10)    9( 7)    1( 1)    0      132
  6 4/5-->4/11       1.45   0.29   73(62)   24(20)   16(14)    5( 4)    0( 0)    0      118
  7 4/12-->4/18      1.50   0.29   86(63)   22(16)   23(17)    5( 4)    0( 0)    0      136
  8 4/19-->4/25      2.17   0.33   86(59)   30(20)   22(15)    8( 5)    1( 1)    0      147
  9 4/26-->5/2       2.22   0.33   92(63)   22(15)   20(14)   11( 8)    1( 1)    0      146
 10 5/3-->5/9        2.69   0.32   78(62)   21(17)   18(14)    8( 6)    1( 1)    0      126
 11 5/10-->5/16      2.68   0.35   87(58)   27(18)   25(17)   10( 7)    1( 1)    0      150
 12 5/17-->5/23      2.00   0.33   83(62)   21(16)   19(14)   10( 8)    0( 0)    0      133
 13 5/24-->5/30      2.44   0.36   79(54)   30(20)   27(18)   10( 7)    1( 1)    0      147
 14 5/31-->6/6       3.23   0.35   72(59)   18(15)   24(20)    7( 6)    2( 2)    0      123
 15 6/7-->6/13       2.87   0.44   78(52)   26(17)   31(21)   11( 7)    4( 3)    0      150
 16 6/14-->6/20      2.40   0.45   62(48)   29(22)   22(17)   13(10)    3( 2)    0      129
 17 6/21-->6/27      2.40   0.45   58(50)   23(20)   19(16)   12(10)    4( 3)    0      116
 18 6/28-->7/4       2.42   0.39   65(55)   23(19)   17(14)   12(10)    1( 1)    0      118
 19 7/5-->7/11       2.44   0.55   47(46)   17(17)   18(17)   18(17)    3( 3)    0      103
 20 7/12-->7/18      1.67   0.37   54(54)   14(14)   22(22)   10(10)    0( 0)    0      100
 21 7/19-->7/25      2.99   0.32   81(61)   26(20)   17(13)    7( 5)    1( 1)    0      132
 22 7/26-->8/1       2.32   0.30   76(64)   18(15)   19(16)    4( 3)    2( 2)    0      119
 23 8/2-->8/8        2.59   0.44   68(54)   19(15)   21(17)   14(11)    4( 3)    0      126
 24 8/9-->8/15       2.83   0.40   51(50)   22(22)   17(17)   10(10)    1( 1)    0      101
 25 8/16-->8/22      4.55   0.54   55(49)   20(18)   17(15)   18(16)    3( 3)    0      113
 26 8/23-->8/29      2.40   0.41   70(61)   12(11)   18(16)   11(10)    3( 3)    0      114
 27 8/30-->9/5       3.68   0.44   47(57)   14(17)   13(16)    6( 7)    3( 4)    0       83
