# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2999] FORT-DODGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia2999 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     30      5      2      1    211    111     92     76
 1952     66     31     27     23    375    241    212    189
 1953    139     65     48     34    201     94     76     59
 1954     52     15     11      7    422    266    232    200
 1955    110     56     45     34    483    313    280    249
 1956     85     34     27     20    283    173    150    128
 1957    104     43     32     23    361    224    199    177
 1958     66     20     14      9    339    196    164    137
 1959     87     34     27     21    342    206    177    152
 1960     16      3      2      1    369    223    195    168
 1961     75     28     21     16    216    109     89     71
 1962     37     20     18     16    316    184    159    141
 1963    183    120    108     96    400    247    214    182
 1964     73     27     19     13    325    189    162    140
 1965      4      0      0      0    249    136    117    100
 1966    221    123    101     81    224    117     97     78
 1967    204    130    115    103    368    226    196    167
 1968    276    173    153    133    405    246    213    183
 1969     20      3      1      0    350    204    173    145
 1970     26      5      2      1    369    237    210    184
 1971     75     34     28     24    384    246    216    187
 1972    106     50     38     29    274    145    122    102
 1973    161     64     48     35    317    195    168    143
 1974    116     46     37     28    373    233    201    171
 1975     30      7      5      3    203    100     82     65
 1976    133     75     63     52    417    268    234    202
 1977    205    109     92     77    488    328    294    263
 1978     97     52     43     34    279    155    129    106
 1979     56     20     16     12    264    149    126    105
 1980     92     32     25     19    404    260    229    201
 1981    256    140    115     94    489    322    286    254
 1982     96     35     26     19    324    201    176    153
 1983    120     60     50     42    212    116    100     86
 1984     38      3      1      0    276    141    115     91
 1985    195    101     81     63    502    339    304    270
 1986    231    144    128    114    432    273    240    207
 1987    222    125    109     94    498    337    306    277
 1988    187    100     82     66    349    224    196    168
 1989    119     64     54     45    397    252    221    192
