# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2171] DENISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2171
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     8     5     0    13        0     0    21    21     0    42
 1952     2    13    10     2     2    29        5    65    43     3     6   122
 1953     2    10    16    12     5    45        2    53    70    53    28   206
 1954     0    11    23     9     3    46        0    56   151    26    16   249
 1955     2     2    25    20     8    57        3     6   184   187    58   438
 1956     1    17     9    11     6    44        2   105    40    57    20   224
 1957     0     4    16    10     0    30        0     8   101    41     0   150
 1958     1     5     0    14     1    21        1    22     0    54     1    78
 1959     2    11     7    18     4    42        6    39    21    66    13   145
 1960     0     1    12     5     7    25        0     2    28    18    27    75
 1961     0     5     9     8     3    25        0    11    36    22     5    74
 1962     5     1     6     8     1    21       10     1    22    16     1    50
 1963     2    11    17     5     0    35        4    42    61    21     0   128
 1964     4     5    18     4     2    33        9     6   108    27     5   155
 1965     2     2     7    11     0    22        2     2    29    42     0    75
 1966     2     4    17     6     0    29       12     8    85    14     0   119
 1967     5     1     9     5     0    20       39     2    40     6     0    87
 1968     1    15    10     9     0    35        4    50    27    47     0   128
 1969     0     4     8     5     0    17        0     8    37     7     0    52
 1970     4     7    17    13     7    48        5    30    73    56    34   198
 1971     0    14     5    10     6    35        0    63    18    36    26   143
 1972     1     7     7    12     2    29        1    35    15    62     4   117
 1973     1    12    11     7     0    31        2    37    22    18     0    79
 1974     0     7    23     3     0    33        0    52   203     5     0   260
 1975     4     5    20    13     3    45       12    11    86    59    14   182
 1976     1     8    20    17     7    53        2    35   107    91    25   260
 1977     2    10    17     7     0    36        4    71   123    16     0   214
 1978     0    10    12     6     3    31        0    34    26    11    10    81
 1979     0     5     6     8     1    20        0    15    13    26     2    56
 1980     0     5    21     6     3    35        0    32   136    22     3   193
 1981     0    13     7     2     4    26        0    52    30     2    10    94
 1982     0     1    10     4     0    15        0     2    23     9     0    34
 1983     0     5    19    25     6    55        0    11    87   157    32   287
 1984     0     3    15    13     5    36        0    11    46    72    21   150
 1985     1     6    11     5     5    28        1    27    43    18    17   106
 1986     0    10    14     2     1    27        0    38    54     4     1    97
 1987     8    17    18     5     2    50       26    92    88    28     3   237
 1988     2    14    14    14     3    47        6   106    65   111     6   294
 1989     2     2    13     4     0    21        4     9    80    23     0   116
 1990     0     8     7     9    11    35        0    38    36    32    34   140
 1991     3     8    10    10     3    34        8    27    47    28     7   117
 1992     0     2     1     1     0     4        0     5     4     1     0    10
 1993     1     2     1     4     1     9        1     4     1     7     1    14
 1994     3     5     2     5     2    17        5    13     6     9     7    40
 1995     0     9    12    17     1    39        0    33    80   101     1   215
 1996     2     7     3     1     0    13        4    22     7     1     0    34
 1997     0    10    18    10     3    41        0    36    94    43    13   186
 1998     3     4    11     8     8    34        7    12    32    26    27   104
 1999     0     3    16     3     2    24        0     6    74     8     3    91
 2000     2     6     6    15    10    39       12    24    17    52    72   177
 2001     2     6    16    12     0    36       10    18    50    65     0   143
 2002     1    12    21     4     5    43        5    31   106    15    26   183
 2003     0     3     9    14     3    29        0    11    38    95     5   149
 2004     2     4     6     4     5    21        4     9    19     9    10    51
 2005     0    10    17     0     0    27        0    36    67     0     0   103
 **************************************************************************************
MEANS   1.4   6.9  12.1   8.4   2.8  31.5      4.0  28.6  56.7  37.2  10.8 137.3
