# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3438] GREENFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3438
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     7     0    19        0     0    30    21     0    51
 1952     1    15    13     2     5    36        2    64    47     3    10   126
 1953     4    12    17    15     7    55       12    52    86    77    43   270
 1954     0    13    25    12     8    58        0    56   207    44    31   338
 1955     0     2    24    20    10    56        0     7   144   159    69   379
 1956     6    20    11    14     6    57       15   141    73    53    14   296
 1957     0     4    21    12     0    37        0     9   131    68     0   208
 1958     1     5     3    12     1    22        1    13     5    50     2    71
 1959     0     6    11    15     3    35        0    27    34    48     7   116
 1960     0     3    14    10     7    34        0     6    64    36    27   133
 1961     0     2    10     7     2    21        0     6    29    26     4    65
 1962     6     5    10    14     2    37        7    14    39    60     5   125
 1963     2    17    23     9     3    54        6    89    82    45     6   228
 1964     4     9    23     7     2    45        9    18   130    39     8   204
 1965     1     0    10    16     1    28        3     0    42    74     2   121
 1966     6     6    22     7     0    41       23    13   121    20     0   177
 1967     6     1    13    10     0    30       41     1    51    22     0   115
 1968     2    18    17    18     1    56        5    56    63    69     6   199
 1969     1     8    17    10     0    36        1    31    62    18     0   112
 1970     3     7    20    12     8    50        7    46   125    49    31   258
 1971     0    18    11    14    13    56        0    86    33    44    30   193
 1972     0    11    11    13     5    40        0    60    34    67    13   174
 1973     0    13    13    14     0    40        0    50    35    29     0   114
 1974     0     9    27     7     1    44        0    49   259    30     1   339
 1975     5     6    24    23     3    61       12    14   105   134    20   285
 1976     0     6    17    14     3    40        0    21    91    40    15   167
 1977     1    17    29     9     0    56        1   108   233    29     0   371
 1978     0    10    17    12    14    53        0    46    69    48    69   232
 1979     2     9    11    16     8    46        2    17    30    79    14   142
 1980     3    10    26    21     8    68        7    58   223   103    29   420
 1981     0     6    10     5     2    23        0    16    56    12    10    94
 1982     0     2    18     6     0    26        0     4    76    35     0   115
 1983     0     9    24    26    12    71        0    31   133   183    73   420
 1984     0     5    17    21    10    53        0    20    91   136    44   291
 1985     1     7    18     9    11    46        1    37    92    29    45   204
 1986     0    16    22     4     0    42        0    56    86     6     0   148
 1987     6    16    16     7     0    45       11    75    89    43     0   218
 1988     2    18    20    20     3    63        7   156   136   198     6   503
 1989     3     3    16     4     1    27        7     9    88    18     1   123
 1990     0     9     7    12    15    43        0    34    45    53    55   187
 1991     2    10    13    11     6    42        3    36    74    31    15   159
 1992     2     2     4     1     0     9        2     2    11     1     0    16
 1993     0     2     4    13     1    20        0     2    10    37     2    51
 1994     2    10     6     8     4    30        5    26    15    27    11    84
 1995     0    11    14    20     0    45        0    28    88   109     0   225
 1996     4     7     6     4     0    21        5    34    23     9     0    71
 1997     1    10    21    15     6    53        1    37   111    57    22   228
 1998     4     7    11    12    13    47       15    28    48    45    42   178
 1999     0     8    23    10     5    46        0    24   152    21    14   211
 2000     6     6     9    20    14    55       30    23    29    97   107   286
 2001     3     9    20    20     5    57        5    30    89   105    15   244
 2002     2    14    23     5    12    56        5    49   129    34    44   261
 2003     0     5    17    17     3    42        0    12    81   139     4   236
 2004     3     2     6     4     0    15        3     2    18     8     0    31
 2005     0    12    20     0     0    32        0    50    94     0     0   144
 **************************************************************************************
MEANS   1.7   8.5  15.8  11.7   4.4  42.2      4.6  36.0  82.6  54.9  17.6 195.6
