# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia6151
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.78  2.26  3.81  5.81  4.42  6.23  3.67  6.67  2.31  1.68  1.01  0.81 39.46
 1952  0.63  0.56  2.57  3.87  3.37  9.32  2.37  5.41  1.34  0.00  2.23  0.92 32.59
 1953  0.55  1.22  1.47  3.13  3.15  5.27  2.32  1.88  0.47  0.76  1.46  0.71 22.39
 1954  0.07  3.18  0.74  3.25  3.63  4.22  0.19  9.78  5.76  3.70  0.03  0.11 34.66
 1955  0.75  1.36  0.87  2.18  1.99  4.11  4.27  1.82  2.51  0.29  0.18  0.18 20.51
 1956  0.44  0.35  0.19  1.21  3.05  3.52  5.61  3.32  3.73  1.20  3.31  0.18 26.11
 1957  0.42  0.11  2.70  2.48  3.64  6.97  0.87  5.28  3.11  3.51  2.37  0.66 32.12
 1958  1.13  0.78  0.74  2.14  2.21  2.22 10.66  3.68  7.73  0.16  1.29  0.13 32.87
 1959  0.90  1.20  3.42  3.11  7.74  4.39  1.77  4.40  2.54  2.48  0.85  2.07 34.87
 1960  1.38  1.73  1.53  2.68  5.54  5.22  3.04 10.38  3.29  1.84  0.15  0.49 37.27
 1961  0.31  1.51  4.97  2.04  2.49  4.86  2.01  4.12  7.09  1.79  1.99  1.71 34.89
 1962  0.33  1.71  1.21  0.95  6.94  1.83  6.02  2.42  3.88  3.08  0.56  0.52 29.45
 1963  0.79  0.57  2.86  2.97  1.51  3.03  2.01  4.65  5.28  0.77  0.36  0.49 25.29
 1964  0.41  0.23  1.62  5.18  3.87  9.16  4.92  5.69  4.65  0.32  1.74  0.81 38.60
 1965  0.49  1.82  3.57  3.58  4.18  6.66  3.12  2.64  9.84  1.25  1.69  1.13 39.97
 1966  0.82  0.26  1.28  0.77  4.07  6.67  3.20  3.32  2.11  0.49  0.31  0.50 23.80
 1967  0.88  0.21  1.25  2.66  1.96 14.62  2.04  1.58  3.24  3.35  0.13  0.63 32.55
 1968  0.40  0.03  0.56  3.43  3.19  2.95  2.17  2.56  3.11  5.43  1.08  1.86 26.77
 1969  0.00  1.12  0.75  3.57  4.24  5.98  4.18  2.50  1.22  3.87  0.00  1.17 28.60
 1970  0.18  0.07  1.30  2.20  2.39  3.48  3.32  5.25  4.11  5.35  1.24  0.45 29.34
 1971  0.94  2.14  0.28  1.51  7.08  3.84  2.03  2.23  0.60  5.09  4.06  0.96 30.76
 1972  0.33  0.30  0.72  4.04  6.20  2.65  6.95  2.31  7.85  3.33  2.54  1.64 38.86
