# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia4049 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     17      1      0      0    222    113     93     75
 1952     58     29     23     19    372    234    206    183
 1953    127     55     42     30    188     84     65     50
 1954    106     35     23     15    443    280    248    221
 1955    125     60     46     34    496    318    280    248
 1956     72     30     20     13    279    166    140    116
 1957    101     34     22     15    372    222    193    168
 1958     65     18     10      5    345    206    176    149
 1959     67     29     23     19    344    208    180    155
 1960     20      3      0      0    407    254    224    198
 1961     74     30     25     20    210    100     81     64
 1962     53     31     27     24    307    188    165    144
 1963    162    106     94     82    399    252    220    191
 1964     95     44     34     25    360    221    193    168
 1965     12      4      3      2    240    126    106     88
 1966    153     71     56     41    217    110     89     70
 1967    130     70     57     46    305    171    142    115
 1968    215    133    116    100    352    215    187    161
 1969     52     25     20     16    327    183    153    124
 1970     47      8      5      4    344    218    193    169
 1971     41     18     14     11    346    217    190    166
 1972     72     26     20     16    236    125    103     85
 1973    188     81     62     46    257    142    122    103
 1974     79     29     22     17    351    217    188    162
 1975     21      1      0      0    186     94     80     69
 1976    106     57     49     41    317    180    150    123
 1977    175     87     70     54    458    303    271    241
 1978     55     22     15     10    268    152    127    105
 1979     42     14      8      4    220    117     98     79
 1980     49     13      9      5    308    190    167    144
 1981    165     79     65     52    437    273    238    205
 1982     66     19     15     11    251    140    116     92
 1983    113     56     44     36    195    103     89     78
 1984     24      1      0      0    245    126    101     80
 1985    130     50     37     28    419    283    254    225
 1986    169     98     85     74    408    257    224    193
 1987    148     73     61     50    444    293    262    233
 1988    129     54     42     32    335    211    184    159
 1989    109     61     52     44    323    182    155    129
 1990    175     83     67     53    355    215    184    157
 1991    148     74     61     50    376    222    190    159
 1992    138     55     41     29    281    156    133    112
 1993     36      9      5      4    249    125    103     84
 1994    132     59     49     40    375    244    215    187
 1995    175     90     73     60    235    119     94     71
 1996     88     31     21     16    301    178    153    130
 1997    132     60     47     37    289    170    143    121
 1998    139     84     74     64    354    201    170    143
 1999    142     64     51     40    347    194    162    132
 2000    246    136    114     96    383    236    205    175
 2001     34      7      3      2    475    302    265    230
 2002     75     23     16     11    305    184    161    139
 2003    129     73     62     52    353    229    203    181
