# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3473] GRINNELL-3-SW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3473
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    11     7     0    18        0     0    32    30     0    62
 1952     3    17    17     6     7    50        7    81    78    11    21   198
 1953     3    11    17    16     6    53       11    45    87   116    42   301
 1954     0    18    25    11     7    61        0    76   168    27    35   306
 1955     3     2    25    23     8    61        6    12   198   175    53   444
 1956     5    19    15    14     5    58       19   121    83    50    15   288
 1957     0     7    22    11     0    40        0    18   134    46     0   198
 1958     1     6     2    15     1    25        2    18     7    69     3    99
 1959     1    11     7    21     5    45        1    41    22    93    21   178
 1960     0     2    11    13     8    34        0     3    49    41    48   141
 1961     1     9    10    10     2    32        1    32    31    28     9   101
 1962     7     8     9     9     2    35       10    16    26    29     4    85
 1963     2    18    18     8     3    49        8    93    66    34     7   208
 1964     5     6    19     9     4    43       11    22   114    51    16   214
 1965     0     1     6     8     1    16        0     3    30    50     2    85
 1966     2     3    19     6     2    32        2     7   102    12     4   127
 1967     5     0     9     1     0    15       16     0    31     2     0    49
 1968     1    14     8    11     0    34        1    45    31    66     0   143
 1969     0     2     9     9     0    20        0     5    37    15     0    57
 1970     1     4    16     5     3    29        1    21    64    19     3   108
 1971     0    13     3     6     6    28        0    49     6    17    22    94
 1972     1     2     8    10     2    23        1     9    28    43     4    85
 1973     0     6    11    10     2    29        0    17    33    29     4    83
 1974     0     2    17     4     0    23        0     3   104    10     0   117
 1975     3     6    18    13     2    42        8    12    63    61     6   150
 1976     0     1    10     8     4    23        0     1    45    22     8    76
 1977     0    10    20     3     0    33        0    48   143    11     0   202
 1978     2     6     7     8     7    30        5    10    20    22    28    85
 1979     0     3     7     8     2    20        0     4    12    48     4    68
 1980     2     6    20    12     6    46        6    22   131    59    13   231
 1981     0     4     9     3     1    17        0    12    33     5     1    51
 1982     0     0    11     5     0    16        0     0    29    22     0    51
 1983     0     6    21    24     6    57        0    36   115   197    22   370
 1984     0     1    10    14     5    30        0     1    31    59    24   115
 1985     1     3    13     6     9    32        4    20    49    28    40   141
 1986     0     6    11     1     0    18        0    20    38     1     0    59
 1987     3    13    16     7     1    40        6    75    79    48     1   209
 1988     5    15    22    19     2    63       16   108   134   171     5   434
 1989     0     3    15     3     0    21        0     8    98    15     0   121
 1990     0     3     6     6     5    20        0     8    32    25    23    88
 1991     5     9    14     8     3    39       10    33    93    41     8   185
 1992     0     4     4     3     0    11        0     6    11     5     0    22
 1993     0     2     3     6     1    12        0     2     8     9     2    21
 1994     1     9     8     6     3    27        1    25    18    19     8    71
 1995     0     9    11    20     1    41        0    33    70    86     2   191
 1996     1     6     6     2     0    15        1    20    16     5     0    42
 1997     1     3    11     4     3    22        1     5    48    13     4    71
 1998     2     4     8     4     5    23        5    16    23    11    13    68
 1999     0     4    18     2     3    27        0     7   103     3     9   122
 2000     1     2     3     6     8    20        1     6     5     7    44    63
 2001     0     3    13    10     1    27        0     9    44    51     2   106
 2002     1     9    17     4     6    37        1    24    71    13    20   129
 2003     1     2     6    12     1    22        2     7    24    74     2   109
 2004     0     2     2     1     0     5        0     3     5     1     0     9
 2005     0     8    14     0     0    22        0    24    66     0     0    90
 **************************************************************************************
MEANS   1.3   6.2  12.1   8.6   2.9  31.1      3.0  24.4  58.5  39.9  10.9 136.7
