# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2977] FOREST-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    1    0    0    0
 Sep 20    3    0    0    0
 Sep 22   12    5    3    0
 Sep 24   16    5    3    0
 Sep 26   24    7    3    0
 Sep 28   25   11    5    0
 Sep 30   38   12    5    0
 Oct 02   48   22    7    0
 Oct 04   57   25    7    0
 Oct 06   72   37   12    1
 Oct 08   77   40   18    3
 Oct 10   83   50   25    7
 Oct 12   85   57   31    7
 Oct 14   90   61   31    7
 Oct 16   92   66   35    7
 Oct 18   92   70   40   16
 Oct 20   94   74   44   20
 Oct 22   96   75   53   24
 Oct 24   98   85   66   27
 Oct 26   98   88   74   35
 Oct 28  100   92   81   37
 Oct 30  100   94   85   46
 Nov 01  100   96   87   59
 Nov 03  100  100   94   64
 Nov 05  100  100   96   77
 Nov 07  100  100   96   83
 Nov 09  100  100   98   87
 Nov 11  100  100   98   90
 Nov 13  100  100  100   98
 Nov 15  100  100  100   98
 Nov 17  100  100  100   98
 Nov 19  100  100  100  100
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
