# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia6200
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.44  3.74  2.70  4.87  2.05  3.97  7.26  7.36  1.81  5.72  0.87  0.43 41.22
 1952  0.60  0.27  1.57  0.72  4.72  2.90  2.57  3.80  0.72  0.03  2.08  1.77 21.75
 1953  0.63  1.91  2.63  3.84  2.29  5.55  4.57  2.34  0.39  0.52  0.78  1.20 26.65
 1954  0.20  0.15  2.10  5.80  4.04  5.22  2.29  3.25  2.77  3.02  0.48  1.50 30.82
 1955  0.97  0.00  0.94  2.02  2.69  3.27  5.14  2.06  3.08  1.73  0.35  0.58 22.83
 1956  0.54  0.24  1.59  3.02  3.81  2.16  4.74  3.93  2.78  2.37  1.56  0.98 27.72
 1957  0.68  0.33  1.24  2.16  5.19  5.02  4.43  2.48  1.98  1.90  1.51  1.37 28.29
 1958  0.57  0.00  0.51  1.90  4.12  3.49  4.10  3.68  2.32  1.14  2.89  0.75 25.47
 1959  0.94  2.08  3.03  1.03  8.10 10.34  1.86  3.74  4.31  2.20  2.61  1.31 41.55
 1960  2.89  0.73  1.53  5.27  5.87  3.28  4.39  5.42  4.19  4.07  1.45  0.49 39.58
 1961  0.28  1.57  4.00  6.55  2.71  2.72  7.42  3.40  9.16  4.01  4.28  2.34 48.44
 1962  0.32  3.14  2.21  4.33  8.47  2.38 10.49  3.48  3.26  3.05  0.21  0.54 41.88
 1963  0.43  0.74  2.59  3.04  3.22  5.00  6.99  3.98  3.11  0.96  1.51  0.55 32.12
 1964  0.21  0.07  2.44  5.00  5.80  3.45  1.67  3.23  1.77  0.22  0.99  1.13 25.98
 1965  0.73  0.99  3.05  4.06  4.59  3.85  2.69  5.99  8.59  1.92  1.83  1.86 40.15
 1966  1.04  1.52  2.13  1.94  2.62  9.23  6.38  4.64  0.59  1.37  0.43  1.20 33.09
 1967  2.26  1.12  1.55  1.74  2.25  6.05  0.93  4.15  1.97  3.17  1.29  1.69 28.17
 1968  1.09  0.13  1.96  4.19  3.69  0.00  0.00  4.77  4.69  2.85  1.06  2.96 27.39
 1969  3.04  0.40  0.93  4.82  4.35  6.98  6.94  0.35  1.65  2.66  0.35  2.17 34.64
 1970  0.35  0.35  2.43  1.52  7.95  2.54  2.96  1.88  5.42  3.46  1.34  0.52 30.72
 1971  0.00  2.78  1.01  0.00  0.00  4.31  3.70  0.82  0.00  1.39  3.63  1.98 19.62
 1972  0.51  0.90  1.27  2.71  4.63  0.00  6.19  2.30  3.70  4.23  1.28  1.63 29.35
 1973  1.08  1.19  2.10  4.69  6.27  5.68  4.55  3.23  5.65  1.79  2.40  1.45 40.08
 1974  0.82  0.70  2.12  3.48  4.26  5.10  2.76  3.24  2.02  3.64  1.66  2.25 32.05
 1975  0.87  2.30  2.24  4.17  2.82  5.40  1.01  2.52  0.42  0.32  2.38  0.11 24.56
 1976  0.17  1.73  2.94  4.30  1.65  3.61  4.12  0.60  0.00  2.24  0.12  0.41 21.89
 1977  0.40  0.92  3.20  2.42  1.45  2.90  0.00  9.01  5.52  3.27  2.17  2.04 33.30
 1978  1.11  0.73  0.51  5.55  3.58  5.92  5.32  3.62  4.94  1.79  3.99  0.60 37.66
 1979  1.96  0.84  2.46  3.74  3.36  6.46  5.58 11.15  0.59  3.25  1.15  0.63 41.17
 1980  0.89  1.02  0.00  1.56  4.05  4.91  2.84  7.49  4.57  0.00  0.80  0.74 28.87
 1981  0.32  3.08  0.32  5.25  0.98  6.61  4.18 10.78  5.50  2.76  2.13  1.40 43.31
 1982  1.64  0.44  1.75  0.00  5.86  2.46  6.70  5.43  2.63  2.58  2.91  3.40 35.80
 1983  0.50  1.72  2.31  3.07  5.94  4.92  4.65  1.82  4.57  3.70  3.09  1.56 37.85
 1984  0.82  0.92  2.93  4.26  3.96  6.33  3.87  1.96  1.53  4.34  2.02  2.03 34.97
 1985  1.50  1.33  2.56  1.57  2.21  1.94  2.66  4.62  6.40  3.15  2.38  1.93 32.25
 1986  0.85  1.82  1.52  3.20  5.52  4.04  5.09  2.97  5.09  3.10  1.68  1.12 36.00
 1987  0.65  0.45  1.77  1.41  3.08  1.86  3.50  8.95  2.75  1.00  2.72  3.56 31.70
 1988  1.10  0.41  1.13  2.41  1.11  1.90  2.50  3.53  3.75  1.09  2.46  1.64 23.03
 1989  1.06  0.46  1.00  3.70  2.22  1.27  1.31  4.49  8.96  3.41  0.45  0.27 28.60
 1990  0.66  0.35  3.28  2.23  5.13  7.49  6.02 10.33  1.14  2.19  1.54  1.90 42.26
 1991  1.34  0.20  4.29  8.44  5.46  1.59  2.20  5.70  4.43  4.40  4.16  1.78 43.99
 1992  1.36  1.10  1.02  3.14  0.86  0.73  5.72  3.10  2.78  1.02  4.47  1.67 26.97
 1993  1.05  0.89  3.18  3.56  3.53  7.40  8.90  9.43  3.22  1.85  0.93  0.80 44.74
 1994  1.87  0.97  0.08  2.68  1.66  4.85  4.66  2.96  6.29  0.53  2.41  1.17 30.13
 1995  0.75  0.06  2.05  4.35  3.25  5.46  3.11  4.47  2.39  1.87  2.11  0.39 30.26
 1996  2.56  0.08  1.21  1.50  6.16  6.54  2.33  2.44  3.94  3.32  2.68  1.35 34.11
 1997  1.26  2.42  1.12  3.12  3.80  5.49  2.46  4.29  3.00  3.91  0.88  0.76 32.51
 1998  1.14  1.54  5.22  2.50  6.28  7.76  0.54  9.65  2.09  5.38  1.52  0.31 43.93
 1999  2.12  0.94  0.97  4.08  8.45  3.86 10.12  4.33  1.13  0.59  1.56  0.72 38.87
 2000  0.72  0.95  1.16  3.41  9.23  6.36  2.84  3.66  1.87  1.11  2.95  3.36 37.62
 2001  0.98  1.88  1.18  2.93  6.67  4.93  4.71  5.19  5.71  2.29  1.25  1.17 38.89
 2002  0.16  2.14  1.35  3.38  3.18  4.38  3.08  6.76  3.26  2.16  0.21  0.35 30.41
 2003  0.58  0.86  1.13  3.11  5.73  4.91  5.97  0.46  2.42  1.12  4.44  1.03 31.76
 2004  0.50  1.22  3.70  1.06 11.29  7.80  3.82  4.18  0.47  2.38  1.80  0.62 38.84
 2005  1.10  1.39  0.87  2.98  2.84  6.40  5.25 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  0.96  1.09  1.93  3.23  4.27  4.53  4.18  4.43  3.28  2.36  1.86  1.32 32.83
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
