# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6800] PRIMGHAR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6800 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     13      0      0      0    191     97     82     69
 1952     36     17     14     11    376    236    210    187
 1953    129     54     39     29    189     88     71     57
 1954     39      9      6      3    406    273    244    217
 1955    102     50     40     30    502    336    303    272
 1956     74     31     25     20    271    173    151    129
 1957     82     23     15     10    350    223    198    176
 1958     54     14      7      3    331    197    167    139
 1959     96     42     33     25    349    216    192    168
 1960     18      3      1      0    313    182    154    131
 1961     83     36     29     23    222    118     97     78
 1962      8      0      0      0    287    178    158    138
 1963    172    115    104     93    401    258    228    198
 1964     73     22     14      8    353    213    186    162
 1965      6      1      0      0    294    179    155    133
 1966    207    112     91     73    221    119    101     86
 1967    224    148    132    117    375    225    195    168
 1968    314    202    179    157    425    273    243    213
 1969     12      0      0      0    361    222    193    166
 1970     13      1      0      0    353    228    202    178
 1971     87     43     34     26    414    274    244    214
 1972    105     42     31     22    302    171    145    120
 1973    164     69     53     37    322    194    167    141
 1974    158     73     59     48    370    236    207    178
 1975     31      7      5      3    192     83     66     50
 1976    126     69     57     48    413    261    227    194
 1977    162     73     54     38    514    355    320    285
 1978    132     79     69     60    284    162    137    113
 1979     14      2      1      0    248    144    123    105
 1980     79     32     25     19    393    244    213    187
 1981    226    118     98     80    487    316    283    253
 1982     82     26     17     10    326    211    189    167
 1983     85     37     27     21    182     95     80     67
 1984     19      3      0      0    232    114     93     75
 1985    190    103     85     67    465    318    285    255
 1986    201    112     99     86    392    240    207    178
 1987    193    110     93     79    507    353    318    285
 1988    210    120    101     84    381    248    218    190
 1989    148     88     75     63    407    266    234    206
 1990    160     77     60     45    388    239    207    178
 1991    175     92     76     62    383    234    204    174
 1992    164     77     60     45    248    143    124    106
 1993     33     10      6      3    230    121    101     83
 1994    142     66     52     41    380    259    233    207
 1995    125     56     44     33    210    108     87     68
 1996     65     27     23     19    258    155    133    112
 1997    114     56     47     39    239    131    108     87
 1998     96     62     55     48    320    188    159    134
 1999    143     66     51     39    292    161    135    110
 2000    219    111     92     75    348    211    185    160
 2001     22      4      2      0    361    213    184    157
 2002     34     10      7      4    364    227    199    174
 2003    166     93     81     69    362    235    211    187
 2004    165     81     67     54    390    255    226    197
 2005    152     78     68     58    464    296    257    219
     ****************************  ****************************
 MEAN  111.7   55.5   45.5   36.9  338.9  209.0  182.5  157.8
 STDV   71.9   44.8   39.3   34.1   86.3   68.2   63.4   58.5

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    666    446    397    352    702    471    417    367
 1952    598    386    340    297    972    732    674    616
 1953    609    403    360    321    934    698    639    581
 1954    492    327    291    258    887    657    602    547
 1955    761    532    482    437    801    570    516    463
 1956    659    454    411    371    997    762    704    646
 1957    578    380    336    296    841    601    542    487
 1958    741    528    480    435    756    527    476    430
 1959    649    438    390    347    921    684    627    571
 1960    630    422    377    336    808    571    515    461
 1961    552    357    317    279    851    618    565    516
 1962    738    507    457    408    818    580    523    467
 1963    612    403    358    317    975    735    675    618
 1964    740    513    464    418    882    652    596    541
 1965    776    547    493    444    901    661    601    543
 1966    591    406    365    326    890    651    594    539
 1967    521    339    301    267    852    612    554    498
 1968    529    343    305    269    946    709    651    596
 1969    697    479    431    384    732    512    460    411
 1970    701    495    449    404    919    680    624    569
 1971    595    396    353    313    993    753    694    635
 1972    678    461    414    368    903    666    608    552
 1973    602    396    352    313    921    681    621    565
 1974    594    396    354    315    839    603    546    492
 1975    730    505    456    411    848    609    551    497
 1976    583    379    336    297    879    643    589    536
 1977    868    625    569    514    904    665    606    547
 1978    639    442    400    359    909    677    621    568
 1979    520    337    299    266    891    653    596    540
 1980    694    480    434    390    920    683    625    567
 1981    634    431    387    347    921    681    622    565
 1982    697    460    408    358    770    540    487    438
 1983    514    335    299    265    858    622    566    512
 1984    581    379    336    296    912    675    616    558
 1985    751    515    465    418    797    564    510    460
 1986    679    456    407    363    959    719    659    601
 1987    809    575    523    473    966    727    670    614
 1988    857    626    571    518   1020    780    721    663
 1989    676    466    419    376    848    613    560    507
 1990    553    357    313    272    907    675    617    559
 1991    732    519    469    419    983    743    683    623
 1992    667    466    421    378    845    607    550    493
 1993    552    347    304    266    766    531    476    422
 1994    732    517    468    420    923    683    623    564
 1995    479    290    250    215    846    614    559    505
 1996    479    286    246    210    865    631    573    517
 1997    450    277    240    207    891    651    591    534
 1998    762    527    476    429    744    516    462    410
 1999    617    397    349    305    806    570    515    462
 2000    670    445    397    352    773    540    486    437
 2001    600    384    338    297    831    595    540    488
 2002    509    339    302    265    933    693    634    579
 2003    520    314    274    238    796    558    502    449
 2004    600    397    353    311    767    534    481    432
 2005    611    399    352    310    963    723    663    603
     ****************************  ****************************
 MEAN  637.7  429.6  384.3  342.2  874.2  638.2  581.4  526.6
 STDV   97.2   82.2   77.9   73.2   74.7   72.1   70.3   67.8

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    932    684    624    565    894    646    585    525
 1952   1023    775    714    655    921    673    611    550
 1953   1019    771    709    649    981    733    671    609
 1954   1051    803    741    679    965    717    655    593
 1955   1119    871    809    747   1072    826    766    706
 1956    969    721    659    597    984    738    678    619
 1957   1111    863    801    739    954    706    645    585
 1958    941    693    632    572   1005    760    701    644
 1959    977    732    671    612   1040    792    730    668
 1960   1012    764    703    642    994    746    684    623
 1961    969    721    659    600   1000    752    690    628
 1962    917    671    611    552    908    660    600    540
 1963   1058    810    748    686    947    699    637    577
 1964   1072    824    762    700    885    644    586    531
 1965   1030    782    720    658    959    711    649    590
 1966   1110    862    800    738    879    636    576    519
 1967    998    754    694    635    964    722    663    605
 1968   1041    793    732    671   1003    755    694    634
 1969   1036    788    726    665   1001    753    691    629
 1970   1027    779    718    657   1012    764    702    642
 1971    936    693    634    576    979    731    669    609
 1972    971    725    664    605    955    707    645    586
 1973    978    730    668    606   1008    760    698    636
 1974   1113    865    803    742    875    627    567    509
 1975   1052    804    746    688   1011    763    701    639
 1976   1039    791    730    669   1006    758    696    635
 1977   1045    797    736    675    881    635    576    518
 1978   1017    769    707    645    969    723    664    605
 1979   1028    780    718    656    939    692    631    572
 1980   1066    818    756    695    978    730    668    606
 1981   1038    790    728    666    937    689    628    567
 1982   1060    812    750    688    970    722    660    602
 1983   1111    863    801    739   1128    880    818    756
 1984   1017    769    707    646   1034    786    726    666
 1985   1015    767    705    643    855    610    552    495
 1986   1075    827    765    703    864    622    563    509
 1987   1082    834    773    712    911    665    605    547
 1988   1038    790    728    666   1026    781    722    664
 1989   1062    814    752    690    984    737    676    615
 1990    967    719    658    598    976    728    667    607
 1991    985    737    675    613    984    736    674    612
 1992    827    579    517    457    814    568    508    452
 1993    967    719    657    595    948    700    641    582
 1994    902    654    593    533    855    608    548    490
 1995    979    733    672    613   1049    801    739    677
 1996    884    636    574    515    894    646    584    522
 1997    977    729    668    608    890    643    582    522
 1998    995    747    685    623    970    722    660    598
 1999   1050    802    740    679    924    676    614    554
 2000    970    723    662    602    974    726    664    602
 2001   1039    791    729    667    938    690    629    571
 2002   1080    832    770    708    932    684    623    563
 2003    973    725    663    601    984    736    675    614
 2004    914    667    607    548    800    573    521    470
 2005   1069    821    760    699      0      0      0      0
     ****************************  ****************************
 MEAN 1013.3  765.7  704.3  643.4  938.4  696.1  636.5  578.0
 STDV   62.2   61.9   61.7   61.0  143.4  113.7  106.5   99.2

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
