# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5230] MASON-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5230   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    26 116          10    24 297          181
   1952   4    16 107          10     5 279          172
   1953   5    13 133          10     7 280          147
   1954   5     7 127          10    18 291          164
   1955   4     7  97          10    15 288          191
   1956   4    30 121          10     9 283          162
   1957   4    14 104          10    10 283          179
   1958   4    29 119          10     1 274          155
   1959   4    21 111          10    12 285          174
   1960   4    18 109          10    19 293          184
   1961   5     2 122           9    28 271          149
   1962   4    16 106          10    24 297          191
   1963   5    23 143          10    29 302          159
   1964   4    10 101          10     9 283          182
   1965   4    28 118          10    13 286          168
   1966   5     9 129          10    24 297          168
   1967   5    13 133           9    28 271          138
   1968   5     5 126          10     4 278          152
   1969   4    29 119          10    14 287          168
   1970   5     2 122          10    16 289          167
   1971   4    14 104          11     4 308          204
   1972   4     9 100          10    15 289          189
   1973   4    12 102          11     5 309          207
   1974   5     6 126           9    22 265          139
   1975   4    11 101          10    29 302          201
   1976   5     8 129          10     6 280          151
   1977   4     8  98          10    16 289          191
   1978   4    21 111          10    14 287          176
   1979   5     1 121          10     5 278          157
   1980   5     9 130          10     5 279          149
   1981   5    10 130          10     2 275          145
   1982   4    28 118          10    16 289          171
   1983   5    15 135           9    22 265          130
   1984   4    18 109           9    26 270          161
   1985   4     9  99          10     2 275          176
   1986   5     3 123          10     6 279          156
   1987   4     6  96          10     3 276          180
   1988   4    24 115          10     5 279          164
   1989   5     7 127          10     4 277          150
   1990   4    18 108          10    19 292          184
   1991   4    11 101          10     7 280          179
   1992   4    13 104           9    29 273          169
   1993   4    22 112          10    10 283          171
   1994   4     8  98          10    26 299          201
   1995   4     6  96          10    16 289          193
   1996   4    27 118          10    28 302          184
   1997   4    18 108          10    22 295          187
   1998   4     4  94          11     4 308          214
   1999   3    27  86          10     4 277          191
   2000   4    13 104          10     6 280          176
   2001   4    19 109          10     7 280          171
   2002   4    27 117          10    13 286          169
   2003   4    10 100          10     2 275          175
   2004   5     3 124          10    17 291          167
             MEAN=113              MEAN=285     MEAN=172
