# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8296] TOLEDO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     6   8  13  13  12  15  14   9   7  12   7   8 124
1952     7   7  15   7  11  13   8  10   3   1   5   6  93
1953     8   7  13  12   7   9   6   7   5   3   5   6  88
1954     3   6   9  11   9  14   9  18   9  12   2  10 112
1955     9   7   4  12  10   9   9   8   9  10   6   4  97
1956     6   7   9   7  12   5  12  16   7   6  10   7 104
1957     7   6   9  13  14  12   9  13   6   7   8   6 110
1958     4   3   7   9   6  12  12   9   8   2   7   1  80
1959     8   9  11  11  13   6  10  10   9  13   6   7 113
1960     6   5  10  10  10  15   9   8  10   6   5   3  97
1961     4   6  13  11   9   7  15   6  12   7   8   6 104
1962     6  10   7  13  11   6  10   6   6   8   3   5  91
1963     8   7   9  13   9   5   7  11   8   6   7   5  95
1964     4   3   6  13   9   9   8   6  11   2   6   7  84
1965     7   6  11  10  10  12   7  11  18   4   3   5 104
1966     2   3   8   9   9  11   6   4   5   6   3   4  70
1967     3   1   6  13  10  16   7  13   7   9   1   5  91
1968     3   2   6   7   9   9   7   8  12   7   6   6  82
1969     8   3   5   9  14  13  12   4   9  10   1   6  94
1970     6   1   6   8  12   7   9   7  12   9   7   5  89
1971     2   5   2   5   9   9   7   5   7   8   7   4  70
1972     2   7   5  10  13  10  10  10  10   8   8   7 100
1973     3   5   9  10  15  10   8   6  14   4   5   5  94
1974    11   2   7   9  18  10   6   9   6   7   7   6  98
1975     4   6   8  11   9  18   5  13   6   1  13   3  97
1976     2   6   9   8  12  10   8   2   4   7   1   4  73
1977     4   3  10  10   9  11  11  17  12   9   9   8 113
1978     6   9   7  11  11  11   9   4   7   7   9   7  98
1979    10   4  12  12  11   7   7  10   4   6   7   3  93
1980     8   4   5   8   9   9   6   9   7   4   2   4  75
1981     1   6   3   8   7   7   6  10   5   6  13   5  77
1982     9   4   9   8  22  10   9   3   8   5   8   5 100
1983     5   4   8   9  16  12  10   4   7   9  10   9 103
1984     3   2  10  13  12  13   9   3   4  11   5   6  91
1985     5   5   6   5  10   8   8   6   9   7  13   4  86
1986     3   5   4   9  15  12   9   7  16  10   6   3  99
1987     2   1  10  11  12   9   7  14  13   7  10   9 105
1988     5   7   4   8   7   9   6  11   7   5  12   5  86
1989     5   7   5   7  10   6   9  10   7   8   5   7  86
1990     6   5  10  11  14  16  12   9   6   6   7   8 110
1991     6   3  11  11  16   5   6   8  12   9  14   8 109
1992     8   6   9  13   5   7  18   9  10   4  14  10 113
1993     8   9  10  11  15  15  18  18  10   5   6   8 133
1994     9   7   0   8   7  14  10   9   7   7   7   5  90
1995     6   3  10  16  14   9   9   7  10  12   6   3 105
1996    10   4   8   8  18  15   8   6   7   6  14   7 111
1997    11   9   9  10  12  10   7  10  12   8   4   8 110
1998    10  15  15  16  16  21   5  14   7  15   5   5 144
1999     8   8   6  15  16  11  14  11   5   4   3   7 108
2000     5   7   6   8  15  16   8   7   5   6   6   9  98
2001    16   9   8  14  19  13   7   7   8   7   5   7 120
2002     9   8  14  15  13  11  10   8   8  16   5   6 123
2003     9   8  11  14  12  13  12   4  10   7   9  12 121
2004     8  11  16   4  14  14  11  12   5  10  14   9 128
2005    15  11  12  10  18  11  10   0   0   0   0   0  87
STDDEV   3   3   3   3   4   3   3   4   3   3   4   2  16
AVG      6   6   8  10  12  11   9   9   8   7   7   6 100
