# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1257] CASCADE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1257 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     40      5      3      1    255    135    110     88
 1952     60     25     18     14    370    239    214    190
 1953    121     53     41     30    220    104     82     63
 1954     81     24     17     12    420    251    219    190
 1955    123     59     46     35    478    303    265    233
 1956     72     26     18     12    290    173    147    123
 1957    105     40     29     19    379    232    201    173
 1958     79     25     15     10    331    193    162    136
 1959     79     34     28     23    322    182    155    130
 1960     25      9      6      5    381    231    201    176
 1961     76     34     27     21    206    101     82     64
 1962     63     29     24     20    325    195    170    149
 1963    163     98     86     75    397    245    210    177
 1964     80     29     20     13    337    201    174    150
 1965      8      1      0      0    257    137    115     96
 1966    176     84     65     48    242    123     99     78
 1967    145     80     66     54    343    194    163    133
 1968    238    138    120    104    386    239    207    176
 1969     81     37     30     24    367    215    182    149
 1970     56      7      4      2    367    227    198    171
 1971     63     30     25     21    370    232    205    181
 1972     73     29     21     15    256    138    116     96
 1973    196     83     65     49    288    161    137    113
 1974    105     38     29     24    419    259    226    194
 1975     40      7      3      1    227    123    106     90
 1976    168     88     76     65    417    266    231    197
 1977    201     99     80     65    510    343    308    273
 1978     85     39     30     24    302    180    153    127
 1979     64     30     23     16    227    120    101     84
 1980     64     21     14      8    324    199    174    150
 1981    183     91     77     63    419    257    222    190
 1982     65     21     15     10    234    141    121    101
 1983    120     58     47     38    202    106     90     77
 1984     38      9      4      2    296    172    146    120
 1985    159     66     50     38    444    304    275    248
 1986    162     90     78     67    426    266    234    204
 1987    161     79     67     56    394    252    225    200
 1988    121     54     41     29    305    186    161    138
 1989    114     61     52     44    291    159    133    109
 1990    178     90     73     56    313    191    167    144
 1991    140     74     62     52    353    210    182    154
 1992    148     64     51     38    232    120    101     84
 1993     53     21     17     13    236    119     97     78
