# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4049
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     3     0    15        0     0    59    10     0    69
 1952     1    12    18     4     7    42        2    48    72     8    20   150
 1953     3     9    10    11     5    38        7    47    37    62    33   186
 1954     0    14    21     3     4    42        0    55   110     8    21   194
 1955     2     2    25    24     9    62        2    12   176   156    49   395
 1956     1    16     9     4     0    30        2    54    30    18     0   104
 1957     0     4    17     8     1    30        0     6    96    26     4   132
 1958     1     2     1    15     1    20        1     3     2    45     4    55
 1959     3     8     3    22     4    40        7    23     7    78    18   133
 1960     0     0    10    10     8    28        0     0    29    29    53   111
 1961     1     7     8    13     6    35        2    29    20    30    13    94
 1962     2     6     6     8     2    24        3    12    19    25     4    63
 1963     3    14     9    11     1    38        5    63    47    35     1   151
 1964     5    13    18     6     4    46       18    44    88    22     7   179
 1965     1     1     4     9     1    16        2     2    24    48     2    78
 1966     1     6    13     3     1    24        2    18    67     6     2    95
 1967     3     1     7     1     0    12       19     2    18     1     0    40
 1968     0     9     6     8     0    23        0    44    15    32     0    91
 1969     2     0     8     8     0    18        7     0    26    17     0    50
 1970     3     6    15     6     3    33       16    21    63    17     6   123
 1971     1    16     3     5     6    31        1    53     5    20    26   105
 1972     6     5    10    11     3    35       24    17    39    47     5   132
 1973     0     8    10     8     2    28        0    41    38    28     3   110
 1974     0     2    17     1     0    20        0     5    86     2     0    93
 1975     3     8    16    11     0    38       21    24    56    36     0   137
 1976     0     7    12    10     4    33        0    16    43    28    15   102
 1977    11     8    15     3     0    37       30    32    84     7     0   153
 1978     3     6     9     7     8    33       18    17    23    18    47   123
 1979     3     3     4     7     4    21        7    11     9    27     6    60
 1980     6     6    16    11     4    43       17    18    70    38    11   154
 1981     0     3     5     1     0     9        0     5    17     1     0    23
 1982     0     1     6     4     0    11        0     1    26    12     0    39
 1983     0     8    17    17     5    47        0    32    70   107    19   228
 1984     0     1     9    12     6    28        0     1    24    59    28   112
 1985     1     6     9     5     4    25        3    20    38    13    21    95
 1986     1     5     7     0     1    14        1    18    35     0     1    55
 1987     6    12    13     5     0    36       11    50    52    25     0   138
 1988     5    18    20    16     3    62       20   102   114   141    12   389
 1989     1     4    16     4     0    25        2     6    95    13     0   116
 1990     0     5     3     4     3    15        0    14    24     9    15    62
 1991     4    12    13     7     1    37       17    52    49    28     1   147
 1992     1     4     1     2     0     8        1    15     4     5     0    25
 1993     0     3     1     5     0     9        0     3     2     9     0    14
 1994     2     7     3     2     3    17        5    38     5     4     9    61
 1995     0    11    12    19     0    42        0    52    64    79     0   195
 1996     3     8     4     2     0    17        8    35     6     6     0    55
 1997     0     9     9     3     0    21        0    18    33    16     0    67
 1998     4     7    11     5     5    32       16    34    31     7    20   108
 1999     1     7    21     2     3    34        1    16    96     5    11   129
 2000     0     4     7     6     7    24        0    13    15    24    32    84
 2001     2     9    11    10     0    32        2    35    39    50     0   126
 2002     1     7    14     3     4    29        3    19    45     7    13    87
 2003     1     2     5    12     4    24        1     8    16    72    10   107
 2004     0     2     1     0     0     3        0     5     3     0     0     8
 2005     0     9    17     0     0    26        0    50    84     0     0   134
 **************************************************************************************
MEANS   1.8   6.6  10.3   7.2   2.5  28.4      5.5  24.7  44.5  29.4   9.9 113.9
