# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0385] AUDUBON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0385
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1     7     5     0    13        0     1    22    17     0    40
 1952     2    15    12     1     2    32        3    72    47     1     4   127
 1953     3    12    20    11     7    53       10    66    96    70    50   292
 1954     0    15    26    10     6    57        0    85   243    44    23   395
 1955     2     3    26    27    11    69        3    11   227   230    82   553
 1956     6    18    11    12     5    52       12   125    53    68    13   271
 1957     0     5    23    13     0    41        0    13   156    82     0   251
 1958     2     5     1    16     1    25        5    18     3    84     1   111
 1959     1    12    11    21     4    49        1    52    36   104    17   210
 1960     0     2    15    11     6    34        0     6    51    32    29   118
 1961     0     6    15    15     3    39        0    19    70    43     8   140
 1962     5     7    12    16     2    42        8    17    45    69     4   143
 1963     2    17    21    12     2    54        7    90   102    56     3   258
 1964     6     8    23     6     5    48       13    16   141    43    11   224
 1965     3     6    13    16     0    38       10    11    52    74     0   147
 1966     5     8    24     7     0    44       21    22   157    24     0   224
 1967     6     1    15    12     0    34       53     3    73    35     0   164
 1968     2    20    19    17     0    58        6    97    98   107     0   308
 1969     5     4    18    13     0    40       13    14   102    30     0   159
 1970     5    13    20    15     8    61       15    57   106    71    40   289
 1971     0    20     8    11    13    52        0   105    34    43    42   224
 1972     2    11    10    13     5    41        2    55    45    78    17   197
 1973     0    13    15    16     0    44        0    56    50    43     0   149
 1974     0     8    29     5     0    42        0    50   258    18     0   326
 1975     4     5    23    19     3    54       13    17   108   117    13   268
 1976     1     4    14    15     6    40        1    15    73    70    19   178
 1977     3    10    19     1     0    33        4    68   138     1     0   211
 1978     2    12    18    14    13    59        5    61    92    62    69   289
 1979     2     8     9    12     4    35        3    21    37    52     9   122
 1980     2     8    25    19     9    63        4    56   176    89    36   361
 1981     0    14    18     8     6    46        0    67    93    25    18   203
 1982     0     3    21     8     1    33        0    12    80    46     1   139
 1983     2     9    28    28    12    79        6    46   179   228    56   515
 1984     1     5    20    21     5    52        1    22    86   122    30   261
 1985     1     8    19     6     8    42        1    42    79    18    29   169
 1986     2    14    20     3     0    39        2    67    87     9     0   165
 1987     6    16    17     6     0    45       12    97   100    41     0   250
 1988     3    16    16    18     6    59        8   159    87   165    10   429
 1989     4     4    13     5     1    27       16    12    62    18     1   109
 1990     0    10     9    11    12    42        0    43    50    30    30   153
 1991     4    11    13     9     2    39        7    36    54    25     3   125
 1992     1     4     2     1     0     8        1     4     6     1     0    12
 1993     0     2     3     6     1    12        0     2     6    14     2    24
 1994     2     8     4     4     4    22        5    20    11    12    10    58
 1995     0     9    13    16     0    38        0    26    90    60     0   176
 1996     3     8     5     1     0    17        6    27    13     2     0    48
 1997     1     8    15     3     3    30        1    26    44    13     7    91
 1998     2     4     7     6     7    26        7    16    18    18    19    78
 1999     0     4    18     1     3    26        0     9    79     1     7    96
 2000     3     4     6     9    10    32       11    12    14    39    67   143
 2001     3     4    16    13     1    37       12    20    79    81     1   193
 2002     1    14    20     4     8    47        3    55    97    22    26   203
 2003     0     2     9    11     2    24        0     5    43    88     2   138
 2004     1     3     3     2     0     9        1     4     6     4     0    15
 2005     0     9    13     0     0    22        0    27    55     0     0    82
 **************************************************************************************
MEANS   2.0   8.5  15.1  10.6   3.8  40.0      5.7  39.2  80.2  53.4  14.7 193.2
