# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2724] ESTHERVILLE-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    1    0    0    0
 Sep 20    5    1    0    0
 Sep 22   20    7    1    0
 Sep 24   27    9    1    0
 Sep 26   33   11    3    0
 Sep 28   40   16    5    0
 Sep 30   50   24    9    0
 Oct 02   59   29   12    1
 Oct 04   68   33   16    1
 Oct 06   72   42   27    3
 Oct 08   81   46   27    7
 Oct 10   85   57   40   12
 Oct 12   87   62   48   14
 Oct 14   90   66   50   14
 Oct 16   94   72   53   14
 Oct 18   94   77   59   24
 Oct 20   96   83   62   25
 Oct 22   98   85   74   29
 Oct 24   98   88   77   42
 Oct 26   98   92   83   51
 Oct 28  100   96   88   55
 Oct 30  100   98   90   62
 Nov 01  100   98   92   68
 Nov 03  100  100   96   81
 Nov 05  100  100   96   87
 Nov 07  100  100   96   87
 Nov 09  100  100  100   92
 Nov 11  100  100  100   96
 Nov 13  100  100  100   98
 Nov 15  100  100  100   98
 Nov 17  100  100  100   98
 Nov 19  100  100  100   98
 Nov 21  100  100  100   98
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
