# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6316] OSCEOLA-3-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia6316
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.61  3.09  4.85  4.99  6.37  6.35  2.92  4.04  1.79  3.55  2.26  1.04 41.86
 1952  0.85  0.82  3.51  1.67  5.05  7.19  1.17  2.82  0.71  0.00  7.61  1.21 32.61
 1953  0.73  2.11  4.11  3.01  1.12  6.77  2.37  0.91  0.74  0.92  1.18  1.20 25.17
 1954  0.03  1.36  1.72  3.07  4.91  4.41  0.88  7.53  1.23  5.35  0.10  1.04 31.63
 1955  1.82  1.88  0.57  2.20  2.60  4.34  4.98  2.58  3.81  1.11  0.10  0.28 26.27
 1956  0.33  0.88  0.27  1.04  3.02  1.96  4.17  6.42  1.12  1.08  1.43  0.47 22.19
 1957  0.61  0.25  3.39  5.70  4.30  4.99  3.33  2.47  3.99  2.47  1.46  1.95 34.91
 1958  1.04  0.86  0.93  1.58  4.22  2.44 11.33  1.17  3.48  0.43  3.32  0.02 30.82
 1959  1.11  0.81  3.82  5.16 10.41  3.58  3.43  8.21  6.77  2.80  1.03  2.45 49.58
 1960  3.83  1.86  1.90  2.84  5.87  6.83  2.29  7.73  5.33  2.33  0.61  0.71 42.13
 1961  0.28  2.56  4.87  2.98  2.22  4.27  3.85  2.58  8.02  2.99  4.81  2.13 41.56
 1962  1.35  1.92  1.14  2.05  4.00  2.54  4.01  2.92  2.57  6.22  1.58  0.33 30.63
 1963  1.10  0.50  4.15  3.72  3.40  0.66  4.35  4.39  2.36  0.69  1.40  0.66 27.38
 1964  0.11  0.67  1.15  4.76  5.34  6.41  2.65  4.13  9.54  0.23  1.63  0.60 37.22
 1965  1.86  1.02  2.82  4.39  6.26  4.15  2.47  4.01 10.23  1.03  1.40  2.15 41.79
 1966  0.77  0.21  2.70  2.75  5.20  4.67  5.72  2.57  2.54  1.10  1.21  0.50 29.94
 1967  0.80  0.35  1.70  4.58  5.76 10.27  4.88  0.40  3.42  4.42  0.37  1.25 38.20
 1968  0.60  0.60  0.65  5.69  1.72  3.42  3.70  3.45  2.60  2.87  1.35  1.75 28.40
 1969  1.45  1.45  1.03  3.22  4.58  5.47  8.49  3.37  4.21  3.89  0.00  1.10 38.26
 1970  0.16  0.00  2.35  3.26  3.55  3.29  2.33  5.78  7.95  3.93  1.97  1.55 36.12
 1971  0.28  1.30  0.20  2.01  3.54  3.19  2.20  1.15  2.60  4.18  3.00  0.55 24.20
 1972  0.24  0.79  0.49  3.08  5.43  2.19  6.06  5.16  9.91  1.35  3.07  2.45 40.22
 1973  1.20  2.15  5.50  3.40  7.05  3.38  6.53  3.55  6.64  4.62  2.13  1.65 47.80
 1974  1.32  0.60  1.73  3.67  7.04  4.40  2.48  3.43  1.68  4.87  1.69  1.30 34.21
 1975  1.60  1.38  1.82  3.54  3.55  7.36  0.27  4.78  3.61  0.00  4.77  0.93 33.61
 1976  0.25  2.12  3.57  6.15  2.72  6.89  4.98  1.40  1.90  1.75  0.20  0.26 32.19
 1977  0.91  0.21  3.98  3.27  2.04  1.47  2.28 13.58  4.59  6.46  1.27  0.82 40.88
 1978  0.91  1.42  0.79  6.69  4.45  4.18  5.30  3.81  8.10  0.92  3.73  0.00 40.30
 1979  0.00  0.00  2.50  3.48  1.91  8.23  2.89  1.21  0.80  3.36  0.62  0.06 25.06
 1980  1.43  0.72  1.76  0.00  0.00  2.08  3.65  6.39  3.49  2.60  0.72  2.53 25.37
 1981  0.04  1.24  1.31  2.90  3.10  9.46 10.77  1.68  1.77  1.29  2.48  1.67 37.71
 1982  0.42  0.00  2.33  3.93  9.43  3.03  6.91  0.00  0.00  0.00  2.45  3.03 31.53
 1983  0.84  0.23  2.34  1.38  5.05  3.50  0.03  2.01  3.30  5.83  4.46  1.35 30.32
 1984  0.98  0.74  2.07  3.81  5.70  3.75  3.90  0.61  0.99  0.00  0.71  0.74 24.00
 1985  0.18  0.00  0.95  0.84  1.48  3.75  5.43  4.42  6.09  4.07  2.24  2.61 32.06
 1986  0.00  1.50  1.99  5.82  5.90  3.02  7.99  3.32 10.50  2.04  0.46  0.81 43.35
 1987  0.30  0.19  3.27  2.48  7.46  4.64  8.50 14.73  1.92  0.72  4.21  0.78 49.20
 1988  0.31  0.00  0.43  1.06  2.57  0.70  2.34  5.23  2.15  0.39  1.60  0.73 17.51
 1989  1.09  0.44  0.32  0.75  5.06  1.88  2.64  2.37  5.60  3.61  0.00  0.19 23.95
 1990  0.48  0.58  3.81  3.43  5.34  8.34  6.50  3.67  2.44  2.44  2.11  1.35 40.49
 1991  0.60  0.20  5.18  8.89  4.98  3.72  1.95  2.94  1.73  4.20  3.71  1.94 40.04
